repeat,outer_fold,n_train_graphs,n_test_graphs,n_train_groups,n_test_groups,n_train_edcs,n_test_edcs,n_train_non_edcs,n_test_non_edcs,selected_epochs,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,pr_auc,roc_auc,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
10,3,715,176,65,16,65,16,650,160,21,48,32,16,0.001,0.0001,0.2,0.8885519261468028,0.9640625,0.4375,1.0,0.71875,0.6435846357954427,0.6086956521739131,0.9488636363636364,0.575,7,160,0,9
10,4,715,176,65,16,65,16,650,160,22,48,32,48,0.001,0.0001,0.2,0.8851426728464772,0.98984375,1.0,0.88125,0.940625,0.6347102826149446,0.6274509803921569,0.8920454545454546,0.4649999999999999,16,141,19,0
10,5,715,176,65,16,65,16,650,160,14,32,16,32,0.0005,0.0005,0.5,0.05191869578200903,0.00468749999999999,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.4799999999999999,0,160,0,16
11,1,704,187,64,17,64,17,640,170,23,64,16,32,0.001,0.0005,0.5,0.9660283344106875,0.9968858131487889,0.6470588235294118,1.0,0.8235294117647058,0.7905694150420949,0.7857142857142858,0.9679144385026738,0.5549999999999999,11,170,0,6
11,2,715,176,65,16,65,16,650,160,35,80,16,48,0.0003,0.0001,0.2,0.9481976540616246,0.994140625,0.9375,0.975,0.95625,0.8453298971001069,0.8571428571428572,0.9715909090909091,0.4599999999999999,15,156,4,1
11,3,715,176,65,16,65,16,650,160,18,32,32,24,0.0005,0.0001,0.4,0.8614079343858756,0.9833984375000001,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5149999999999999,0,160,0,16
11,4,715,176,65,16,65,16,650,160,22,80,32,32,0.0005,0.0001,0.4,0.8017340219213789,0.9865234375,0.1875,0.99375,0.590625,0.3496260460735488,0.3,0.9204545454545454,0.49499999999999994,3,159,1,13
11,5,715,176,65,16,65,16,650,160,19,48,16,24,0.0003,0.001,0.2,0.7242177550154524,0.962109375,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.49499999999999994,0,160,0,16
12,1,704,187,64,17,64,17,640,170,41,64,32,16,0.001,0.0005,0.2,0.8967218239277063,0.9923875432525952,0.9411764705882353,0.9647058823529412,0.9529411764705882,0.808290376865476,0.8205128205128205,0.9625668449197861,0.41999999999999993,16,164,6,1
12,2,715,176,65,16,65,16,650,160,15,48,48,16,0.0005,0.001,0.5,0.8061857087976224,0.9837890625,0.9375,0.95,0.94375,0.7569700748585215,0.7692307692307693,0.9488636363636364,0.4649999999999999,15,152,8,1
12,3,715,176,65,16,65,16,650,160,47,64,48,24,0.0005,0.0005,0.4,1.0,0.9999999999999999,1.0,0.95,0.975,0.7958224257542214,0.8,0.9545454545454546,0.5149999999999999,16,152,8,0
12,4,715,176,65,16,65,16,650,160,27,48,64,16,0.001,0.0005,0.4,0.8890204300530388,0.989453125,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.4749999999999999,0,160,0,16
12,5,715,176,65,16,65,16,650,160,31,48,64,24,0.001,0.0005,0.2,0.7083641202262965,0.9527343749999999,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5049999999999999,0,160,0,16
13,1,704,187,64,17,64,17,640,170,23,80,48,48,0.0003,0.0001,0.4,0.8460675138010778,0.9866782006920415,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.4799999999999999,0,170,0,17
13,2,715,176,65,16,65,16,650,160,64,48,16,24,0.0003,0.001,0.4,0.9467649537962038,0.995703125,0.625,0.99375,0.809375,0.7348469228349535,0.7407407407407406,0.9602272727272727,0.5099999999999999,10,159,1,6
13,3,715,176,65,16,65,16,650,160,33,64,16,24,0.001,0.001,0.4,0.7458026348651349,0.956640625,0.125,1.0,0.5625,0.33903175181040524,0.2222222222222222,0.9204545454545454,0.49499999999999994,2,160,0,14
13,4,715,176,65,16,65,16,650,160,35,48,48,16,0.0005,0.0001,0.5,0.9310114227877386,0.98984375,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.48499999999999993,0,160,0,16
13,5,715,176,65,16,65,16,650,160,41,48,64,32,0.001,0.001,0.2,0.8503332961972668,0.9919921875,1.0,0.9625,0.98125,0.8366600265340756,0.8421052631578948,0.9659090909090909,0.49999999999999994,16,154,6,0
14,1,704,187,64,17,64,17,640,170,30,80,32,32,0.0003,0.001,0.2,0.7606041801459817,0.9842560553633218,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5499999999999999,0,170,0,17
14,2,715,176,65,16,65,16,650,160,26,32,48,48,0.001,0.0005,0.5,0.9166463333815308,0.9738281249999999,0.9375,0.9625,0.95,0.7981545534821184,0.8108108108108109,0.9602272727272727,0.5599999999999999,15,154,6,1
14,3,715,176,65,16,65,16,650,160,29,32,32,24,0.001,0.001,0.5,0.9633248185637892,0.995703125,0.75,1.0,0.875,0.8553989227683015,0.8571428571428571,0.9772727272727273,0.5499999999999999,12,160,0,4
14,4,715,176,65,16,65,16,650,160,26,48,48,24,0.0005,0.0005,0.4,0.8019942067736185,0.9859375,0.5625,0.9875,0.775,0.6531972647421809,0.6666666666666666,0.9488636363636364,0.49499999999999994,9,158,2,7
14,5,715,176,65,16,65,16,650,160,36,48,32,16,0.0005,0.001,0.2,0.8606022276334776,0.9849609375,1.0,0.0,0.5,0.0,0.16666666666666669,0.09090909090909091,0.48999999999999994,16,0,160,0
15,1,704,187,64,17,64,17,640,170,24,80,16,24,0.001,0.0001,0.5,0.7755653645574785,0.9768166089965398,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5499999999999999,0,170,0,17
15,2,715,176,65,16,65,16,650,160,29,48,64,16,0.001,0.001,0.4,0.9704131652661065,0.996484375,0.9375,0.98125,0.959375,0.8716708820319045,0.8823529411764706,0.9772727272727273,0.48499999999999993,15,157,3,1
15,3,715,176,65,16,65,16,650,160,27,48,32,32,0.001,0.0005,0.2,0.9413974403864109,0.99453125,1.0,0.98125,0.990625,0.9090191359227177,0.9142857142857143,0.9829545454545454,0.5349999999999999,16,157,3,0
15,4,715,176,65,16,65,16,650,160,21,32,64,48,0.001,0.001,0.5,0.7658674168524712,0.9861328125,1.0,0.95,0.975,0.7958224257542214,0.8,0.9545454545454546,0.5399999999999999,16,152,8,0
15,5,715,176,65,16,65,16,650,160,26,32,64,16,0.001,0.001,0.5,0.8726386460761462,0.9716796875,0.6875,0.99375,0.840625,0.776987354847874,0.7857142857142857,0.9659090909090909,0.49499999999999994,11,159,1,5
16,1,704,187,64,17,64,17,640,170,45,32,64,24,0.001,0.0005,0.5,0.9637736807901623,0.9970588235294118,1.0,0.9647058823529412,0.9823529411764707,0.8444190181781019,0.85,0.9679144385026738,0.4699999999999999,17,164,6,0
16,2,715,176,65,16,65,16,650,160,38,48,16,16,0.001,0.0001,0.4,0.6423624728312227,0.96640625,0.625,0.98125,0.803125,0.6663559131019311,0.6896551724137931,0.9488636363636364,0.5299999999999999,10,157,3,6
16,3,715,176,65,16,65,16,650,160,26,64,64,48,0.0005,0.0001,0.2,0.9714349376114082,0.996484375,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.4799999999999999,0,160,0,16
16,4,715,176,65,16,65,16,650,160,38,48,16,24,0.0003,0.0005,0.2,0.8808974191517295,0.9640625000000002,0.1875,1.0,0.59375,0.41642574923301445,0.3157894736842105,0.9261363636363636,0.48999999999999994,3,160,0,13
16,5,715,176,65,16,65,16,650,160,14,80,48,16,0.0005,0.0005,0.2,0.8295928744458156,0.9876953125,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.48999999999999994,0,160,0,16
17,1,704,187,64,17,64,17,640,170,28,48,32,16,0.001,0.001,0.2,0.7803820448557292,0.9866782006920415,1.0,0.9176470588235294,0.9588235294117646,0.7093841036079206,0.7083333333333333,0.9251336898395722,0.48999999999999994,17,156,14,0
17,2,715,176,65,16,65,16,650,160,19,32,48,32,0.001,0.0001,0.5,0.9963235294117647,0.999609375,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.49499999999999994,0,160,0,16
17,3,715,176,65,16,65,16,650,160,23,32,48,24,0.001,0.0001,0.2,0.7379319105691057,0.9732421875,1.0,0.0,0.5,0.0,0.16666666666666669,0.09090909090909091,0.48499999999999993,16,0,160,0
17,4,715,176,65,16,65,16,650,160,35,48,64,32,0.0003,0.001,0.4,0.8856662094498329,0.96796875,0.9375,0.6125,0.775,0.3187276291558383,0.32258064516129037,0.6420454545454546,0.49999999999999994,15,98,62,1
17,5,715,176,65,16,65,16,650,160,45,32,16,48,0.0005,0.0001,0.5,0.9678203661327232,0.995703125,0.1875,1.0,0.59375,0.41642574923301445,0.3157894736842105,0.9261363636363636,0.5349999999999999,3,160,0,13
18,1,704,187,64,17,64,17,640,170,9,64,16,32,0.001,0.0005,0.5,0.9621893389194427,0.9963667820069204,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5349999999999999,0,170,0,17
18,2,715,176,65,16,65,16,650,160,40,64,32,48,0.0005,0.0001,0.4,0.8149496590807567,0.9677734375,0.9375,0.95,0.94375,0.7569700748585215,0.7692307692307693,0.9488636363636364,0.4499999999999999,15,152,8,1
18,3,715,176,65,16,65,16,650,160,33,48,64,48,0.001,0.0001,0.5,0.8509597020626432,0.987890625,1.0,0.9625,0.98125,0.8366600265340756,0.8421052631578948,0.9659090909090909,0.6,16,154,6,0
