metric,mean,median,std,min,max,bootstrap_mean_ci_2.5%,bootstrap_mean_ci_97.5%,n_outer_evaluations
pr_auc,0.855935219417744,0.8706051518733205,0.11674603742911237,0.05191869578200903,1.0,0.8317644785580792,0.8770953686633344,100
roc_auc,0.9743657209666955,0.9872732617863322,0.09864070409896875,0.00468749999999999,0.9999999999999999,0.9528938699583694,0.9858767466614403,100
recall,0.5888970588235294,0.6672794117647058,0.41954136387808477,0.0,1.0,0.5080496323529412,0.6682049632352939,100
specificity,0.8755772058823529,0.9875,0.28898620411992487,0.0,1.0,0.8165847426470589,0.9297759191176471,100
balanced_accuracy,0.7322371323529413,0.775,0.19949027343499381,0.496875,0.99375,0.6941259650735295,0.7715594669117647,100
mcc,0.4544797809771748,0.6439864341840489,0.35885692290815474,-0.023904572186687872,0.936897954837013,0.3841779658307646,0.5232482289239001,100
f1_score,0.46362583916691863,0.6337254901960785,0.3479212778075835,0.0,0.9411764705882353,0.3966412366469368,0.5300113626268604,100
accuracy,0.849515374331551,0.9289772727272727,0.24936104329033978,0.09090909090909091,0.9886363636363636,0.7986530748663102,0.895484709224599,100
