metric,point_estimate,bootstrap_mean,bootstrap_median,bootstrap_ci_2.5%,bootstrap_ci_97.5%,n_group_bootstrap_iterations
pr_auc,0.8344371655637979,0.844495719806743,0.8452670435045668,0.7531013017667674,0.9324785190169188,5000
roc_auc,0.9837829599146471,0.983793918609968,0.9847889041304678,0.9664228014022253,0.9943758573388203,5000
precision,0.8615384615384616,0.862577860545812,0.8627450980392157,0.7887323943661971,0.9344262295081968,5000
recall,0.691358024691358,0.6921432098765433,0.691358024691358,0.5925925925925926,0.7901234567901234,5000
specificity,0.9888888888888889,0.9888506172839506,0.9888888888888889,0.9814814814814815,0.9950617283950617,5000
balanced_accuracy,0.8401234567901235,0.8404969135802468,0.8407407407407408,0.7901234567901234,0.8888888888888888,5000
mcc,0.7519775877108605,0.7523649903352047,0.7536800503636713,0.6769109193862998,0.8218024810774143,5000
f1_score,0.7671232876712328,0.7667380899188425,0.7682119205298013,0.6917293233082706,0.8344370860927153,5000
accuracy,0.9618406285072951,0.96187721661055,0.9618406285072951,0.9517396184062851,0.9719416386083053,5000
