epoch,train_loss
1,0.39630085354918365
2,0.3558493739033079
3,0.3308388399077462
4,0.32560978225477927
5,0.3272338634604341
6,0.32402013408971
7,0.3090412185325489
8,0.3081955084433922
9,0.31876471550106167
10,0.30298185077580536
11,0.30751642188825806
12,0.30449098859216783
13,0.3150062848637988
14,0.3045170540576215
15,0.30384316727831645
16,0.3016375978509863
17,0.3050811157099434
18,0.306443801709822
19,0.29601370610974054
20,0.3031805464020976
21,0.28923485808439187
22,0.2952855035558447
23,0.2805433292072136
24,0.2795332265900565
25,0.2749567393447969
26,0.26928759058872304
27,0.25139735347324316
28,0.23909031422613383
29,0.27069360129795705
30,0.2461849661035971
31,0.2732215163174209
32,0.23125677946564202
33,0.19351016182999511
34,0.17748135333503043
35,0.15947727905912
36,0.14786568674799447
37,0.12880766423015327
38,0.13211940588442594
39,0.11796293928698226
40,0.11691217460519784
41,0.12714049324289067
42,0.11471194974504985
43,0.11256948540677557
44,0.11017318880120358
45,0.1361765569740242
46,0.11669381296301222
47,0.11499961856361869
48,0.10202962800964609
49,0.11840812955702935
50,0.1064868859582014
51,0.13220516468522014
52,0.1111229250038212
53,0.1037580386403349
54,0.11093358547016458
55,0.12725315683267333
56,0.12190049053072095
57,0.11088277269285042
58,0.12693378764328422
59,0.19541464712620563
60,0.145215122446001
61,0.12890257817934025
62,0.11188738365247325
63,0.10705699698699937
64,0.10266249878266892
65,0.10644851640596256
66,0.12589338734433367
67,0.11666721178518309
68,0.11022683759252508
69,0.10546270737072805
70,0.09965371267570482
71,0.10916439209367845
72,0.11330704544703443
73,0.11799362307036673
74,0.12827856609454522
75,0.10231639278101755
76,0.1050514491808998
77,0.10187763225782168
78,0.10729343795797208
79,0.10723716588495495
80,0.117326434884038
81,0.1036656952196068
82,0.10123161354160809
83,0.10368867877584237
84,0.10380139823195401
85,0.1026090016731849
86,0.1017287713508089
87,0.09841654158581595
88,0.09765576499585922
89,0.09442094512531286
90,0.09346654369671653
91,0.09787752797136774
92,0.09400511856054093
93,0.10672689502785256
94,0.10394022952426564
95,0.09249729970860836
96,0.10071749670001176
97,0.10414091509382625
98,0.10612881472790157
99,0.09662286653281092
100,0.09669537784961554
101,0.11009434438668765
102,0.09959876516482213
103,0.08852751800542945
104,0.09834593652350294
105,0.09928308716499722
106,0.09398067278878672
107,0.09347852522676642
108,0.0946123514493758
109,0.10675031551114329
110,0.09518423163286456
111,0.09882898482826206
112,0.09815401138763849
113,0.10212087826607945
114,0.0945004667122881
115,0.09271848165280336
116,0.09144960325602051
117,0.09843755456117484
118,0.09850858369438381
119,0.09190142923197546
120,0.09638446216451955
121,0.09677631678906354
122,0.09845541938618346
123,0.09602751424275599
124,0.09832590996854372
125,0.0998996724537411
126,0.10117239525893351
127,0.09609376920478327
128,0.10131126097761668
129,0.10768935490738261
130,0.09789341208818075
131,0.09886236590417949
132,0.0954574382883477
133,0.10463597161786539
134,0.10380760137434605
135,0.10108672340328877
136,0.09696731944340509
137,0.10467648330320428
138,0.09319153842288297
139,0.10059470196182911
140,0.1022497068804044
141,0.09452910318814374
142,0.10565636093383068
143,0.1103655045422224
144,0.10178270330326958
145,0.09463883038948882
146,0.09805961338138872
147,0.09496325363854428
148,0.09928866319514655
149,0.09250812365354358
150,0.09414970398053422
151,0.11682221757156866
152,0.10213607234450486
153,0.09679040941898223
154,0.09552800058797523
155,0.09890273934998713
156,0.09517323355991524
157,0.10192133379461882
158,0.09749525035177911
159,0.09599609971306958
160,0.1056454899636182
161,0.09713534204536801
162,0.09871763217595074
163,0.09951605087706258
164,0.0927313032162773
165,0.08993392140715273
166,0.0940262387682508
167,0.10154036825874468
168,0.11751740613392184
169,0.11626969107876083
170,0.09781897217816823
171,0.10725915320282736
172,0.09515221736074744
173,0.09895232877322843
174,0.09251709925206182
175,0.10255277602301612
176,0.09350333536708064
177,0.09275849457908343
178,0.10293211043532287
179,0.09510937326594249
180,0.09120405473505387
181,0.09482126065588498
182,0.09231875083975859
183,0.10033708552901562
184,0.0964094080239326
185,0.09616595431120245
186,0.11635115859912826
187,0.095244351240409
188,0.09387247649939744
189,0.09291350302266908
190,0.10134082436040565
191,0.09661458156534009
192,0.09154709754837351
193,0.0882518198601641
194,0.09271159691254159
195,0.0982707930090544
196,0.09564112453767053
197,0.10756157161472561
198,0.0938857747437237
199,0.09073916818764242
200,0.09117768452196688
