trial_id,inner_fold,n_inner_train,n_validation,n_inner_train_edcs,n_validation_edcs,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,batch_size,dropout,pr_auc,roc_auc,precision,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
1,1,638,77,58,7,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,0.9821428571428571,0.9989795918367347,1.0,0.8571428571428571,1.0,0.9285714285714286,0.9192771195538434,0.923076923076923,0.987012987012987,0.5,6,70,0,1
1,2,638,77,58,7,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,0.8260204081632654,0.9887755102040816,0.8,0.5714285714285714,0.9857142857142858,0.7785714285714286,0.65,0.6666666666666666,0.948051948051948,0.5,4,69,1,3
1,3,638,77,58,7,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,0.982142857142857,0.9979591836734694,1.0,0.5714285714285714,1.0,0.7857142857142857,0.7402332101976052,0.7272727272727273,0.961038961038961,0.5,4,70,0,3
1,4,638,77,58,7,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,0.9325396825396826,0.9918367346938776,0.7142857142857143,0.7142857142857143,0.9714285714285714,0.8428571428571429,0.6857142857142857,0.7142857142857143,0.948051948051948,0.5,5,68,2,2
1,5,638,77,58,7,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,0.7478458049886622,0.983673469387755,0.8,0.5714285714285714,0.9857142857142858,0.7785714285714286,0.65,0.6666666666666666,0.948051948051948,0.5,4,69,1,3
1,6,649,66,59,6,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,1.0,1.0,1.0,0.5,1.0,0.75,0.6900655593423543,0.6666666666666666,0.9545454545454546,0.5,3,60,0,3
1,7,649,66,59,6,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,0.7690476190476191,0.9694444444444446,0.8,0.6666666666666666,0.9833333333333333,0.825,0.7061788191316446,0.7272727272727272,0.9545454545454546,0.5,4,59,1,2
1,8,649,66,59,6,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,0.8400383141762452,0.9333333333333333,1.0,0.5,1.0,0.75,0.6900655593423543,0.6666666666666666,0.9545454545454546,0.5,3,60,0,3
1,9,649,66,59,6,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,6,60,0,0
1,10,649,66,59,6,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,0.8555555555555555,0.9777777777777779,0.8333333333333334,0.8333333333333334,0.9833333333333333,0.9083333333333333,0.8166666666666667,0.8333333333333334,0.9696969696969697,0.5,5,59,1,1
2,1,638,77,58,7,40,60,60,0.0005688039537212766,0.0004920019732944499,200,0.5,0.9821428571428571,0.9979591836734694,1.0,0.5714285714285714,1.0,0.7857142857142857,0.7402332101976052,0.7272727272727273,0.961038961038961,0.5,4,70,0,3
2,2,638,77,58,7,40,60,60,0.0005688039537212766,0.0004920019732944499,200,0.5,0.8260204081632654,0.9887755102040816,0.8,0.5714285714285714,0.9857142857142858,0.7785714285714286,0.65,0.6666666666666666,0.948051948051948,0.5,4,69,1,3
2,3,638,77,58,7,40,60,60,0.0005688039537212766,0.0004920019732944499,200,0.5,0.982142857142857,0.9979591836734694,1.0,0.7142857142857143,1.0,0.8571428571428572,0.8333333333333334,0.8333333333333333,0.974025974025974,0.5,5,70,0,2
2,4,638,77,58,7,40,60,60,0.0005688039537212766,0.0004920019732944499,200,0.5,0.9325396825396826,0.9918367346938776,0.8333333333333334,0.7142857142857143,0.9857142857142858,0.8500000000000001,0.7507429809689721,0.7692307692307692,0.961038961038961,0.5,5,69,1,2
