trial_id,n_inner_folds,n_inner_oof_samples,n_inner_oof_edcs,n_inner_oof_non_edcs,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,batch_size,dropout,inner_oof_pr_auc,inner_oof_roc_auc,inner_oof_precision,inner_oof_recall,inner_oof_specificity,inner_oof_balanced_accuracy,inner_oof_mcc,inner_oof_f1_score,inner_oof_accuracy,inner_oof_threshold,inner_oof_tp,inner_oof_tn,inner_oof_fp,inner_oof_fn
1,10,715,65,650,60,20,40,0.0009557046059741099,0.0004984605939377536,300,0.5,0.8723100034134282,0.9733727810650887,0.88,0.676923076923077,0.9907692307692307,0.8338461538461539,0.7526514535469362,0.7652173913043478,0.9622377622377623,0.5,44,644,6,21
2,10,715,65,650,40,60,60,0.0005688039537212766,0.0004920019732944499,200,0.5,0.8385992300922662,0.9732544378698225,0.8979591836734694,0.676923076923077,0.9923076923076923,0.8346153846153846,0.7614722871685866,0.7719298245614036,0.9636363636363636,0.5,44,645,5,21
3,10,715,65,650,100,80,30,0.0008486165516584464,0.0005084493783737062,20,0.5,0.8446010784276887,0.9745325443786983,0.8135593220338984,0.7384615384615385,0.9830769230769231,0.8607692307692307,0.7538673201149719,0.7741935483870969,0.9608391608391609,0.5,48,639,11,17
4,10,715,65,650,10,100,100,0.0008734814747888442,0.0005022389370808115,200,0.5,0.8387081871611939,0.9808639053254439,0.88,0.676923076923077,0.9907692307692307,0.8338461538461539,0.7526514535469362,0.7652173913043478,0.9622377622377623,0.5,44,644,6,21
5,10,715,65,650,30,60,30,0.0005142074913913346,0.0004790644158444441,200,0.5,0.8476342509343726,0.9800473372781064,0.9069767441860465,0.6,0.9938461538461538,0.7969230769230768,0.7180727405260557,0.7222222222222222,0.958041958041958,0.5,39,646,4,26
6,10,715,65,650,60,20,40,0.00023914258639995916,0.00048765839233460336,20,0.5,0.8252716709515595,0.9736804733727812,0.9019607843137255,0.7076923076923077,0.9923076923076923,0.8500000000000001,0.7818838970957773,0.7931034482758621,0.9664335664335665,0.5,46,645,5,19
7,10,715,65,650,50,10,100,0.0006538987297053277,0.000491614289210684,20,0.5,0.8249405590825262,0.9755976331360947,0.8367346938775511,0.6307692307692307,0.9876923076923076,0.8092307692307692,0.7037054240040732,0.7192982456140352,0.9552447552447553,0.5,41,642,8,24
8,10,715,65,650,100,30,20,0.0009168144741320229,0.000488675498202033,20,0.5,0.8509323248652376,0.9729585798816569,0.8125,0.8,0.9815384615384616,0.8907692307692308,0.787015400845139,0.8062015503875969,0.965034965034965,0.5,52,638,12,13
9,10,715,65,650,80,80,80,0.00011452907035201367,0.0005118515746366037,20,0.5,0.8372010559354679,0.975940828402367,0.9019607843137255,0.7076923076923077,0.9923076923076923,0.8500000000000001,0.7818838970957773,0.7931034482758621,0.9664335664335665,0.5,46,645,5,19
10,10,715,65,650,40,100,30,0.00048424306559691427,0.0004947886854249381,300,0.5,0.8432558756792443,0.9726745562130177,0.9333333333333333,0.4307692307692308,0.9969230769230769,0.7138461538461538,0.6132518723010787,0.5894736842105264,0.9454545454545454,0.5,28,648,2,37
11,10,715,65,650,80,80,60,0.0006236064052569793,0.0004996203504871143,20,0.5,0.8365642481641073,0.980319526627219,0.9019607843137255,0.7076923076923077,0.9923076923076923,0.8500000000000001,0.7818838970957773,0.7931034482758621,0.9664335664335665,0.5,46,645,5,19
12,10,715,65,650,20,80,20,0.0009419682934554323,0.0005005153368016104,200,0.5,0.8392270909855857,0.9805917159763313,0.8888888888888888,0.6153846153846154,0.9923076923076923,0.8038461538461539,0.7193718468657349,0.7272727272727274,0.958041958041958,0.5,40,645,5,25
13,10,715,65,650,40,10,100,0.00024521341239469525,0.0005317037860967833,300,0.5,0.6286679323329404,0.9086982248520711,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
14,10,715,65,650,20,30,10,0.00016280361045944067,0.00047501634874709916,50,0.5,0.7701224968971396,0.954792899408284,0.9,0.13846153846153847,0.9984615384615385,0.5684615384615385,0.3351933918338457,0.24,0.9202797202797203,0.5,9,649,1,56
15,10,715,65,650,80,30,30,0.00019100063874097334,0.0004985551824863759,300,0.5,0.5488556111853926,0.8469349112426037,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
16,10,715,65,650,100,20,50,0.0006999416145169186,0.0004952426107756578,20,0.5,0.7786840737453087,0.9640473372781065,0.8913043478260869,0.6307692307692307,0.9923076923076923,0.8115384615384615,0.7300675552382412,0.7387387387387386,0.9594405594405594,0.5,41,645,5,24
17,10,715,65,650,80,40,30,0.0009239139300315565,0.0004992338855621589,20,0.5,0.829944338320077,0.9838698224852072,0.8545454545454545,0.7230769230769231,0.9876923076923076,0.8553846153846154,0.7668115805072325,0.7833333333333332,0.9636363636363636,0.5,47,642,8,18
18,10,715,65,650,20,20,40,0.0009045667105603941,0.00047973629353043187,300,0.5,0.80783298130159,0.9692899408284024,0.9,0.4153846153846154,0.9953846153846154,0.7053846153846154,0.5889865104474389,0.568421052631579,0.9426573426573427,0.5,27,647,3,38
19,10,715,65,650,40,80,60,0.0001885645389331465,0.0005064341699422509,300,0.5,0.7085222079265149,0.9394082840236687,1.0,0.03076923076923077,1.0,0.5153846153846153,0.16748280772542137,0.059701492537313446,0.9118881118881119,0.5,2,650,0,63
20,10,715,65,650,40,40,50,0.0004466267711203207,0.00048561146822178084,20,0.5,0.8112694546170334,0.9704852071005918,0.8305084745762712,0.7538461538461538,0.9846153846153847,0.8692307692307693,0.771548643188031,0.7903225806451613,0.9636363636363636,0.5,49,640,10,16
21,10,715,65,650,100,10,30,0.0006315668528191062,0.000479478306022102,50,0.5,0.844039987494061,0.9737396449704143,0.8867924528301887,0.7230769230769231,0.9907692307692307,0.8569230769230769,0.7833413480467569,0.7966101694915254,0.9664335664335665,0.5,47,644,6,18
22,10,715,65,650,80,20,50,0.00027906921007912793,0.0005024966123959797,100,0.5,0.8269332011227916,0.9755857988165682,0.9,0.5538461538461539,0.9938461538461538,0.7738461538461539,0.6851223194383559,0.6857142857142857,0.9538461538461539,0.5,36,646,4,29
23,10,715,65,650,80,40,80,0.0001734015431966785,0.0005070759080554819,100,0.5,0.8416798928744312,0.9751242603550296,0.9117647058823529,0.47692307692307695,0.9953846153846154,0.7361538461538462,0.6380068785349886,0.6262626262626263,0.9482517482517483,0.5,31,647,3,34
24,10,715,65,650,30,80,30,0.00018472278947324666,0.0005021395676742947,300,0.5,0.6711502102078902,0.9166508875739645,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
25,10,715,65,650,80,60,20,0.0009261680393095023,0.000489157381592425,300,0.5,0.8351245258053314,0.9786272189349112,0.85,0.7846153846153846,0.9861538461538462,0.8853846153846154,0.7991741920964271,0.816,0.9678321678321679,0.5,51,641,9,14
26,10,715,65,650,80,60,60,0.00012831853307107265,0.0005038857464197013,300,0.5,0.4915096212094466,0.7830059171597633,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
27,10,715,65,650,30,20,60,0.00025721312906434125,0.0005083868761860715,200,0.5,0.7291494238661888,0.9361775147928995,1.0,0.1076923076923077,1.0,0.5538461538461539,0.3144360928665396,0.19444444444444445,0.9188811188811189,0.5,7,650,0,58
28,10,715,65,650,100,80,100,0.0009921110260134617,0.0004788447701182832,100,0.5,0.8274313567934689,0.9797988165680473,0.8958333333333334,0.6615384615384615,0.9923076923076923,0.8269230769230769,0.7511132001770838,0.7610619469026548,0.9622377622377623,0.5,43,645,5,22
29,10,715,65,650,50,100,40,0.0008582943099286113,0.0005031819847674375,200,0.5,0.8500626950726363,0.9765325443786983,0.8846153846153846,0.7076923076923077,0.9907692307692307,0.8492307692307692,0.7732099192984678,0.7863247863247863,0.965034965034965,0.5,46,644,6,19
