,max_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_score
RandomForestRegressor,1.4554105175000038,0.2501492239289895,0.10703095928325447,0.010965803101503835,0.5241147245662168
DecisionTreeRegressor,1.356793456763636,0.3687438284926364,0.20670619954138758,0.019398294970564632,0.08093473737543144
XGBRegressor,1.4369173049926758,0.35497519242664166,0.19157519003605336,0.018388753696677765,0.14821082902458615
KNeighborsRegressor,1.5346306562857146,0.3813264180361696,0.21770147835665365,0.020717476015341907,0.03204709474834366
SVR,1.4999865156534513,0.39452887934573555,0.2308860513014485,0.02165268834558295,-0.026574673843916097
