,fn,fp,tn,tp,accuracy,f1-score,precision,recall,roc_auc,pr_auc
RandomForest,9,1,317,3,0.9696969696969697,0.375,0.75,0.25,0.827961215932914,0.36315277626578346
LinearSVC,5,40,278,7,0.8636363636363636,0.23728813559322032,0.14893617021276595,0.5833333333333334,0.8206236897274634,0.14200274315074682
DecisionTree,7,7,311,5,0.9575757575757575,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.774895178197065,0.44819185444185444
GaussianNB,3,152,166,9,0.5303030303030303,0.10404624277456648,0.055900621118012424,0.75,0.6360062893081762,0.4074957651044607
KNeighbors,6,19,299,6,0.9242424242424242,0.32432432432432434,0.24,0.5,0.7502620545073375,0.36597537636781824
