,nAtom,nC,GATS2e,nBonds,nBonds2,SpMax_Dt,SpAD_Dt,SpMAD_Dt,fragC,Kier2,MDEC-33,MLFER_BH,MLFER_BO,MLFER_S,MLFER_E,MLFER_L,MPC5,TPC,piPC2,TpiPC,R_TpiPCTPC,GGI4,GGI5,GGI6,GGI7,VAdjMat,MWC3,MWC7,WTPT-3,WTPT-4
1,-0.5029950098427536,-0.16744183206601293,0.19346220300381564,-0.07575218335027499,-0.46506557185520936,-0.22461480667074232,-0.22401193179050682,0.07486650880318038,-0.16697176879841494,-0.36283886957683603,0.22898229859375488,-0.7189461713771542,-0.7542532836411613,0.06852967580927208,0.319526404244623,0.027737696543545833,0.02437544058705156,-0.13336316910815943,0.5808016364365912,0.830980140767131,0.8787223554347138,0.20325968916952256,-0.20149115813575733,-0.10033446864035175,0.10477889402444969,0.21522858270233364,0.36982896515480207,0.4228838884765622,-0.026981056032481906,-0.26079142799740296
488,2.2997079271294236,2.313802054211161,-0.4670103627875838,3.9540212865441,2.474406790547742,4.732184726155966,4.625203701320633,2.8750072734687926,5.038862446760666,2.28397589401735,-0.5070515548640717,4.789745318794336,4.612187699347308,5.465500750796967,4.648081716198046,3.687234216652436,3.485099006313374,2.771425901725243,2.112802946556003,1.9505164949891232,1.7870333186087695,4.034199226508567,3.946370269551485,4.264240847092103,4.0228530359531876,2.075732598700219,1.685254071881858,1.3716928070085184,5.783201994282373,4.07468783165731
179,-1.2834945619109546,-1.2702168926336457,-1.8125689273678947,-1.1631513736392334,-1.3049148182560526,-0.6166097936272308,-0.607498939318172,-1.178363840966057,-0.44389343126412456,-1.0981139451943116,-0.5070515548640717,-0.8947909375535816,-0.8824646312984434,-0.5504438475538674,-0.35883792529197484,-0.9097621424936864,-0.7112372980214422,-0.5366413577906245,-3.1337354210548316,-2.01755668572194,-0.6631536949884954,-0.7516991522998435,-0.6797733906941156,-0.6005474734020927,-0.5399189088759822,-2.4672947436318973,-3.1266332778295767,-3.712544871726865,-0.6363510426670869,-0.9859735207996059
121,-0.32560874800907147,-0.5350335189218905,0.1490849795824084,-0.6514341076208999,-0.36008441605510394,-0.5210586755933411,-0.5140216920987011,-0.7029040347744704,-0.40048027626264154,-0.36283886957683603,-0.35724262657822115,-0.1897450978130248,-0.18107314117331105,-0.6236450606949628,-0.5019258752454673,-0.5465771304309945,-0.627644941361386,-0.4749635171686004,-0.8202992174882098,-0.8374330898653842,-0.6631536949884954,-0.5518240460038935,-0.5478334646758546,-0.5282623563802229,-0.5399189088759822,-0.44990162906702347,-0.3936656242322988,-0.3105523794228698,-0.5766660176966699,-0.66912519577955
1103,0.4903680564258661,0.6596394633597116,-0.05832929199310487,1.0116470069386834,0.5497522675458095,0.5278757514271449,0.5121463399365853,0.7457179453906981,0.4683254882045368,0.5368514575908665,1.5362318702079087,1.0311676152128801,1.0934984914196717,0.9270255360490568,0.8432167150055833,1.116249472373811,0.8101435931915789,0.513068045103439,1.1294640420092679,1.161169446694472,0.532538894589432,0.7654084256268822,1.1759616708723406,0.6239623941075252,1.0354086298828202,1.0466525081486404,0.9426060921167223,0.8370275741712085,1.2989434231276868,1.3158618499533141
762,0.10011828039176553,0.10825193307589526,-0.20519770866368586,-0.07575218335027499,0.1298276443453879,-0.159663714564706,-0.16047055813732586,0.29728147585319636,-0.16713456812967045,-0.5119571565571194,-0.3107463250893187,-0.4722634662197018,-0.4634732990851028,-0.4891938528847877,-0.4051822005805554,-0.2711563959690896,0.2918709818992311,-0.03491584657685179,0.23961756426623673,0.24913657096325878,-0.5329232296453987,0.6992460635893916,-0.09428996787483916,-0.27960155715444307,-0.47851911770253286,0.21522858270233364,0.5028612299768593,0.7177375140574193,-0.5459616280192566,-0.2970403070618827
939,0.738708822993021,0.7515373850736811,-0.06982059425007696,1.075611665190975,0.7597145791460204,0.48377753314478517,0.4690052430983239,0.556653885690689,0.12650115901161005,0.953292346235196,0.49371589995362136,0.28861933718825133,0.3175265441605644,0.7726556307855224,0.7128734407564506,0.9245503816261785,0.6596773512034779,0.47155411391553814,1.0939467369399885,1.2405111538947953,0.8878605967183925,0.6363224194774145,0.895259477855848,1.197906217275241,0.8646013037173044,1.1204077112907944,0.907695263143424,0.7573259825015851,1.486229744094863,1.301483999452964
1041,-0.21917699090886222,-0.07554391035204353,-0.16081111238932302,-0.07575218335027499,-0.22010954165496344,-0.25694726892376785,-0.25564264035184797,-0.10493367996297664,-0.35147767755471765,-0.13363275026897517,0.20935305658748268,0.011934681403541078,0.004959010329412221,0.06653780606393615,-0.20879833404519527,-0.14766045111330184,-0.05921691607300455,-0.20215768364810935,0.46073100725944466,0.5489734953335543,0.22868025642859957,0.19215551604231657,0.24380609262117092,0.1208579865775737,0.4117778476813033,0.2868753292809127,0.31731599548082445,0.36148864874145836,-0.03427780615761209,0.6972830478738758
619,-0.29013149564233504,-0.16744183206601293,1.5143718586617092,-0.13971684160256664,-0.22010954165496344,-0.343469562289638,-0.3402870275246728,-0.20583909390668753,-0.020560903555913536,-0.5271792581250843,-0.37094111063723656,0.006934356298998118,0.037640334242052736,-0.16900079132203735,0.0339298077787454,-0.2243400874123548,-0.10937233006903821,-0.23418271627877568,0.22488784572538037,0.3120014718658287,-0.17650300915346404,-0.4592892746631179,-0.27537751651598996,-0.49324423454207333,-0.4747599474459032,0.05833948500418954,0.32630055986990236,0.41447115107951293,-0.3051446800032754,-0.26777177343739
980,-0.7513357764099085,-0.9026252057777681,1.0307797788244686,-0.9072927406300666,-0.7800090392555256,-0.5865318390766392,-0.5780738059282231,-0.9538550106223388,-0.42218685376338305,-0.8897026426103051,-0.5070515548640717,-1.198977381413278,-1.2218476103912495,-0.6067141678596074,-0.7666675478314837,-1.0052204652333239,-0.7112372980214422,-0.515291336036847,-1.1275363177701394,-1.2552339330136302,-0.6631536949884954,-0.7516991522998435,-0.6797733906941156,-0.6005474734020927,-0.5399189088759822,-1.0902097067410703,-0.8639045465623835,-0.6525304423413518,-0.5435503874472959,-0.6906066093974399
