,nHeavyAtom,nBonds,CrippenMR,SpMax_Dt,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MDEO-11,MLFER_BH,MLFER_S,MLFER_E,MLFER_L,TPC,piPC1,piPC2,piPC3,piPC5,piPC6,TpiPC,GGI4,GGI5,TopoPSA,MWC5,MWC9,SRW6,WTPT-1,WTPT-3,WTPT-4,Zagreb
118,0.04712967573335997,-0.0452879893232869,0.2936848521118909,-0.3032094709673368,-0.2995032650655602,-0.3000004581463887,-0.31979621701303157,-0.3758907986209233,-0.42937846036048505,-0.5005572696889399,-0.8426288084748091,-1.074803230514474,-0.3304619026103994,-0.32955997766789297,0.10102577434968488,0.05890471313300794,-0.18267985104026596,-0.25922748438405496,-0.1741833779894679,-0.2731549198085952,-0.12974901145375425,0.3298757873506291,-0.6281298437578918,0.31797423095491506,0.3436212901988018,0.3725567158653582,-0.012827047579387582,0.07735154820418237,-0.2515000966541899,-0.008306502064676594
271,-0.6981845609817294,-0.6647871268575011,-0.5697439263642844,-0.507810961531578,-0.5247590869702657,-0.499692539224487,-0.45874189182206787,-0.4294892506471165,-0.42937846036048505,-0.8314897241748723,-0.43407898863966715,-0.12280501269128002,-0.55837083468698,-0.48896602818863205,-0.2963802065701705,-0.18645290552702504,0.10685360581428598,0.3528204602796474,0.14955863505721134,-0.055041115702554086,-0.6533596035106044,-0.6047983485875176,-0.8578809360152722,-0.29716829366938396,-0.22022550353156553,-0.33512386838325253,-0.6735649577581773,-0.7785204902569577,-0.9443346028121807,-0.6878058304661769
1446,-0.15613784337075534,-0.16918781683012973,0.01011510429997668,-0.2846502504020766,-0.2494373640054921,-0.2818865658773658,-0.07949940675174853,-0.3867813207457673,-0.42937846036048505,-0.6041744702440014,-0.660188508880969,-0.6137509535252218,-0.15936988494570692,-0.3938166802033847,-0.016366545788177186,-0.3012719289506258,-0.35712138108993263,-0.4422490429888501,-0.41233191276627396,-0.4019191002479979,-0.6744295501867481,-0.6168271985987394,-0.7019339595263786,0.03931681921531635,-0.009497825787429717,0.02284995018181046,-0.1621872948974604,-0.7563210075688209,-0.6122688053210429,-0.28513956178380634
875,0.5214205536429624,0.5122612344575059,0.34961105774279233,0.14586487924884897,0.20272185256852865,0.13829836041337065,0.4126490403576481,-0.03919215626116145,0.516187788447201,0.2119113883912104,0.8507665255212069,0.5739473061503327,0.7194325925943781,0.11158699935461765,0.8451189357318061,0.9231782661827681,0.9092989892576866,0.9685759586497983,0.9437971588704084,0.8314563922522149,0.5588347804532994,0.7118730430911477,0.9462749867165721,0.6773173692536425,0.6482744194984005,0.6645962511597012,0.5112000508129187,1.2347304198463884,0.9272836615314216,0.5201929755809347
820,-0.7659404006831012,-0.7267370406109225,-0.7712004030799522,-0.5305041383884448,-0.5581777124164675,-0.521841193638436,-0.520774121470595,-0.4347743569724085,-0.2633514587008002,-0.38408832332859977,-0.3147164522032717,-0.1791430714755029,-0.6304500805097366,-0.505030203822505,-0.4681343575846659,-0.23069229605143657,0.032778970894633955,0.27161637199591154,0.01030324259344449,-0.24989638930007085,-0.5959776209189278,-0.7104571642292222,-0.35432030802320247,-0.30752442157953874,-0.2045761608586998,-0.32307121579371895,-0.7454433822257798,-0.6144863073261261,-0.3483593972613739,-0.7129724722588251
632,-0.7659404006831012,-0.7267370406109225,-0.7045095682202303,-0.531247602631651,-0.5606924767562229,-0.5225668184860397,-0.5263057570585564,-0.4348277418847852,-0.42937846036048505,-0.6017647679055115,-0.5214174299345907,-0.5413163065169354,-0.701888051903465,-0.505030203822505,-0.6712764016818831,-0.6537614795433717,-0.5386229211255218,-0.3824369883268805,-0.7185899043113463,-0.709866781711689,-0.5314228904024247,-0.7104571642292222,-0.645429628061129,-0.30752442157953874,-0.2071820348324142,-0.32307121579371895,-0.7454476598599795,-0.774549932581159,-0.6461870552368848,-0.7129724722588251
1512,-1.0369637594885883,-1.0364866093780296,-1.2627092542730276,-0.621009537698293,-0.6473122624518606,-0.6101749173818489,-1.07508645715587,-0.46136004333599834,0.5667835495976243,0.5805958461801496,-0.0905477862129682,-0.43151457970278684,-0.7874340607358113,-0.5692869063579967,-1.4435785777134509,-1.3719401604454167,-2.2740114971880807,-1.7363524249211,-1.5783647837246009,-1.4543919988007685,-0.7752963166187841,-0.7104571642292222,0.18545785401377377,-1.4896190811454035,-1.42994594891875,-1.3279237143679699,-1.0372810759585842,-0.3270154223132448,-0.13992051651639684,-1.014972173770603
771,-0.6304287212803577,-0.6647871268575011,-0.6858891807022335,-0.5401512513934038,-0.5535384193551531,-0.5312568243574942,-0.736690788451431,-0.42932909590998647,0.5284310266477943,-0.3350910424459738,-0.45300231758690057,-0.6120263190726435,-0.6086467499227818,-0.5136801445484366,-0.4681343575846659,-0.4608953187548875,-0.5386229211255218,-0.6360097669682521,-0.5609977579705087,-0.7156961513455614,-0.5170773945527721,-0.45037392662685305,0.07058230788508357,-0.3180541238500474,-0.2705984704444558,-0.2995745280004318,-0.6529009650279322,-0.3258229533407984,0.1887515829742979,-0.6626391886735288
1147,-0.9014520800858448,-0.9125867818711868,-1.1221963338711136,-0.603700314933581,-0.6288721331754165,-0.5932810291322645,-0.9827572964812405,-0.45068306086066107,0.5667835495976243,-0.32384576486635475,-0.0769618064559801,-0.37920066797457985,-0.9106870059950087,-0.5556941423601043,-0.7886687218197451,-0.4608953187548875,-0.6516480567552055,-1.7363524249211,-1.5783647837246009,-0.992353736062729,-0.7752963166187841,-0.7104571642292222,-0.04167960176613902,-0.7074760070890259,-0.5663729553697522,-0.580345152424248,-0.9134638116203665,-0.2920303684647848,-0.11921534121963263,-0.863972323014714
15,-0.6304287212803577,-0.5408872993506583,-0.6933619075384875,-0.4452480632921617,-0.4774148771127558,-0.4386308367267756,-0.17180030696986756,-0.3119356735936528,-0.42937846036048505,0.20709198371423082,-0.3967175443079499,-0.423466285590755,-0.6387866480871017,-0.3987595034753456,-0.4681343575846659,-0.40458404033042766,-0.1238098584530117,-0.23798519839913904,-0.2774030361277895,-0.4135783513648329,-0.5735627837547123,-0.7104571642292222,-0.5878051666769648,0.19787464802935115,0.3696569720596365,0.0753388793147489,-0.5878865918966147,-0.3271514169167531,-0.22110667352143193,-0.4864726961249916
1566,-0.35940536247487065,-0.355037558090394,-0.530812031328597,-0.4083956569034761,-0.4244885230229197,-0.40266270319590175,-0.3412448093277332,-0.4024764849845131,1.2882766575733329,-0.25075146059883086,0.2922857147964464,0.10772112580334592,-0.3495718805954363,-0.3604526231176486,0.15538760522631823,0.42439753158103477,0.49894560740391264,0.6758778876109424,0.7320450284280866,0.35533167812625227,-0.07236702886207762,0.17545136421958998,0.4600141430277396,0.2657009319584006,0.3563243160332507,0.24499661495570632,-0.36978754975135647,0.2365314846436916,0.48463076160356566,-0.28513956178380634
