,NOAEL-LOG
85,3.0
228,2.698970004
1202,3.0
7,1.0
1358,3.0
1076,2.698970004
839,3.0
1419,3.0
421,2.477121255
1044,3.0
873,2.096910013
163,2.301029996
670,2.698970004
1011,3.0
818,2.698970004
456,3.0
543,2.477121255
557,2.176091259
1196,3.0
1051,3.0
884,3.0
868,2.477121255
1299,3.0
1122,2.875061263
399,2.653212514
349,2.397940009
203,2.698970004
1116,3.0
330,3.0
370,2.77815125
77,3.0
469,3.0
709,2.477121255
807,3.0
793,2.698970004
141,2.875061263
907,2.698970004
195,2.903089987
546,2.477121255
1258,2.0
743,3.0
821,3.0
794,3.0
333,3.0
1108,2.477121255
280,2.574031268
357,3.0
196,2.698970004
679,2.301029996
69,2.77815125
15,3.0
730,2.301029996
817,3.0
638,2.397940009
629,2.698970004
556,2.176091259
1297,3.0
1441,3.0
1248,2.301029996
420,1.698970004
811,2.875061263
518,3.0
299,2.176091259
1204,3.0
199,2.477121255
221,3.0
416,3.0
104,2.602059991
100,3.0
123,2.653212514
773,3.0
1306,3.0
982,3.0
1409,2.477121255
211,2.301029996
553,3.0
371,3.0
1390,2.0
1314,3.0
120,2.574031268
431,2.397940009
1058,3.0
1042,2.397940009
448,2.77815125
969,3.0
411,3.0
510,2.875061263
1383,3.0
1412,3.0
1159,2.875061263
625,2.176091259
962,3.176091259
657,3.0
219,3.0
857,2.698970004
119,2.698970004
1457,3.0
502,1.397940009
1113,3.0
1195,3.0
302,2.477121255
30,1.301029996
412,2.77815125
482,1.477121255
1284,2.653212514
702,2.698970004
336,3.0
64,2.698970004
1375,3.0
1064,3.0
1250,3.0
348,1.875061263
492,2.698970004
716,3.0
610,2.698970004
579,3.0
334,2.301029996
952,3.0
529,2.477121255
455,2.698970004
1366,3.0
162,1.301029996
1417,2.875061263
297,2.301029996
1105,3.0
1328,2.477121255
354,2.477121255
157,3.0
939,3.0
1181,3.0
803,2.301029996
427,2.875061263
1221,3.0
269,2.477121255
889,2.477121255
1215,3.0
424,3.0
568,2.176091259
468,3.0
189,3.0
1059,3.0
331,3.0
1103,2.397940009
1403,3.0
634,2.698970004
1263,3.0
234,2.301029996
775,3.0
450,1.698970004
1063,3.0
1379,3.0
1266,3.0
21,2.653212514
1395,2.875061263
722,2.477121255
788,3.0
419,3.0
1016,2.875061263
699,2.0
273,2.556302501
1338,3.0
718,3.0
270,2.301029996
1320,3.176091259
126,3.0
1259,3.0
113,3.0
436,2.602059991
1162,3.0
1274,2.397940009
1353,2.875061263
249,1.0
179,3.0
731,2.698970004
1237,3.0
618,2.602059991
259,2.176091259
521,3.0
201,2.77815125
598,2.698970004
72,3.0
1354,3.0
835,3.0
153,3.0
1423,3.0
605,3.0
91,3.0
307,3.0
615,2.397940009
1228,3.0
829,2.0
1371,3.0
1168,3.0
490,2.698970004
1290,3.0
16,3.0
1382,2.397940009
635,2.176091259
854,3.0
1139,3.0
874,3.0
232,3.0
929,3.0
88,2.477121255
213,2.698970004
172,2.301029996
92,2.301029996
736,2.602059991
620,2.0
1287,2.698970004
1006,2.602059991
1003,2.301029996
792,2.903089987
328,3.0
975,3.0
39,2.875061263
1385,2.812913357
621,2.176091259
1023,2.875061263
202,2.477121255
1117,2.544068044
812,2.301029996
1220,3.0
551,2.477121255
1400,3.0
1294,2.875061263
972,3.0
132,3.0
613,2.397940009
697,2.698970004
1335,3.0
166,2.397940009
223,2.477121255
941,3.0
173,3.0
1311,3.0
1267,2.477121255
1324,3.0
1399,4.113943352
440,2.653212514
966,2.77815125
74,1.602059991
365,2.477121255
561,2.51851394
977,2.698970004
924,3.0
672,3.0
286,3.0
237,3.0
786,3.0
1446,3.0
766,3.0
674,2.477121255
1443,3.0
253,1.0
581,1.875061263
1397,2.698970004
1056,2.0
671,3.0
522,2.477121255
1427,2.301029996
1454,2.0
462,2.903089987
314,2.84509804
1119,3.0
637,2.477121255
1370,2.77815125
863,2.0
332,3.0
194,2.176091259
1169,2.602059991
859,3.0
1275,3.0
1425,3.0
1052,2.477121255
999,3.0
161,3.0
374,2.301029996
1280,3.0
479,1.0
449,1.301029996
1360,3.0
1201,3.0
1102,2.698970004
1142,2.698970004
1451,3.0
601,3.0
1476,3.0
899,3.0
238,3.0
207,2.954242509
591,2.698970004
1208,2.544068044
68,2.77815125
241,2.698970004
683,3.0
