,nAtom,nH,nC,ATS1e,ATS6e,AATS0m,AATS0e,AATS5i,ATSC0v,MATS3e,MATS5p,GATS3m,GATS1p,nBonds2,nBondsS,Si,Mse,nHBAcc2,IC2,IC3,TIC0,TIC1,SIC5,CIC5,BIC5,MIC3,MIC4,MIC5,RotBtFrac,AMW
11,2.2517470153378354,2.163252751582632,2.449962618284874,2.2442959342350437,1.9670429492239725,-0.5869365152580844,-0.7310170874342321,0.5432616459656728,2.1349243159021785,0.35603358738154944,-0.050437108490728216,-0.07926063468663169,-0.6974208399378885,2.26738625204264,2.2702404014145134,2.2425058013099664,-0.7240625557282074,1.3728478267377218,1.7179940042261574,1.7435168381129094,1.9049652260103525,2.7442653150323237,1.239897224000546,-1.3200489397998172,1.2473869617641271,0.8725570681727338,1.0429401675794063,1.2899098960032913,-0.3706116562058066,-0.60875816239457
28,-1.059148821167909,-1.0046906084756155,-0.9098668667565631,-1.054382804376295,-0.6572628180068465,-0.3473012032612637,1.035622519041905,-1.5721237456097623,-1.0525742171385513,0.3949990077948773,-0.05497694003007333,-1.6704920651527908,1.1299502063421503,-1.0559307816371863,-1.0673643154771257,-1.0539198691518328,1.0436934620477498,-0.28403748139401136,-0.9295109215864644,-1.6249889717529267,-0.948596752721166,-0.9416921254718424,-1.3578984259824851,0.2303765645407407,-1.3719345473542972,-1.4488769146707248,-1.366599409810342,-1.2158937044021687,-0.48456509807701176,-0.06525925571882944
25,-0.3496711419166781,-0.4767000484659077,-0.17946915261712026,-0.27409325033911003,-0.5407322855926858,-0.34056470384996657,-0.17374493403552357,0.7070827141629427,-0.32120164321298417,-0.03931317139804732,0.3127634117034114,0.42930661715968493,-0.12603455347195222,-0.31104937753653544,-0.3647106908683595,-0.364263145722277,-0.155926716219099,0.26825762131656633,0.23448725963252837,0.5516629466963276,-0.12272736803678552,-0.31679021406264996,1.0411197067252083,-1.3049146983534152,0.9061037325092371,0.7075988350171527,0.8549279824424557,0.9299683846144384,-1.510146085173669,-0.22660419151190772
31,0.6554222370225656,0.15688862354574176,1.135246732833877,0.7448612655829411,0.710964276054417,1.5841428229939476,-0.47634427202318946,0.49632721836980964,1.0334714011560635,1.4332613556308929,0.7917186364981662,0.13854144050551456,-2.4727259520807428,0.7203248742951349,0.8063786834795841,0.5948840441985825,-0.44287882566442266,-0.28403748139401136,0.779351380273186,0.6188447027506746,0.8663041126330329,1.1078739244208866,0.6031403845480736,-0.09801770191375363,0.5662155646911579,1.944881063925253,2.111820348484,2.3597581261265854,-0.6399561551741099,0.5343472666883736
2,-1.059148821167909,-1.1102887204775571,-1.0559464095844517,-1.0912455600982203,-0.6572628180068465,2.378924751206534,1.0086456705719338,-1.5721237456097623,-0.9611211115870137,0.3949990077948773,-0.05497694003007333,-1.6704920651527908,1.1988944267042432,-1.0559307816371863,-1.0088098467597284,-1.0773636983467478,0.957803034266844,-1.3886276868151668,-2.056997014520104,-1.6249889717529267,-1.0509643417158248,-1.038224577612056,-1.3578984259824851,0.2303765645407407,-1.3719345473542972,-1.4488769146707248,-1.366599409810342,-1.2158937044021687,1.2247365470840836,2.514452219552408
14,-0.3496711419166781,-0.26550382446202453,-0.17946915261712026,-0.3777692285517169,-0.4327250718891822,-0.564470796340725,-0.5287490042538208,0.6155500141562706,-0.33309888000776744,-0.1610226248752104,-0.5739271828495921,0.33799860295150397,-0.7498034293258964,-0.3683479470827393,-0.4818196283031539,-0.34929141579849454,-0.5251003255074024,-0.28403748139401136,0.8779611069304118,0.8065147925521629,-0.33584411799327046,-0.16027388978998672,1.2283780043547368,-1.6240172784424136,1.214895536625268,0.2100279381524048,0.33368901782160837,0.43190888154422336,-0.24037915023339956,-0.5638064095767171
9,-1.059148821167909,-1.1102887204775571,-1.0559464095844517,-0.972270719590532,-0.6572628180068465,0.6081424713214287,2.8672334833682798,-1.5721237456097623,-1.1281396675246789,0.3949990077948773,-0.05497694003007333,-1.6704920651527908,1.1988944267042432,-1.0559307816371863,-1.1259187841945228,-1.0458873645806046,2.8970639514466967,0.26825762131656633,-1.4037539365832037,-1.6249889717529267,-1.0509643417158248,-0.9822955896335539,-1.3578984259824851,0.2303765645407407,-1.3719345473542972,-1.4488769146707248,-1.366599409810342,-1.2158937044021687,-1.0543323142702445,1.0488609561798925
0,0.7736685168977708,0.7904772955573912,0.2587694758665455,0.7648574370299813,0.4536790848435198,-0.24194168221946322,-0.3450725897126144,0.6983067727288051,0.8757055325552504,-0.15318366408537748,0.7836448453843963,0.2892640869816633,0.2735198736286252,0.7203248742951349,0.7478242147621869,0.7967474479805324,-0.3431486248284824,0.8205527240271441,0.3836403603869111,0.16901698835383003,1.1762043059673264,0.5340776892525884,-0.0016824075582046964,1.2610584584990263,0.04219788799158344,0.7114506796576717,0.7413903358497103,0.6204004598721994,1.0110738414389466,-0.29246359288797763
6,1.0692842165857837,0.579281071553508,1.5734853613175428,1.2048078226292671,0.9078410967583548,-0.5249816254602528,-0.482841343061022,0.4761932076544171,0.8863471368337772,-0.03316161986491439,-0.34209641251030903,0.3787979956461839,-1.0231161431985778,1.1787134306647662,0.9234876209143784,1.0471011163395627,-0.4625969263634324,1.9251429294482993,1.2844297282717447,1.1506423878640113,1.1998531403829742,1.4975217570362482,0.9414104757350429,-0.7425743819586675,0.8774243170967455,0.7869269296026128,0.8471441189368463,1.1397415998532485,-1.4049582908363853,-0.4347121766390217
30,1.8378850357746173,1.4240659675690406,0.8430876471780998,1.9187105554030333,2.288327328163047,-0.0995317500878935,-0.097700100178295,0.5166958659251799,1.9261412130645013,0.25920065869389025,-1.2305925892314842,0.5671017918279335,0.3616322677996845,1.7516991261268053,1.743250182957939,1.8688428432106723,-0.091997024521885,3.029733134869455,0.5562322079475266,0.8828786506147744,2.690160137082453,1.4843970181642079,0.5723453829863023,0.2785429916517363,0.6313079358719543,1.433045966869635,1.5872168482298898,1.8204904136797109,0.9805505992404714,-0.10139369396174476
19,-0.5861637016670884,-0.26550382446202453,-0.7637873239286745,-0.5881135366282182,-0.6572628180068465,-0.6321121145750552,-0.6319915827441157,0.8729871882486314,-0.7113514745018948,1.1467998554456333,1.471603651284574,-0.09860617106423032,0.4919643283202198,-0.597542225267555,-0.5403740970205511,-0.5545307903512869,-0.6334119467390491,-0.8363325841045891,0.3560561757137647,0.31554713641854537,-0.5391263966682129,-0.4896809123231493,-0.6903456471786873,1.233910303592289,-0.6506166804426083,-0.322095201631779,-0.6767702779422157,-1.1622197671183903,1.2247365470840836,-0.7788535534721986
13,-0.3496711419166781,-0.05430760045814138,-0.4716282382728974,-0.32810141256422026,-0.6572628180068465,-0.6353994043266226,-0.8544637856327377,0.8729871882486314,-0.42322764750724556,0.20508706862455714,2.296781692496514,0.4325271070054191,0.15329689405576324,-0.31104937753653544,-0.24760175343356516,-0.3190189507051997,-0.8427914139393523,-0.28403748139401136,-0.6923894140880948,-0.4356803577590291,-0.39936685797683735,-0.5356574838547276,-0.047090342575785274,0.5494791446297391,-0.005149166502762078,-0.6810506383233337,-0.5796186918484575,-0.40691455861008996,-2.193866743238107,-0.7543662183141983
24,-1.059148821167909,-1.1102887204775571,-0.9098668667565631,-1.0324292463838356,-0.6572628180068465,-0.16915732401342615,2.123475704691962,-1.5721237456097623,-1.1486495214953452,0.3949990077948773,-0.05497694003007333,-1.6704920651527908,1.1988944267042432,-1.0559307816371863,-1.0673643154771257,-1.0538286710729756,2.142676971580245,0.26825762131656633,-1.4037539365832037,-1.6249889717529267,-1.0509643417158248,-0.9822955896335539,-1.3578984259824851,0.2303765645407407,-1.3719345473542972,-1.4488769146707248,-1.366599409810342,-1.2158937044021687,0.08520211811622107,0.37465656228816135
3,-1.0000256812303063,-0.899092496473674,-0.9098668667565631,-0.9830838096583057,-0.6572628180068465,-0.43857724561270955,0.5735179427101386,-1.5721237456097623,-0.9930778519674396,-0.3804560115478433,-0.05497694003007333,0.25662012014741237,0.6256050353291841,-0.9986322120909824,-1.0088098467597284,-0.9906694113909308,0.5722274698106161,-0.28403748139401136,-0.14992360581981173,-0.6781927142244899,-0.88878486771607,-0.8684101717416882,-1.3578984259824851,0.6412889074112855,-1.3719345473542972,-0.9195781543446652,-1.366599409810342,-1.2158937044021687,-0.48456509807701176,-0.3057562132863373
