,nHeavyAtom,nBonds,CrippenMR,SpMax_Dt,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MDEO-11,MLFER_BH,MLFER_S,MLFER_E,MLFER_L,TPC,piPC1,piPC2,piPC3,piPC5,piPC6,TpiPC,GGI4,GGI5,TopoPSA,MWC5,MWC9,SRW6,WTPT-1,WTPT-3,WTPT-4,Zagreb
1247,-0.5626728815789859,-0.6028372131040797,-0.43098536228683926,-0.4992436213492906,-0.5003051148975878,-0.491330772213608,-0.5677469479215607,-0.4240439895846945,-0.42937846036048505,-0.021829738442299983,-0.5621753692055549,-0.5309684998014659,-0.8296299181658592,-0.5000873805505441,-0.3789510520962501,-0.4608953187548875,-0.35712138108993263,-0.3824369883268805,-0.32654662426773085,-0.44099897549253875,-0.646186855585778,-0.5804155454280376,-0.5098939078724578,-0.43864512729751515,-0.4717735729899466,-0.42589720528682345,-0.5753611444213036,-0.3717522726169899,-0.9443346028121807,-0.6626391886735288
1627,-1.0369637594885883,-1.0364866093780296,-1.131752245920666,-0.621009537698293,-0.6473122624518606,-0.6101749173818489,-1.07508645715587,-0.46136004333599834,0.5667835495976243,-1.5447616163678526,-0.7824623266938618,-0.40621994106497245,-1.0653623982765823,-0.5692869063579967,-1.4435785777134509,-1.3719401604454167,-2.2740114971880807,-1.7363524249211,-1.5783647837246009,-1.4543919988007685,-0.7752963166187841,-0.7104571642292222,-0.0339631512136159,-1.4896190811454035,-1.42994594891875,-1.3279237143679699,-1.0372810759585842,-0.3270154223132448,-0.13992051651639684,-1.014972173770603
1212,-0.42716120217624237,-0.4169874718438154,-0.5373958361137301,-0.43409417051753063,-0.4548718983190104,-0.4277445813604688,-0.38414072138202443,-0.40781497622218177,0.5667835495976243,-0.41059504905198746,0.2253262431370051,0.13933942410061392,-0.33174445146845555,-0.3888738569314238,0.043874963626948954,0.37851899102772396,0.4643894280379137,0.6437432178248251,0.6535553713468454,0.24991838944930791,0.002946823138197736,-0.2959495034958138,-0.04167960176613902,0.2414793885605982,0.3472449170933034,0.21806779035643045,-0.4365704142470867,0.21405629873796927,-0.09378201106604878,-0.33547284536910266
1077,0.8601997521498211,0.822010803224613,1.056748549409654,0.3958774776191402,0.4724696950817926,0.3823119105553227,0.608023391098627,0.04051151791723147,-0.11560708880532512,0.5902346555341088,-0.1909869937021302,-0.09118671439401214,0.8543567324618869,0.4402847469400177,0.7864634716907216,0.668955450793607,0.5808150310165248,0.4398212238037832,0.5369256566613891,0.42912370369499137,0.7753621062653592,0.9189643207189591,-0.13987765799098897,0.82479802276727,0.8181297283954134,0.8007105333527522,0.8308013193957654,-0.01629757570866247,-0.041787805161286815,0.8473593188853608
1581,-0.6304287212803577,-0.6647871268575011,-0.5532338253416321,-0.5240952678082952,-0.5299835157017775,-0.515586103820349,-0.6411210558545369,-0.42943586573473985,-0.09732445704111525,-0.6114035772594707,-0.6189453560472551,-0.6677894997060071,-0.5926148891970797,-0.5136801445484366,-0.5650821309271982,-0.7281092776991192,-0.7874174560373148,-0.8064550013699077,-0.7866993606377757,-0.7786764066160312,-0.646186855585778,-0.5804155454280376,-0.3936493140650943,-0.5113044933211337,-0.5263586595028701,-0.4988459291954522,-0.6416627913179411,-0.6291144890097651,-0.37557780546834096,-0.7129724722588251
665,-0.6304287212803577,-0.6647871268575011,-0.6447783425900174,-0.5187031996992669,-0.5234524438421746,-0.5103234182810163,-0.6090259490249955,-0.4293824808223632,-0.42937846036048505,-0.3648107046206813,-0.534518196128829,-0.7080309702661661,-0.6593074298160002,-0.5136801445484366,-0.6712764016818831,-0.9953232375722024,-0.8671068786901055,-0.8801194098958247,-0.8672557495155808,-0.8442686040303411,-0.7107415861022811,-0.6454363542434427,-0.5132542976292017,-0.5826003840824876,-0.6201360255364673,-0.5978560962570163,-0.6361435572117504,-0.38900059846572166,0.07119801604749734,-0.7381391140514733
1005,-0.08838200366938356,-0.16918781683012973,-0.02583926321488232,-0.2943070737366746,-0.26639990119759493,-0.29131167379236833,-0.1799742777605657,-0.3866211660086372,-0.3345058878886497,-0.3286651695433343,-0.3855576323647097,-0.6861856005335083,-0.19848762511641982,-0.39134526856740426,0.10102577434968488,-0.12380996233979559,-0.18267985104026596,-0.3047736212063791,-0.2774030361277895,-0.31125445572704274,-0.4525226640362691,-0.45037392662685305,-0.2032272278496057,3.793455395692233e-05,-0.08177521249878694,0.011859880163791926,-0.11749748024344446,-0.2347075668167143,0.3582884289051826,-0.28513956178380634
727,-0.2238936830721271,-0.2930876443369726,-0.18411797737426372,-0.3453368634896024,-0.31617025094574347,-0.3411170044699372,-0.2281551310987902,-0.39729814848397454,0.14265012641240885,-0.3495492564769126,-0.43407898863966715,-0.6034031468097524,-0.19540950785708502,-0.42965214892510123,-0.016366545788177186,-0.20830924581122368,-0.39813867297516586,-0.4752188556080347,-0.4450755487365058,-0.4225300699895021,-0.5816321250692751,-0.515394735442258,0.07058230788508357,-0.1272212271321526,-0.22587215917145115,-0.09144390078448765,-0.24931245579364042,-0.3229035611578493,0.19418364622523576,-0.385806128954399
778,-0.5626728815789859,-0.5408872993506583,-0.5894917272154104,-0.4634727914776618,-0.4711514623995236,-0.4564182627888693,-0.3741850885312829,-0.41870549834702586,-0.09732445704111525,-0.6499588146753075,-0.4423276192064099,-0.33608480666012364,-0.6130074160401727,-0.4506591478309351,-0.14759999446378327,-0.0651261367965425,0.08650385829915976,0.3390457526128525,0.11864033551041453,0.007704743492146146,-0.5242501424775985,-0.4747567297863331,-0.24355190493053272,-0.15118310478463245,-0.10891216681977263,-0.16358850619612011,-0.5463039568826163,-0.43575462999102155,-0.015796413123445367,-0.5619726215029361
1497,0.5214205536429624,0.38836140695066307,0.2791152028837592,0.06803260409286582,0.16434237231175067,0.062333669264731474,0.24106400186345125,-0.33825443539535927,2.5241583796141787,0.4504719199017006,0.5707982998147022,-0.17626868072120588,0.38840673233008166,-0.23317492386465535,0.658987855786662,0.5399969937848811,0.27073415082183083,0.10352817657094825,-0.07559032598691877,0.01993763220302448,0.06391518009575467,-0.2553114978398888,1.14727607772181,0.42638027397142514,0.3422314398168554,0.46122377491403715,0.4552639435655209,0.7414979744322414,1.4334815098775102,0.2936931994471013
