,NOAEL-LOG
627,2.477121255
1006,2.477121255
577,2.602059991
243,2.698970004
219,2.698970004
126,2.698970004
475,3.0
811,3.0
23,2.176091259
893,2.903089987
1009,3.0
128,3.0
298,3.0
728,2.301029996
190,2.301029996
521,2.875061263
853,3.0
454,2.698970004
588,2.096910013
270,2.77815125
241,3.0
105,2.698970004
635,2.0
162,2.698970004
907,3.0
121,3.0
133,2.0
152,3.0
140,2.698970004
69,2.602059991
223,2.0
847,2.477121255
273,2.0
768,2.477121255
915,2.77815125
53,2.301029996
999,3.0
855,3.0
990,3.0
398,3.0
759,3.0
91,2.77815125
817,3.0
482,2.653212514
367,3.0
718,3.0
250,3.0
540,3.602059991
233,2.0
557,2.477121255
803,3.0
423,2.903089987
470,3.0
920,3.0
792,3.0
954,3.0
589,2.698970004
507,3.0
278,3.0
935,2.477121255
694,2.301029996
867,2.77815125
280,3.0
421,2.698970004
807,3.0
395,2.698970004
736,3.0
704,3.0
810,3.0
737,3.0
427,3.0
715,3.0
632,3.0
404,3.0
994,2.096910013
925,4.113943352
60,2.875061263
516,2.698970004
71,3.0
995,3.0
205,3.0
816,3.0
30,2.77815125
676,3.0
809,3.0
983,2.0
236,3.0
166,3.0
578,3.0
721,3.0
686,2.397940009
161,3.0
881,3.0
315,3.0
533,2.301029996
118,3.0
144,3.0
545,3.0
646,2.903089987
209,3.0
296,2.0
617,3.0
63,2.477121255
820,2.77815125
114,3.0
268,3.0
673,2.84509804
865,2.301029996
207,3.0
670,3.0
733,3.0
502,3.0
378,3.0
659,2.0
684,2.698970004
938,3.0
911,2.812913357
9,3.0
134,2.698970004
150,3.0
490,3.0
111,2.301029996
436,3.0
921,2.875061263
802,3.0
741,2.397940009
387,2.77815125
246,3.0
821,2.397940009
96,2.875061263
460,3.0
661,2.903089987
238,3.0
465,3.0
125,3.0
639,3.0
26,3.0
394,3.0
506,2.698970004
336,3.0
242,3.0
856,3.0
254,2.301029996
338,3.0
311,3.0
120,3.0
681,3.0
264,2.477121255
43,2.903089987
616,2.602059991
484,3.875061263
785,2.079181246
157,2.903089987
192,2.096910013
748,3.0
286,2.477121255
634,3.0
292,3.0
824,3.0
218,3.0
963,3.0
357,3.0
552,3.0
546,2.698970004
184,3.0
47,2.397940009
751,3.0
11,3.0
287,3.0
366,3.0
325,3.0
609,3.0
335,2.602059991
623,3.0
488,3.0
576,2.903089987
842,2.77815125
363,2.477121255
420,2.477121255
629,2.301029996
716,2.875061263
