,ATS2e,AATS1m,AATS2m,AATS0v,AATS1v,AATS1e,AATS0p,AATS0i,ATSC0c,ATSC1c,ATSC1m,ATSC1v,ATSC3p,AATSC0c,AATSC0m,AATSC0p,MATS1s,GATS1v,GATS2e,GATS6p,Mv,Mpe,Mp,fragC,TpiPC,topoRadius,TopoPSA,WTPT-3,WTPT-4,PubchemFP18
26,-0.3635444713277184,-0.23247478459173346,-0.3035457293586296,-0.1784770491642626,-0.43725483739382925,0.08303178095502207,-0.10110015944469576,0.38974268679878227,-0.15984066342831563,0.15796241122066532,-0.2629391152394315,-0.029249944176916585,0.1495134531184778,-0.1069869172443349,-0.16777185467099548,-0.07316863538868106,-0.2507322945923552,0.5825775247033805,0.5850296955557781,0.42302061805081004,-0.4861609677825073,-0.31981367739305944,-0.19415363362864113,-0.2670089585290444,-0.6986433054740454,-0.5167942481374898,0.01841679848476368,-0.31944377435243154,-0.31671087670590004,0.4241393401869012
37,-0.026250873365720327,-0.21145631874639126,-0.2052762702081044,-0.1264952839812814,-0.18078374533968333,-0.09507889585500617,-0.09826945263564509,-0.0950451128335826,-0.16081587740016257,0.15872934849582374,-0.1003225053502412,-0.03336355264229416,-0.7723642828256807,-0.10733233404994108,-0.17555529779711254,-0.0722354776623368,0.47236615634609597,-0.0782250394919546,0.4658484185974544,1.5589249871495148,-0.26474431617183697,-0.420478777869056,-0.14519119801904515,-0.19447577629816148,0.6795462219940129,-0.2417462354056038,-0.6384706544826209,-0.5211697953829771,-0.1892365249491945,0.4241393401869012
155,0.23449250209277164,-0.15310681358680495,-0.053304932248801395,-0.031133361515104183,0.2180771757209025,0.00148810453975185,-0.0942793101659513,-0.5419327043124158,-0.1598686120309421,0.157844880140027,-0.062068874478273285,0.22176266160666946,0.19025942538601429,-0.107180490478225,-0.1775018058807245,-0.07210820817658947,0.40540139512291545,-1.063368995576734,0.534822860243427,0.6338935967117585,0.20125366625442978,-0.08087718358576923,-0.07072624109660004,1.632032197418578,1.9150479997629313,0.3083497900581682,-0.24642292689615064,0.18519951219303318,0.17469659054706904,0.4241393401869012
135,1.8508394543741478,-0.22283803494647833,-0.319434587818891,-0.1505380307147971,-0.26407147340877624,-0.2143791655791087,-0.09863157326258849,0.02349543581441297,-0.1596060833391436,0.15780947481066793,-0.011830871263882683,-0.48212243468994603,0.5730977713717107,-0.10728455287483714,-0.1556350411368721,-0.07176714986467186,0.835494893592483,0.38431406414128577,-0.08039656151796755,0.543492703468975,-0.3900414134892392,-0.5435465686844455,-0.15833347387630073,0.002992958730980393,0.5027356165354798,3.058829917377028,0.5089107796749265,0.3740206113044568,0.45465357400324224,0.4241393401869012
97,-0.648121500478446,-0.09686563756461272,0.2085167041906208,-0.030982528076227065,0.2102155409525583,0.7578955692423233,-0.09687647486382925,-0.1848552003513849,-0.1591284424155747,0.15718504978279693,-0.25637994403219133,0.621233334244594,0.4787366155254444,-0.10637078970968848,-0.1692925684209168,-0.07264154359545301,-0.5054651090610369,-1.4505067818005186,-0.15031364332421987,-0.29233733293734404,0.29621445976422683,1.0001561800996408,-0.11294613776517973,-0.2356713032590492,0.48068220712788295,-0.5167942481374898,0.6988541395691098,0.22898931665450764,0.6597562049248018,0.4241393401869012
207,0.40642039887435305,-0.193935096562557,-0.1753000408516946,-0.11553000439354337,-0.1574457848656888,0.030595145041336026,-0.0984330603196592,-0.053631602467893974,-0.15908033516327974,0.15700347261201897,-0.1343988597993547,-0.7372657492091136,-2.7746109525869938,-0.10709363924537445,-0.1602611358591565,-0.0723939912482611,0.31971544954332437,-0.016161522122620765,0.05242005344691013,0.26717250085038124,-0.18820850199475697,-0.12245635518780151,-0.1466403842355623,-0.11104705167208156,0.5865991742510874,0.03330177732628219,0.5282139666560427,0.6283002001992875,1.111676379790504,0.4241393401869012
41,-0.11333369590867864,-0.18558761198928567,-0.16012077139619194,-0.12234168492197582,-0.2206431040398463,0.11200055742041548,-0.09914795424577642,0.20801413517870287,-0.15975196195759878,0.1576047587441308,-0.15800526242508375,-0.835445260516466,1.1250893006328708,-0.10707263647664962,-0.15415131081505024,-0.07281173709069938,0.5699342786086856,0.18533576250964276,-0.607839028947235,-0.8347389972594946,-0.1959194418287594,0.047124505854698656,-0.1563623028826156,-0.19406070801643965,0.1347536372842441,-0.2417462354056038,0.4482987725542216,0.6048932026786192,0.2816537818494971,0.4241393401869012
49,0.38217259132062187,-0.2245310590172574,-0.30551673932715306,-0.14909289947408072,-0.27628719631910204,-0.15646355668830417,-0.09946939250287844,0.11874299210397542,-0.15993166323829075,0.15797546783695152,-0.1924741666322631,-0.5539647681676112,0.3204329448762775,-0.10721052136100956,-0.17291485192260914,-0.07258936095930407,0.781733817973808,0.42904511463555756,-0.7230110817627918,0.5002871171117522,-0.3616820069855433,-0.38877426897264455,-0.1658681945206352,-0.1631381210281663,0.11505425933852019,0.8584458155219402,0.17187713498463744,-0.017852050461413634,-0.00786952806658449,0.4241393401869012
6,-0.8566658738099511,-0.14794901605867058,-0.10181988726615868,-0.13778289830757814,-0.36315788004404337,0.9343743987393682,-0.10164169754316671,0.4283887143928736,-0.1604230275861589,0.15836809847115538,-0.1902105868543424,0.045407320724144135,0.41939547085025186,-0.10676591735142538,-0.1256609387385489,-0.07364905432551133,0.2784658783298797,-0.07902167524949223,-0.3018564542310345,-1.3972065625744374,-0.21072209105432385,0.7493731065016447,-0.2000722202209639,-0.3085157867012234,-1.1662173833006693,-0.7918422608693758,-0.09663019592268893,-0.36318870113888263,-0.01044138893267327,0.4241393401869012
43,-0.6835162689067571,0.07833949578448596,0.06171453946206096,-0.09899253022654271,-0.0030434252569421574,0.7526025567389703,-0.09554120023808976,0.2363042999870077,-0.1600635401824426,0.1580521592303042,0.170981116842415,0.30466921791767476,0.23582932807465196,-0.10670078856938128,0.028345777600090077,-0.0683135393564871,-0.626235990821758,-0.07846418316736159,-0.29185399461267414,-1.3972065625744374,-0.07054765842162634,0.7986340650010869,-0.13638572172058783,-0.28755483847427304,-0.7497125567081535,-0.7918422608693758,0.6615989886955557,0.21348803311465514,0.2523751935094031,0.4241393401869012
186,-0.627697337848028,-0.15322972109072525,-0.1823547937547947,-0.14473494715156118,-0.36471268880140134,0.6349147668845245,-0.10108635429675679,0.32993018015665926,-0.1600860874679593,0.15809641941676217,-0.11247759000126781,-0.4399329268999468,-0.19627695711769638,-0.10671503322199279,-0.13410597314157005,-0.07331150143166955,0.21413235019657648,0.5016078447431854,1.8814595220876256,-1.3972065625744374,-0.27618600531562315,0.3720789181212311,-0.1919630189537905,-0.28776237261513393,-0.8208677524106771,-0.5167942481374898,-0.4603022386469182,-0.190316110083483,0.18520720167350319,0.4241393401869012
134,-0.9786685851655469,0.037660680933374865,0.8930060924613287,-0.0028973071297198807,0.31279761354937874,1.7340963280122181,-0.09995101751976901,0.3457652095664165,-0.1600171447634476,0.15767928147726024,-0.18632308853007096,0.20166928228104045,0.4338056996578452,-0.10518672786742604,-0.2916789477394978,-0.0739746900221779,-3.651410991400133,1.9068435990718777,-1.9221337067160411,-1.3972065625744374,0.5918504951779059,2.870953163843034,-0.1589375232347527,-0.3188924937442682,-1.3664456598552663,-1.0668902736012618,0.224960899182707,-0.4174308225973431,-0.0718299210883342,0.4241393401869012
217,-0.14469003790006296,0.060502782100033334,0.8831062374780247,-0.020171937192950205,0.37547542555348307,1.7530533703000466,-0.1008181707185036,4.026738616074036,-0.15702815162123593,0.15715654348273808,-0.21980451200201753,0.04842249773092064,0.5450780115000169,-0.10583541793691899,-0.26671965170568324,-0.07198012599021258,0.009074710386641935,1.185528763457726,1.118386285281632,0.6705704892800555,0.5008223099254828,3.8886398538267177,-0.20356360064649212,-0.15172374328081703,0.2048543608538073,-0.2417462354056038,-0.04200217676613009,2.5421640714182985,0.04387584518861589,0.4241393401869012
58,2.5222363158042755,-0.22315301523452252,-0.2870215645218144,-0.14905214792073213,-0.2611463417230524,-0.13764693062608976,-0.09941770682003889,0.057147721268706736,-0.1583542266038126,0.1567478973733423,-0.10419876283990125,-1.1484275137514808,-1.2506774996084427,-0.10722345018507737,-0.1739260219759931,-0.07250237103284941,0.7087034837398449,0.4167040518646171,-0.17936971835696272,0.6692278586930862,-0.3664930411471649,-0.4143031773465415,-0.16585059147990222,0.1070713303727194,0.9963510751331135,0.8584458155219402,1.035887784259399,1.2801027061984807,1.8493540004808133,0.4241393401869012
68,-0.889877759358913,-0.21731014226583592,-0.19042162607990773,-0.19079466587491417,-0.6097810931461934,0.550141495418988,-0.10245972943447232,1.321836296803715,-0.1603086153806299,0.1578113580733784,-0.27583964658614873,0.4062813483120085,0.33082546571109706,-0.10666954144424907,-0.15438231085041962,-0.07460747042756902,-2.7248625775508097,-0.8061994405992267,-1.7476106051947995,-1.3972065625744374,-0.471284136997248,0.05524136529814833,-0.20599994649282183,-0.3188924937442682,-1.3664456598552663,-1.0668902736012618,0.4701113738428829,-0.4174308225973431,-0.9035671135315434,-2.3577157439801275
111,0.16791799578947225,-0.22145074290208971,-0.2965124238504611,-0.14768378306388494,-0.2508233507831667,-0.06008697718931784,-0.09963463896408023,0.0937337230329428,-0.15959272862466437,0.15739596989883547,-0.2652578807492289,0.1931381727780106,0.3607839900539412,-0.10711809404365076,-0.16628871113296806,-0.07260803918815152,0.5943170248479077,0.20415586245574432,-1.1500463020611313,0.47751465126263826,-0.34957091990492134,-0.29515589048589636,-0.1691602649926823,-0.18389153511425582,-0.0094972938470144,0.5833978027900542,0.44521026263724284,-0.1121813167276139,0.2736362701802724,0.4241393401869012
66,0.006752759596867129,-0.20661616572741914,-0.26167615533257604,-0.13407161795300776,-0.2376274611331527,-0.005431682743260482,-0.0991680274883516,0.03807347616950961,-0.15981288447770872,0.15768246587275975,-0.16044314208327684,-0.5712241356903641,0.5537542795892432,-0.10712337896561222,-0.16214449964800481,-0.0725246992468056,0.6620673252961397,0.23746361461446985,-0.0024654110810278405,1.1875834635169493,-0.2796807479898471,-0.20449824994615817,-0.16029641646618392,-0.1942682421573006,0.22168484031981892,0.5833978027900542,0.02054014905268645,0.036783265453961975,0.44222696680911744,0.4241393401869012
128,1.0695755912811433,-0.19187507652574445,-0.20696241628235496,-0.13008541907501517,-0.20094747443521344,0.12811524120359805,-0.0992388244328284,0.2731356994869433,-0.15759193060235938,0.1551417755758339,-0.22433433787525006,0.01688282456610596,0.5053860071206584,-0.10701827891929344,-0.1592352382814873,-0.07285804508744259,0.49027343483189423,-0.1220289115533909,-0.9936834292917122,0.38700363118588094,-0.23862471405404714,-0.07170783337529307,-0.15769465000743288,-0.006657378819051237,1.260613414915412,1.4085418409857122,2.608325395741125,2.4551522838845,0.8627747284530953,0.4241393401869012
122,0.21980814376015975,-0.07234326569208165,0.022320129146494415,-0.11362394770926251,-0.15156081075134123,-0.024659677764422176,-0.09294873094568448,-0.07110308563092577,-0.15982362132182978,0.1576474130960923,1.3270489260226122,-0.22085560224961073,2.5122499175714172,-0.10716078785098104,-0.001256968456017792,-0.0666780880679272,0.13235932380085644,-0.09024384807644067,0.3865598193113484,0.23097278317713177,-0.22649093094395745,-0.290240717698928,-0.10454241821808441,-0.17320352685991972,0.1457076366712892,0.03330177732628219,1.1663773282517442,1.0462622277987925,0.4682498553050935,0.4241393401869012
206,-0.2782304361366716,-0.06381112083219848,0.14010213646459435,-0.02474134633208658,0.3172624644021078,0.20861563343007924,-0.09273249568728016,-0.514574622407752,-0.15977011348317507,0.1578837909018959,0.13731420556192528,1.0750712021896938,-0.40568370039172874,-0.10701454505566697,-0.09456853120535587,-0.07021036052619124,-0.44966227896150857,-1.2646703841199582,-0.33928182062405526,0.7812554738204475,0.23416119983775008,0.19406771970542305,-0.06299032676049593,0.1897736855057862,1.5005972144329025,0.03330177732628219,0.6069709695389969,0.3238222787796502,0.3352600034097292,0.4241393401869012
35,-0.5502656226661334,1.5640053339458646,0.7956680565539059,0.06543645497050256,0.8637505954060702,-0.3198570511146438,-0.052314479085738996,-0.2600450452045158,6.795773020370079,-6.753318840505612,6.8907877689449455,2.6313274223398486,-0.21587900045659836,2.9950698911904525,2.7908971416956625,-0.021743539918899112,-1.4587223691331572,-0.6608807680528517,-1.1586611662061335,-0.6420114014928079,0.2299499814898816,-0.2721991435017797,0.1209007548347309,-0.27728189850165874,-0.8208677524106771,-0.5167942481374898,-0.994807486154026,-0.03851549201942259,-0.9035671135315434,-2.3577157439801275
78,-0.6556779866332415,-0.25619472510599856,-0.4037204715553452,-0.18672954702838607,-0.48536116573408666,-0.1122037110638573,-0.10105590481134034,0.2666323835230482,-0.16063608744007307,0.15848018197462085,-0.2529768618735897,-0.08358794096431117,0.3697058588818438,-0.10713277475472534,-0.18158414277995785,-0.07296046069963316,0.11729368662933573,0.8950413726873663,0.4013601757115222,-1.3972065625744374,-0.5469407547862272,-0.5206640570069536,-0.19590429710628493,-0.30872332084208437,-1.2914845196466165,-0.7918422608693758,-0.6043040135260451,-0.8944449298501822,-0.611690735422825,0.4241393401869012
28,1.2300794449007926,-0.23166854061814668,-0.33227429900986727,-0.15566947554647875,-0.28719874038694193,-0.183360818794618,-0.0995390663168305,0.06734302417779639,-0.16006365760467256,0.1581521375544994,-0.1465961374567711,-0.5040159960443462,0.49027531028531324,-0.10729823231724515,-0.17988685640141258,-0.07249894529092243,1.0451670747309205,0.48178767758360885,-0.8377174665182993,0.505353187963175,-0.4044253145178394,-0.5023636715829717,-0.16848026484018505,-0.0697477576407634,0.37961797142462594,2.2336858791813703,0.02054014905268645,0.04479924711199143,0.4512990557050132,0.4241393401869012
210,-0.10168416917714244,0.0470906132449615,0.6381473414981713,0.04917385125857144,0.436506882882813,0.07212186613962322,-0.08375728996088463,-0.7078934380479684,-0.15979276442218593,0.15793486374466006,-0.2973601340258706,0.9502704684815594,-2.136088185874969,-0.10709235005056968,1.9274718651930391,-0.06539618684071846,-0.04414095897117022,-1.7370076013047324,-0.47855708993731744,2.6810784362572404,0.4608035467226024,0.08536790886611678,0.036891631061816484,0.3143979370927539,1.6949372282157271,0.03330177732628219,-0.2138005408980643,0.4908037732482292,-0.285897017865829,0.4241393401869012
