,nBondsM,SpMAD_Dt,fragC,MLFER_BH,MLFER_E,MLFER_L,MPC6,TPC,piPC1,piPC4,piPC5,TpiPC,R_TpiPCTPC,GGI4,MWC4,MWC5,MWC6,MWC7,MWC8,MWC9,SRW4,SRW6,SRW8,SRW10,TSRW,WTPT-1,WTPT-3,WTPT-4,WPOL,Zagreb
1266,0.6717766040485172,0.3064415728857559,-0.07881100034859936,-0.1669458876631875,0.5816761939829431,0.4064727263907674,0.08622979693633313,0.025949906398262005,0.7683651196590918,0.8863965753661699,0.8977845067585561,0.8233456048306823,0.45230076949930154,0.40650013283078196,0.6112484887993894,0.6064114021354003,0.586640515320241,0.5827113361760204,0.5657516939249184,0.5629042905755095,0.6228022082834976,0.5940328161725946,0.5712650573863204,0.5523994398724518,0.5518999879704117,0.4202089369017688,0.808671615608373,0.2433774343666869,0.43206508707669544,0.41501722723052875
637,-0.6536317532095786,-0.7253789094497836,-0.4406656736132208,-0.38362763601113703,-0.7282577153468558,-0.713643617901811,-0.5829488079365414,-0.529091757461929,-0.46222486783956646,-0.7216852519136306,-0.5383448373454203,-0.6958336823753541,-0.6582182466701156,-0.4084139806879232,-0.15667019892682313,-0.1493780849152024,-0.11802183389779813,-0.11387895094161654,-0.09297644806919296,-0.09120091377439946,-0.17694828720481,-0.09610889732811888,-0.05691504185144112,-0.037558679806548735,-0.05381196043985005,-0.6218283824362528,-0.43128148208245104,0.024735239207079433,-0.6346118750505596,-0.5863817206764518
120,-0.7419923103601183,-0.8182627163411113,-0.45643493040381744,-0.1739356214808633,-0.5618020252110251,-0.7299380709157273,-0.6498666684238288,-0.5661769465839908,-0.8950956683145936,-1.0397406334433263,-1.0446358862633642,-1.0037632283314881,-0.6964139432864086,-0.6602329341135235,-0.6427091635340348,-0.6100455079873972,-0.6102437351399354,-0.5851403088105821,-0.5864217372912772,-0.5670980389839057,-0.6575946812914364,-0.6183696280468772,-0.5830884482233868,-0.5552017951305123,-0.5729033752627688,-0.8020609866952679,-0.6226462542727303,-0.7476616568039003,-0.7817397318956982,-0.836731457653197
395,-0.3885500817579594,-0.28382002931487504,-0.41441850533385555,-0.2918873796541422,-0.5523379893170146,-0.37604291951973146,-0.5294145195467114,-0.45615755218854087,0.08312784538091407,-0.37754738356511064,-0.405767713053151,-0.353298816679609,-0.5996107700918458,-0.5972781957571234,-0.06562290643096716,-0.07962397173323398,-0.1148768539241396,-0.12409965157045902,-0.15073067702730086,-0.15685604565106767,-0.003640400173693864,-0.06358210088949344,-0.11262663653320083,-0.15116838789439946,-0.14998385522431684,-0.27729836580354245,-0.26268960183932133,0.36905235414862825,-0.4507020539941363,-0.41113690479273024
587,-0.5652711960590389,-0.5821360155058617,-0.4406656736132208,0.001681440688240994,-0.5434306614167694,-0.8482001556807921,-0.5963323800339988,-0.529091757461929,-0.3767720139005832,-0.3466185751131489,-0.37782910015945004,-0.44464687128494035,-0.4175853588949997,-0.6602329341135235,-0.4124696116039942,-0.4176175272427533,-0.435057957591856,-0.43645187392117746,-0.44927232970421316,-0.44891678145180847,-0.36911562977563056,-0.4091517777222117,-0.43789824438556396,-0.45755495287671377,-0.46022867266530215,-0.6029867868079102,-0.3929270695672529,-1.0686034748775661,-0.7081758034731289,-0.6865216154671498
1193,1.2019399469517555,0.9819844408535444,1.1314401661616107,0.7731733108142064,0.5443767584006665,1.2145757555496817,1.6922584486312318,1.4116998065926365,1.2559961665639567,1.1435735696666944,1.1572590144507906,1.3023366330713186,0.43064163855141596,1.8273536022429036,1.016437888363294,0.9863228536318359,0.953951764801711,0.9369322856198938,0.9128888174172821,0.9025816831572695,1.0792405895288162,0.9725810861788955,0.8950238865932073,0.843199222266732,0.8622665477345992,1.587331580596001,1.0282738166864926,2.248482954937392,1.461960084992666,1.591660991021231
932,-0.5652711960590389,-0.20494024993370158,-0.4091271600320275,-0.058605013489212654,-0.617472824587557,-0.3029724817854503,-0.5160309474492539,-0.44255964951045157,0.02836759788348546,-0.4103517808549054,-0.4355100305384626,-0.3807373647907639,-0.6482199614297984,-0.5972781957571234,-0.024302637867079584,-0.038696515452800485,-0.07750306068807009,-0.08442087644072664,-0.11279136224899276,-0.11561956808084048,0.04688527683935368,-0.025029614936202118,-0.07623203789121255,-0.11143869123802085,-0.11081315156863576,-0.21078141770284517,-0.035863497378911716,0.8323018876884931,-0.41392008978285166,-0.3610669573973812
810,-0.21182896745687996,-0.5716424294545025,-0.45648731996126124,-0.6483638043556075,-0.24225163678973108,-0.7172080294986052,-0.6364830963263713,-0.5513428709351661,-0.555117409440025,0.05948127990770368,0.17718631553794287,-0.36992267381166194,-0.07537579051916156,-0.6987052743076495,-0.507588834291453,-0.4558770850353564,-0.4369356080418297,-0.40161579168338196,-0.38996350071005903,-0.3645451851092696,-0.5842134608173293,-0.4718884179545589,-0.3824530025119255,-0.32141928629920985,-0.3495732234866591,-0.8346756434818896,-0.8036468162057024,-1.0686034748775661,-0.8185216961069829,-0.8116964839555224
270,-0.7419923103601183,-0.2759715136740346,-0.26772774449109604,0.02964037595894418,-0.4933269419778906,-0.4104140313459612,-0.5026473753517964,-0.4388511305982454,-0.15509814760657814,-0.4452740156422791,-0.46730511728216306,-0.44464687128494035,-0.6964139432864086,-0.6523635918189734,0.08642219867077335,0.10879204023849035,0.10023887151337928,0.11667234099038898,0.1094397538068387,0.12252863508990308,0.06306216500470462,0.06589984864128583,0.07289593001659694,0.08136579132547452,0.19285860746526542,-0.3789763701765965,-0.21653851431483556,0.46330724522007055,-0.597829910839275,-0.3610669573973812
74,-0.6536317532095786,-0.4836726851449725,-0.38764744148005204,-0.7261245930772506,-1.2365321136545933,-1.005543467596422,-0.382195226474679,-0.32512321729058935,0.1848801112679906,-0.052464542062797805,-0.00713712737584643,-0.1976828029254125,-0.6745878308982282,0.9136355247964786,0.568670841101195,0.5903490822927946,0.6074671384329196,0.6254096541622172,0.6319482226109125,0.6458921601178984,0.5281679135768329,0.6144973765619801,0.6551435531021319,0.6741649200247751,0.6669879144691396,-0.007664384245235674,1.4409651760814068,0.32931976134825974,0.32171919444284147,0.18970246395145812
