,NOAEL-LOG
19,2.0
77,3.0
119,2.0
40,1.875061263
206,3.0
204,2.875061263
73,1.698970004
41,2.903089987
125,3.0
169,1.397940009
117,2.176091259
102,2.698970004
37,2.903089987
43,2.0
135,2.0
121,1.698970004
154,1.698970004
91,3.0
195,3.0
152,2.0
69,2.903089987
66,2.0
189,2.301029996
201,3.0
10,2.698970004
134,1.698970004
126,3.0
56,2.0
49,2.0
70,3.0
58,2.477121255
174,3.0
32,2.477121255
82,2.301029996
26,2.477121255
85,1.397940009
166,1.698970004
6,1.698970004
175,2.477121255
113,2.477121255
103,2.698970004
124,2.698970004
97,2.0
