,naAromAtom,nBonds,SpMax_Dt,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MLFER_S,MLFER_E,MLFER_L,MPC2,MPC3,MPC6,TPC,piPC1,piPC2,TpiPC,GGI2,GGI4,TopoPSA,MWC3,MWC5,MWC7,MWC9,SRW2,WTPT-1,WTPT-3,WTPT-4,WPOL,XLogP
373,-0.6355502266259445,-0.43654036310860495,-0.48715298109661087,-0.480396309102125,-0.4861348720407123,-0.5292939707215272,-0.4003281231039703,-0.6074508622808762,-0.4560157754755019,-0.45982167100964316,-0.33453610669824413,-0.3578740551552411,-0.4708544186864421,-0.4215809620394748,-0.2303563547339632,-0.13717435225033398,-0.33329899680683234,0.18980630238380045,-0.35796713751501796,-0.613142270035066,0.1119073974267024,0.2512575206378542,0.3505861118749887,0.42358273522987344,-0.08188888715352033,-0.467592059878108,-0.7730742373311217,-0.7246546857932309,-0.4761268611329299,-0.03786888558993665
734,-0.6355502266259445,-0.8055304437300679,-0.5990790548960219,-0.6053166837166807,-0.5972852386198967,-0.8542737906416914,-0.4297261202980939,-0.42958662349550736,-0.5244323451540153,-0.8299743749155444,-0.7901958051147577,-0.7541004232404733,-0.640857844854461,-0.5388190792825776,-0.6730331843165058,-0.661272806429676,-0.8673685610293185,-0.4943544751135834,-0.6434136855805004,-0.2847044848958206,-0.5887413449813726,-0.5156477053785267,-0.46687431215949926,-0.4332264928066351,-0.6948282024122158,-0.8003605132103815,-0.27085109966773996,-0.045596107872532106,-0.7318765143589134,-0.7863031592568455
741,-0.6355502266259445,0.3629381449045648,0.199987046500848,0.31818725640783924,0.19624290928667104,0.5464576298241404,-0.336263140943912,-0.5698076371411155,-0.6183693812999106,0.38647570955832633,-0.04457084406955368,-0.20547929819938263,-0.36623692565996896,-0.29250061073141226,0.4893918041183868,0.10689868841333973,-0.16364137980695367,-0.6970687793545384,-0.6434136855805004,-0.5373393287500768,0.36984171352658884,0.20177455687086146,0.08695322482775085,0.004933900236251326,0.6214275368315157,0.45994822278143344,-0.5831002808936433,-0.33607262269504345,-0.07423454892067002,1.9019783464612265
936,-0.6355502266259445,-1.113022177581287,-0.6526213835731363,-0.6614689023312923,-0.6504564904676107,-1.1291632867280306,-0.45439680136049915,-0.37265124547161954,-0.6406319158778396,-1.0769949059525097,-1.0801610677434481,-0.9674530829786753,-0.640857844854461,-0.5743457814774572,-1.429794223589845,-1.538998831606549,-1.4952490339930236,-1.001140236172078,-0.7685409395270132,-0.43943239964392905,-2.0900708041504426,-2.209320429001903,-2.2683875037125296,-2.2997984955045028,-1.84045246415767,-1.116828609994508,-0.4909196372221464,-0.4617065586269036,-0.987626167584897,-0.7633826432955483
108,0.6346311373611203,0.8549249190665154,0.4863515300637645,0.5127477213878634,0.4806227345851519,0.8444962615667179,0.648791358002903,0.3397467902983497,0.6603688853103988,0.6289591288007351,0.9910193796043407,1.2270314171856875,1.0199448569408003,0.8230378381878076,0.9930775429633766,1.052699770187236,1.2806672652937712,1.5327885695765022,0.640878545724503,-0.08889062668352521,0.9193061637491242,0.9183659557539278,0.9140300428112741,0.9096526511667941,0.8965313191924043,0.8008263244403269,0.1983644400192913,-0.022462137751164745,1.0583710582229715,0.4398309767717502
169,0.6346311373611203,-0.19054697602762966,-0.31318210067677593,-0.31278284466168327,-0.3133697024379318,-0.04301545115588861,-0.22300452528815942,-0.14632135431880897,0.14833059001803292,-0.15117203809661905,-0.16884167091042102,-0.0835634926346958,-0.18315631286364095,-0.23092099359362092,0.2827820442870684,0.43759464231332373,0.6826980340804489,-0.08892586617556626,-0.10814709960132685,-0.36050742618081,0.2816887614030943,0.33122584166382474,0.36095282342604224,0.38014530077374725,0.1887273476759406,-0.21857667156120075,-0.6039389569269588,-0.3786970743678465,-0.14730587841380818,0.2773449428282976
302,-0.6355502266259445,-0.3135436695681173,-0.41238793177577127,-0.39141513946481704,-0.4118879842990581,-0.2742661342879836,-0.2524517653586551,-0.33877234284583496,-0.47013348032979835,-0.40424205152632603,-0.3759597156451999,-0.5102688121110996,-0.48393160531475127,-0.41684406841349086,-0.15989478529547418,-0.31267633565277814,-0.44328325360798576,-0.6463902032942996,-0.6355932322088432,-0.3222937523205023,0.09055812289125696,0.10351320233712778,0.1116877299482778,0.11778126761578682,0.06217319968623007,-0.3736447054450862,-0.19604331350571877,0.45563271283933626,-0.5857338553726371,-0.8904666921898688
1018,-0.6355502266259445,-0.4980387098788488,-0.49635723565432355,-0.4844758192212343,-0.49527533625056824,-0.5705266039952773,-0.40515392498843283,-0.4258223009815313,-0.5982788013149504,-0.4532680650841727,-0.45880693353911145,-0.6017056662846147,-0.5493175384562969,-0.4736867919252983,-0.2303563547339632,-0.2207403812341239,-0.52013104086632,-0.2916401704165212,-0.4557228046607311,-0.502372568355024,-0.10506308224109377,-0.08581757294254351,-0.07809137679740115,-0.07501142979838171,-0.1621432559254564,-0.4834486508876238,-0.3790329208850157,-0.7160263229836814,-0.549198190626068,-0.8035502801782175
1043,-0.6355502266259445,-0.4980387098788488,-0.5126653907217624,-0.5292348276552474,-0.5114704671419578,-0.6435828383812433,-0.40510468211206074,-0.3698280035861375,-0.35447689825421624,-0.44469796502778824,-0.5002305424860672,-0.6017056662846147,-0.48393160531475127,-0.4736867919252983,-0.38659033561822187,-0.47053676086436114,-0.6230632216489567,-0.6970687793545384,-0.39315917768747477,-0.06741104529799281,-0.13333776114504348,-0.1004213145645649,-0.0772285526160623,-0.0618202887065894,-0.1621432559254564,-0.48079329216332173,-0.2590396017689548,-0.1029562834466758,-0.549198190626068,-1.0048423361947572
788,-0.6355502266259445,-1.2360188711217748,-0.6620897194483238,-0.6733307534921777,-0.6598592057347392,-1.3129644276564878,-0.46434386238765657,-0.6822667722461503,-0.5836181078124119,-1.1174508194539716,-1.1215846766904038,-0.9674530829786753,-0.640857844854461,-0.5802668985099371,-3.186938940205281,-3.017417063707082,-2.262474255681065,-1.001140236172078,-0.7685409395270132,-0.8657771138893222,-3.8138756874537005,-3.971146772950516,-4.059654318776312,-4.113032537217322,-3.5187616713470913,-1.2461070466122164,-0.8617472867281767,-1.0361704828770533,-0.987626167584897,-0.7334271174847442
