,NOAEL-LOG
1290,3.0
694,3.0
923,2.397940009
1310,2.301029996
182,2.903089987
135,3.0
1016,2.875061263
1483,2.477121255
347,3.0
367,3.0
438,2.0
785,3.0
742,3.0
23,2.698970004
27,2.301029996
961,2.653212514
1210,3.0
101,3.0
188,3.0
541,2.0
554,2.176091259
105,2.397940009
418,3.0
460,2.77815125
645,3.0
664,3.0
396,3.875061263
325,3.0
735,3.0
495,2.0
1484,2.301029996
520,3.0
1407,3.0
1322,3.0
753,3.0
922,3.0
524,3.0
1326,3.0
835,2.477121255
0,2.0
931,2.875061263
757,3.0
1221,3.0
233,2.0
1440,3.0
761,3.0
1402,4.113943352
558,2.698970004
229,2.0
1054,2.77815125
1023,2.079181246
1301,3.0
1172,3.0
311,2.301029996
494,2.204119983
572,2.698970004
324,3.0
1158,2.301029996
200,2.477121255
564,2.698970004
71,2.698970004
972,2.698970004
1307,3.0
360,3.0
690,3.0
1269,2.698970004
288,3.0
991,3.0
1242,2.397940009
42,3.0
599,3.0
759,3.0
454,3.0
1214,3.0
1055,2.903089987
1199,3.0
975,3.0
1477,2.0
1279,3.0
60,3.0
1452,3.0
369,2.698970004
1369,3.0
1390,3.0
576,3.0
205,2.698970004
1360,3.0
770,2.77815125
542,2.875061263
1212,3.0
1351,2.875061263
1287,3.0
748,3.0
1439,2.544068044
1003,3.0
216,3.0
685,3.0
673,2.698970004
1386,3.0
875,3.0
890,3.0
630,3.0
144,2.698970004
787,3.0
315,3.0
1414,3.0
380,3.0
1338,3.0
898,2.653212514
808,3.0
1486,3.0
63,2.77815125
969,3.0
1412,2.477121255
114,3.0
268,3.0
83,2.397940009
248,3.0
719,3.0
432,2.698970004
713,3.0
962,2.51851394
1437,3.0
1474,3.0
111,3.0
1219,2.397940009
1379,3.0
908,3.0
9,2.698970004
134,2.77815125
662,3.0
1352,3.0
1098,2.51851394
623,3.0
96,2.903089987
1332,3.0
437,3.0
578,3.0
1004,2.903089987
1001,2.875061263
246,2.77815125
911,3.0
608,3.0
1263,2.079181246
1359,3.176091259
1095,2.602059991
1033,3.0
125,3.0
523,3.0
1243,2.903089987
26,3.301029996
1025,2.698970004
963,3.875061263
1366,3.0
848,2.698970004
242,3.0
1126,2.77815125
254,2.301029996
338,3.0
473,3.0
823,3.0
1036,2.477121255
632,3.0
887,3.0
1216,2.0
776,2.0
1218,3.0
1155,3.0
901,3.0
1299,3.0
1139,2.875061263
442,3.0
1372,2.77815125
192,2.602059991
677,3.0
1086,2.875061263
942,3.0
1446,2.875061263
115,2.0
218,3.0
185,2.176091259
869,3.0
378,3.0
739,3.0
841,2.875061263
1208,3.0
880,2.397940009
1196,3.0
918,3.0
559,3.0
865,3.0
498,3.0
11,3.0
467,1.698970004
287,2.477121255
878,3.0
837,3.0
1009,2.477121255
335,2.301029996
1073,3.0
1181,3.0
1246,2.477121255
208,3.0
363,2.0
149,3.0
525,2.903089987
820,3.0
24,3.0
1271,3.0
616,2.698970004
539,2.698970004
1365,3.0
892,3.0
445,2.397940009
4,2.698970004
511,3.0
1014,3.0
945,3.0
1145,2.544068044
1087,3.0
252,2.301029996
1159,2.079181246
938,3.0
178,3.0
1010,3.0
226,1.698970004
12,0.602059991
379,3.0
408,2.653212514
830,2.698970004
159,3.0
78,2.096910013
915,3.0
636,1.875061263
323,2.301029996
1079,3.0
48,2.301029996
627,3.0
983,2.301029996
1102,3.0
545,2.477121255
836,3.0
1298,2.397940009
531,2.875061263
1012,2.301029996
402,3.0
666,2.77815125
210,3.0
382,3.0
385,3.0
661,2.397940009
1097,2.875061263
1238,2.602059991
834,3.0
509,2.301029996
763,2.698970004
999,2.477121255
1093,3.0
345,3.0
1058,3.0
247,3.0
585,2.301029996
1203,2.903089987
751,3.0
2,2.477121255
191,3.0
413,2.77815125
317,2.301029996
158,3.0
843,2.301029996
764,3.0
985,2.698970004
283,3.0
737,3.0
175,3.0
390,3.0
321,2.0
1074,3.0
397,2.397940009
537,2.301029996
106,3.0
1166,3.0
117,2.875061263
372,2.397940009
1207,3.0
1220,3.0
1459,3.0
825,2.477121255
356,2.653212514
1318,3.0
1108,1.77815125
756,3.0
816,3.0
475,2.176091259
458,2.0
943,2.698970004
1129,3.0
607,2.698970004
1266,3.0
540,3.0
584,2.096910013
1460,2.0
422,3.0
946,2.0
659,3.0
1443,2.096910013
180,3.0
353,3.0
995,2.698970004
1311,3.176091259
867,2.77815125
989,2.698970004
905,2.0
921,2.698970004
1400,2.698970004
393,2.698970004
998,3.0
954,3.0
809,2.875061263
1133,2.477121255
580,3.0
1418,3.0
322,3.0
504,2.0
772,3.0
1336,3.0
293,2.875061263
359,2.176091259
850,3.0
130,2.0
866,2.77815125
1187,3.0
904,2.397940009
1432,2.079181246
767,2.301029996
1468,3.0
740,2.397940009
974,3.0
1415,3.0
392,3.0
337,2.477121255
1393,2.0
725,3.0
1373,3.0
798,3.0
1381,3.0
485,2.602059991
712,2.0
198,3.0
501,3.0
862,3.0
99,2.77815125
46,3.0
750,3.0
275,3.0
913,2.602059991
1082,3.0
1041,2.875061263
614,2.0
570,3.0
45,2.698970004
197,3.0
1387,2.096910013
1403,3.0
1317,2.477121255
696,3.0
1424,2.875061263
127,2.301029996
1482,3.0
70,2.77815125
1384,3.0
1037,3.0
5,2.0
762,3.0
1027,3.0
258,2.096910013
176,3.0
1034,3.0
992,3.0
802,3.0
1060,3.0
1161,3.0
428,3.0
1048,2.397940009
319,2.397940009
225,2.653212514
1022,2.397940009
329,2.0
1312,3.0
476,3.0
512,3.875061263
1435,2.875061263
799,3.0
838,3.0
457,3.0
928,3.0
148,2.397940009
1109,2.875061263
1454,2.477121255
655,3.0
154,2.77815125
1152,2.84509804
644,3.0
797,2.0
433,2.602059991
1297,2.77815125
439,2.477121255
909,2.875061263
496,3.0
29,2.301029996
681,3.0
340,3.0
688,3.0
1463,3.0
1162,3.0
707,3.0
56,2.875061263
326,2.301029996
129,3.0
711,3.0
102,2.602059991
680,3.0
861,3.0
721,3.0
1099,3.0
486,2.301029996
728,3.0
1458,2.602059991
684,3.0
1425,3.0
1355,3.0
1201,3.0
284,2.079181246
1134,3.0
139,3.0
1349,3.0
1304,3.0
897,2.602059991
1429,3.0
1188,3.0
1179,1.477121255
362,3.0
137,3.0
483,3.0
530,3.0
1114,2.0
1049,2.77815125
1316,2.653212514
574,3.0
1106,2.477121255
1110,3.0
715,3.0
212,2.602059991
698,2.698970004
463,3.0
1413,2.903089987
10,2.698970004
622,2.477121255
244,2.0
592,2.301029996
1480,3.0
31,2.301029996
66,3.0
86,3.0
257,3.0
1078,2.0
1107,2.698970004
277,2.477121255
844,2.51851394
58,3.812913357
204,3.0
846,3.0
282,2.130333768
164,2.397940009
222,2.301029996
403,2.477121255
555,3.0
151,3.0
1262,2.698970004
745,3.0
493,3.0
910,2.301029996
220,3.0
57,2.653212514
1233,2.477121255
156,3.0
1083,3.0
626,2.0
1411,3.0
603,3.0
1026,3.0
386,2.544068044
481,3.0
40,3.0
755,2.096910013
919,3.0
1376,2.079181246
1068,2.698970004
1397,3.0
917,2.51851394
206,3.0
891,2.698970004
1430,3.0
435,2.0
1140,2.903089987
984,3.0
1335,3.0
1090,3.0
124,2.477121255
1420,3.0
389,3.0
405,3.0
361,2.397940009
849,3.0
308,2.477121255
245,3.0
426,3.0
165,2.397940009
959,3.0
1240,3.0
528,3.0
313,3.0
1431,3.0
316,3.0
1330,3.0
1348,3.0
563,3.0
65,2.397940009
87,2.397940009
145,2.477121255
1485,3.0
689,3.0
594,2.698970004
310,3.0
519,3.0
720,3.0
994,3.0
926,3.0
1230,2.477121255
447,3.0
1024,3.0
534,2.477121255
281,3.0
267,2.698970004
1346,3.0
93,3.0
227,3.0
351,3.0
1241,2.77815125
491,3.0
8,3.301029996
34,2.0
1354,3.0
597,2.0
391,3.0
1339,3.0
32,3.0
1449,3.0
986,3.0
569,2.77815125
170,3.0
796,2.477121255
41,3.0
1222,3.0
107,3.0
263,0.875061263
452,3.0
1146,3.0
464,2.653212514
957,2.653212514
1046,2.698970004
806,3.0
976,2.698970004
856,2.301029996
291,3.0
240,3.0
508,2.0
1444,3.0
668,2.875061263
1273,2.875061263
309,3.0
1455,2.096910013
895,3.0
789,2.698970004
82,3.0
1066,3.653212514
1206,2.301029996
760,3.0
1209,2.875061263
1395,2.698970004
571,2.77815125
294,2.477121255
1471,2.096910013
990,2.77815125
350,3.0
352,3.096910013
1165,2.397940009
50,2.0
1285,3.0
25,3.397940009
375,2.602059991
89,3.0
877,3.0
832,2.875061263
842,2.477121255
1252,2.954242509
499,2.77815125
1358,3.0
1032,2.77815125
914,3.0
1132,3.0
833,3.0
1478,2.602059991
566,3.0
643,3.0
896,3.0
230,3.0
193,3.0
1472,3.0
1039,2.301029996
368,3.0
430,2.698970004
383,3.0
611,3.0
1125,2.903089987
20,2.477121255
640,2.698970004
1088,3.0
434,3.0
320,2.301029996
669,2.0
342,3.0
1272,3.0
52,2.0
1305,3.0
1356,3.0
1479,2.698970004
1251,3.0
272,2.477121255
384,2.653212514
840,3.0
729,3.0
1226,3.0
55,3.0
289,3.0
1342,2.301029996
146,3.0
339,3.0
583,2.77815125
1015,2.698970004
1053,2.477121255
214,3.0
695,3.0
1163,2.698970004
147,3.0
517,2.397940009
160,3.0
79,3.0
451,2.176091259
777,3.0
251,2.77815125
429,3.0
300,2.301029996
44,2.301029996
514,3.0
