,NOAEL-LOG
121,3.0
221,2.698970004
152,2.875061263
140,2.698970004
714,2.397940009
778,2.698970004
773,3.0
842,2.0
53,2.903089987
395,2.477121255
404,3.176091259
629,2.301029996
470,3.0
686,2.0
91,3.0
273,3.0
335,3.0
590,3.653212514
856,3.0
423,2.698970004
381,3.0
537,2.875061263
659,3.0
234,3.0
237,3.0
552,2.698970004
564,3.0
681,3.0
797,3.0
163,2.0
665,2.698970004
344,2.176091259
7,3.0
373,3.0
815,3.176091259
133,3.0
676,3.0
720,3.176091259
575,2.698970004
646,3.0
743,3.176091259
823,3.0
585,3.0
535,3.0
298,3.0
94,3.0
315,2.698970004
577,2.397940009
808,3.0
346,2.0
684,3.0
60,2.477121255
547,2.698970004
424,3.0
113,3.0
847,2.875061263
71,2.301029996
787,3.0
205,2.301029996
851,4.113943352
816,2.079181246
30,3.0
861,2.477121255
740,2.079181246
697,2.903089987
236,3.0
166,3.0
366,3.0
661,3.0
241,2.903089987
443,2.477121255
161,2.0
276,3.0
427,2.698970004
118,2.698970004
144,3.0
456,2.0
209,3.0
494,3.0
63,2.301029996
360,3.0
114,3.0
268,3.0
715,3.0
795,3.0
207,2.698970004
612,3.0
601,3.0
473,2.875061263
862,2.903089987
576,3.0
637,3.0
863,3.0
305,3.0
9,2.477121255
134,2.0
150,2.602059991
415,2.77815125
111,3.0
421,3.0
635,3.0
675,3.0
367,3.0
701,3.0
246,3.0
307,2.698970004
96,2.544068044
885,3.0
588,3.0
397,3.079181246
125,3.0
791,3.0
26,2.0
506,2.0
242,2.698970004
254,3.0
120,2.397940009
623,3.0
264,2.698970004
43,2.477121255
897,2.698970004
411,3.0
509,3.0
157,2.653212514
192,3.0
660,2.301029996
793,2.698970004
292,3.0
349,3.0
218,3.0
671,3.0
527,3.0
507,2.77815125
47,3.0
11,2.698970004
287,2.77815125
461,3.0
448,2.51851394
524,3.0
398,2.571708832
441,1.698970004
625,3.176091259
918,3.0
627,3.176091259
679,3.0
648,2.903089987
399,3.0
584,3.0
4,3.0
673,3.0
285,3.0
420,3.0
844,1.0
513,3.0
846,3.0
226,2.698970004
501,3.0
680,3.0
159,3.0
78,2.301029996
651,3.0
662,1.176091259
475,2.301029996
115,3.0
882,2.875061263
497,2.653212514
33,3.0
324,3.0
712,2.477121255
19,2.477121255
374,3.0
546,3.0
210,3.0
149,3.0
789,3.0
835,3.0
363,3.0
480,3.0
345,3.0
247,3.0
73,2.301029996
608,2.0
239,3.0
639,2.0
836,2.096910013
543,2.397940009
158,2.77815125
331,2.096910013
252,2.301029996
283,2.477121255
531,3.0
418,3.0
321,2.397940009
670,2.477121255
713,3.0
756,3.0
117,2.698970004
372,3.0
520,3.0
459,3.0
855,3.0
188,3.0
16,0.903089987
595,2.397940009
400,3.0
812,3.0
591,2.096910013
356,2.698970004
203,3.0
734,2.875061263
826,2.079181246
413,2.397940009
208,2.698970004
27,2.397940009
903,3.0
482,3.0
572,2.875061263
95,3.0
792,3.0
460,2.51851394
558,2.477121255
28,3.0
191,1.301029996
416,2.77815125
454,3.0
825,2.477121255
180,2.698970004
605,2.301029996
353,3.0
691,3.0
72,3.0
716,2.51851394
175,2.875061263
913,3.0
425,3.0
709,3.0
409,2.698970004
485,2.477121255
609,2.875061263
393,3.0
614,3.0
297,2.0
690,3.0
450,2.77815125
412,3.176091259
442,2.653212514
541,3.301029996
925,3.0
322,3.0
104,2.77815125
754,3.0
396,2.903089987
260,1.477121255
762,3.0
293,3.0
790,3.0
68,3.0
417,3.0
338,3.0
876,3.0
742,3.0
48,3.0
515,3.0
504,2.0
462,3.176091259
700,2.301029996
341,2.77815125
607,3.0
502,2.477121255
536,2.903089987
181,2.0
549,3.0
330,2.477121255
764,3.176091259
616,2.0
371,3.0
392,2.903089987
337,2.698970004
879,2.079181246
223,3.0
545,3.0
325,3.0
820,2.903089987
213,3.0
794,3.0
286,3.0
850,2.0
805,2.875061263
200,3.0
652,3.0
