,NOAEL-LOG
408,2.903089987
159,0.875061263
78,3.0
636,2.875061263
323,3.0
48,2.397940009
627,3.0
1122,3.0
545,3.0
1108,3.0
531,2.477121255
875,3.0
666,3.0
210,3.0
382,2.301029996
385,3.0
661,2.477121255
1041,2.397940009
509,2.301029996
968,2.698970004
1178,2.77815125
345,2.477121255
247,3.0
585,2.0
1093,3.0
2,3.0
775,2.653212514
413,2.698970004
800,2.301029996
158,3.0
283,2.301029996
737,3.0
851,3.0
390,3.0
321,3.0
397,1.397940009
537,3.0
106,3.0
774,2.397940009
117,2.0
372,3.0
879,3.0
822,2.698970004
836,2.698970004
700,3.0
1161,2.477121255
1005,2.477121255
1246,2.77815125
999,3.0
356,2.0
1013,3.0
1166,3.0
866,2.77815125
1206,3.0
1089,3.0
27,3.0
1042,3.0
475,3.0
1011,3.0
558,2.698970004
1109,3.0
607,3.0
1078,3.0
823,3.0
942,3.0
482,2.698970004
540,3.0
191,3.0
584,3.0
795,2.698970004
422,3.0
659,3.0
180,2.079181246
1021,2.397940009
353,2.301029996
902,3.0
72,3.0
1252,3.0
817,2.875061263
175,3.0
489,3.0
889,3.0
401,2.301029996
1240,2.096910013
393,2.397940009
1121,2.698970004
812,2.698970004
824,2.477121255
494,3.698970004
412,3.0
580,3.0
1126,3.0
317,2.301029996
322,3.096910013
616,3.0
653,2.903089987
504,3.0
772,3.0
1139,3.0
293,3.0
359,3.0
68,2.698970004
417,2.397940009
130,2.77815125
560,3.0
873,3.0
202,3.0
1099,3.176091259
341,2.301029996
901,0.698970004
1101,2.301029996
767,3.0
870,2.77815125
181,3.0
967,3.0
1028,2.875061263
392,2.477121255
337,3.0
735,3.0
1052,3.0
1105,3.0
1187,4.113943352
725,2.397940009
1173,2.096910013
1118,3.0
724,3.0
1177,2.698970004
485,3.0
712,3.0
198,3.0
501,2.77815125
982,2.0
99,2.397940009
355,2.698970004
46,3.0
750,2.397940009
956,3.0
472,2.204119983
524,3.0
610,3.0
379,2.0
1030,3.0
17,3.0
787,2.0
173,2.477121255
614,3.0
570,3.0
525,2.0
45,3.0
197,2.812913357
1143,3.0
581,3.0
1197,2.477121255
1124,3.0
714,2.698970004
1034,3.0
1189,3.0
696,3.0
1145,3.0
127,2.176091259
988,2.77815125
70,3.0
1045,2.301029996
178,2.130333768
13,3.0
5,3.0
762,3.0
939,2.698970004
3,3.0
1216,3.0
258,3.0
176,3.0
1018,3.0
274,2.397940009
177,3.0
802,2.698970004
36,3.0
958,3.0
771,2.602059991
269,3.0
948,2.875061263
1194,3.0
983,3.0
741,2.397940009
24,2.698970004
388,3.0
319,3.0
225,3.0
876,3.0
329,2.77815125
312,2.079181246
785,2.0
1224,2.544068044
476,3.0
512,3.0
972,3.0
1162,2.079181246
868,3.0
1076,3.0
232,3.0
116,3.0
799,3.0
838,2.397940009
348,3.0
694,3.0
457,2.698970004
1207,3.0
148,2.301029996
547,3.0
85,2.397940009
818,3.0
1241,3.0
655,2.77815125
943,2.477121255
945,2.0
328,3.0
1104,2.176091259
756,3.0
691,2.77815125
797,3.0
466,3.77815125
433,3.0
1107,3.0
439,2.698970004
431,3.0
168,2.477121255
909,3.0
690,2.77815125
1251,3.0
432,3.0
496,2.77815125
402,2.301029996
644,3.0
1231,2.875061263
29,3.0
154,2.096910013
792,3.0
681,2.301029996
709,3.0
340,2.903089987
428,3.0
688,2.397940009
1250,2.0
1074,3.0
707,3.0
56,3.0
326,3.0
129,3.0
275,3.0
798,3.0
711,2.77815125
102,1.602059991
680,3.0
861,2.0
523,3.0
721,2.698970004
75,3.0
486,2.875061263
961,2.544068044
740,3.0
728,3.0
780,3.079181246
532,2.176091259
440,3.0
1044,2.477121255
638,2.397940009
684,2.301029996
1217,2.079181246
1155,3.0
946,2.875061263
1022,3.0
284,3.0
931,2.77815125
110,3.0
139,2.0
590,3.0
1149,3.0
1113,3.0
897,3.0
1054,2.698970004
1004,3.0
155,3.096910013
1233,3.0
362,2.0
1096,3.0
137,3.0
522,3.0
949,3.0
483,3.0
369,2.397940009
530,3.0
265,2.653212514
1027,3.0
900,2.875061263
90,2.698970004
916,2.875061263
1142,3.0
1123,3.0
574,2.477121255
834,3.875061263
598,2.903089987
1152,3.0
1050,2.0
458,3.0
766,3.0
715,3.0
212,2.301029996
698,2.698970004
463,2.698970004
1067,3.0
10,3.0
1159,3.0
622,3.0
244,3.0
592,3.0
1265,3.0
31,2.0
66,2.653212514
86,3.0
257,3.0
277,3.0
844,2.477121255
58,3.0
204,3.0
846,3.0
282,2.653212514
164,3.0
222,2.301029996
403,2.698970004
555,3.0
151,3.0
1075,3.0
745,3.0
493,3.0
910,2.602059991
220,3.176091259
57,3.0
1051,2.653212514
156,3.0
626,3.0
1205,3.0
603,2.698970004
1026,2.51851394
386,3.0
481,2.698970004
40,2.096910013
755,2.301029996
919,2.77815125
1191,3.0
917,3.0
206,2.875061263
891,3.0
1221,2.77815125
435,2.096910013
984,1.903089987
1138,2.875061263
124,2.0
1212,2.477121255
389,3.0
405,2.0
361,2.204119983
849,3.0
308,2.477121255
245,1.77815125
426,3.0
165,2.698970004
959,3.0
528,3.0
313,3.0
1222,3.0
316,3.0
1148,3.096910013
563,3.0
65,3.0
87,2.602059991
145,3.0
1269,3.0
689,3.0
594,3.0
310,2.176091259
519,3.0
720,2.0
994,3.0
926,3.0
447,3.0
1024,2.397940009
534,3.0
281,2.77815125
267,3.0
1147,2.477121255
93,3.0
227,3.0
351,3.0
491,3.0
8,3.0
34,2.77815125
1227,3.0
597,2.477121255
391,2.477121255
1141,3.0
32,2.77815125
986,3.0
569,3.0
170,3.0
796,3.0
41,2.0
107,3.0
263,3.0
452,3.0
464,2.698970004
957,2.84509804
1046,3.0
806,2.698970004
976,3.0
856,3.0
291,3.0
240,3.0
508,2.698970004
1228,2.096910013
668,1.698970004
309,2.477121255
1242,3.0
895,2.875061263
789,2.698970004
82,2.698970004
1066,2.477121255
760,3.0
571,2.0
294,3.0
1257,3.0
990,3.0
350,3.0
352,2.602059991
50,3.0
25,2.176091259
375,2.301029996
89,2.0
