,NOAEL-LOG
946,3.0
738,3.0
550,2.84509804
108,2.77815125
169,3.0
1297,3.0
1012,2.875061263
620,3.0
471,2.875061263
36,3.0
617,3.0
573,2.698970004
651,3.0
59,3.0
568,3.0
670,3.0
1170,3.0
47,3.0
449,3.0
935,3.602059991
805,2.602059991
791,2.77815125
80,3.0
619,3.0
357,3.0
1076,3.0
456,3.875061263
606,2.698970004
853,2.602059991
911,3.0
1091,3.0
484,2.477121255
973,3.0
387,2.477121255
98,2.477121255
490,3.0
1056,2.544068044
416,3.0
250,3.0
582,2.51851394
35,3.0
1116,3.0
1062,2.84509804
615,3.0
1003,3.0
987,3.0
780,3.0
278,3.0
1298,3.0
1282,3.0
1279,2.096910013
810,3.0
285,3.0
1065,2.544068044
186,3.0
1013,3.0
710,2.0
295,2.0
1153,3.0
1040,3.0
736,2.397940009
1016,2.875061263
177,3.0
821,3.0
1371,3.0
54,3.0
822,2.903089987
217,3.0
889,2.0
966,3.0
609,2.698970004
168,3.0
972,3.0
744,3.0
1353,3.0
944,2.477121255
1108,2.0
37,2.84509804
598,3.0
122,3.0
1220,3.0
1133,2.477121255
116,2.397940009
1248,3.0
835,3.0
95,2.698970004
788,2.397940009
953,2.544068044
370,3.0
820,2.477121255
1009,3.0
1055,3.0
749,3.0
1285,2.0
1311,3.0
75,3.0
274,3.0
912,2.698970004
236,2.698970004
1183,3.0
506,3.0
1193,3.0
128,2.698970004
1332,3.0
421,3.0
533,3.0
706,3.0
870,3.0
103,3.0
51,3.0
1351,2.77815125
290,2.301029996
869,3.0
510,3.0
1171,3.0
1095,3.0
551,2.698970004
709,2.301029996
455,3.0
1029,2.0
239,2.477121255
1337,3.0
923,3.0
1111,2.903089987
635,3.0
1047,3.0
1294,3.0
675,3.0
768,2.903089987
1261,3.0
513,3.0
1299,3.0
1136,3.0
1254,3.096910013
43,3.0
1320,3.0
642,2.0
189,3.0
431,2.602059991
296,2.301029996
301,3.0
1113,3.0
823,3.0
440,2.204119983
1223,3.0
1358,3.0
1176,3.0
829,2.301029996
179,3.0
629,3.0
773,2.698970004
298,2.301029996
155,3.0
232,3.0
136,2.397940009
61,3.0
722,2.477121255
893,3.0
958,2.875061263
785,3.0
207,2.653212514
331,3.0
184,3.0
1161,3.0
49,1.954242509
888,3.0
1260,3.0
741,3.0
305,3.0
425,2.477121255
556,2.477121255
826,2.77815125
334,2.698970004
815,3.0
1092,3.0
420,2.301029996
983,2.698970004
546,3.0
527,2.301029996
1020,3.176091259
13,2.698970004
492,2.77815125
705,3.0
91,2.875061263
269,3.0
366,2.698970004
394,3.0
365,2.77815125
875,2.397940009
639,2.0
552,3.0
1359,3.0
414,2.301029996
364,3.0
466,3.0
256,3.0
1241,3.0
734,2.875061263
30,3.0
535,2.698970004
699,3.0
899,3.0
657,3.0
344,2.653212514
807,3.0
758,3.0
469,3.0
516,3.0
262,2.477121255
646,2.301029996
793,3.0
231,3.0
1328,3.0
73,2.77815125
81,2.477121255
716,2.698970004
892,3.0
915,3.0
605,2.698970004
142,3.0
3,3.301029996
1268,2.079181246
746,3.0
827,3.0
841,3.0
395,3.0
612,3.0
1085,3.0
596,3.0
1247,3.0
1357,3.0
94,2.255272505
1177,3.0
1197,3.0
747,3.0
1319,3.0
1000,3.0
880,2.653212514
398,3.0
1150,2.301029996
140,3.0
1021,2.477121255
150,2.0
995,2.875061263
717,3.0
1050,2.0
121,2.397940009
243,2.176091259
575,2.698970004
441,3.0
6,3.0
730,3.0
1284,2.77815125
932,2.875061263
152,3.0
312,3.0
726,2.397940009
672,2.397940009
759,3.0
660,2.903089987
900,2.301029996
686,3.0
532,2.698970004
1007,2.0
53,2.243038049
775,3.0
266,3.0
1104,3.0
209,3.0
1204,3.176091259
1302,3.0
854,2.301029996
586,2.77815125
1230,3.0
938,2.079181246
881,3.079181246
702,2.0
770,2.571708832
1,1.397940009
703,3.0
377,3.0
507,3.0
1266,3.0
845,3.0
1324,3.0
76,2.77815125
882,3.875061263
110,3.0
1159,2.653212514
637,3.0
488,2.602059991
952,3.0
97,3.0
183,2.602059991
694,2.301029996
18,3.026533265
478,2.301029996
1366,3.0
487,2.602059991
624,3.0
459,2.176091259
1333,2.096910013
215,2.77815125
1069,3.0
930,3.0
1370,3.0
1080,3.0
989,3.0
967,3.0
1094,3.0
871,2.903089987
1334,3.0
757,2.875061263
1289,2.875061263
407,3.0
971,2.602059991
376,2.397940009
704,3.0
33,3.0
650,3.0
794,3.0
118,3.0
538,3.0
381,2.698970004
1168,3.176091259
1346,3.0
90,2.0
588,2.301029996
404,3.0
133,3.0
818,2.602059991
461,2.397940009
855,3.0
503,3.0
988,3.0
497,2.301029996
292,2.301029996
1155,3.0
423,2.176091259
577,3.0
906,2.698970004
621,2.0
1129,3.0
692,2.477121255
1340,2.698970004
276,2.477121255
1310,2.301029996
865,2.0
625,3.0
683,2.096910013
264,3.0
1038,2.903089987
766,2.875061263
112,3.0
470,2.397940009
19,2.903089987
858,3.0
346,3.0
658,3.0
956,2.875061263
812,3.0
1313,2.875061263
1084,3.0
28,2.0
224,3.0
920,2.903089987
1187,3.0
84,2.698970004
1101,3.0
1329,2.544068044
1210,2.698970004
182,3.0
135,2.397940009
879,3.0
1372,3.0
347,3.0
367,3.0
438,3.0
1075,3.0
23,3.0
965,2.77815125
839,3.176091259
732,3.0
101,2.301029996
188,3.0
541,3.0
554,2.698970004
105,2.77815125
418,2.698970004
460,2.301029996
645,3.0
664,3.0
396,2.301029996
325,3.0
495,2.698970004
1373,2.301029996
520,2.301029996
1300,3.0
1221,3.0
801,3.0
1325,2.875061263
1347,3.0
0,0.698970004
1213,3.0
233,3.0
1295,3.0
1061,3.0
229,2.397940009
885,2.477121255
1202,2.77815125
939,3.0
311,3.0
943,2.477121255
572,3.0
324,3.0
1303,2.477121255
200,3.0
564,3.0
71,3.0
1276,3.0
1207,3.176091259
360,2.653212514
690,2.698970004
1172,3.0
288,3.0
857,3.0
1147,3.0
42,2.477121255
599,2.77815125
454,3.0
1120,3.0
800,3.0
1105,2.544068044
975,3.0
1363,3.0
60,2.176091259
1093,2.77815125
369,2.301029996
993,2.0
1355,2.0
576,3.0
205,3.0
1257,2.079181246
542,2.698970004
1118,3.0
795,3.0
1189,3.0
1331,2.0
931,2.698970004
216,3.0
685,2.653212514
673,3.0
1280,2.812913357
761,2.477121255
1224,3.0
630,3.0
144,2.698970004
315,3.0
1307,2.477121255
380,2.698970004
1077,3.0
1315,3.0
1144,2.397940009
63,3.0
1201,3.0
803,2.698970004
114,2.096910013
268,2.301029996
83,2.477121255
248,3.0
719,3.0
432,2.301029996
713,3.0
831,2.698970004
1278,3.0
1082,3.0
111,3.0
1263,2.903089987
1375,3.0
790,2.77815125
9,3.06069784
134,3.0
662,2.301029996
1305,3.0
1222,3.0
623,2.77815125
96,2.176091259
1231,3.0
437,3.0
578,3.0
868,3.0
863,3.0
246,3.0
792,3.0
608,3.0
1167,3.0
1256,3.176091259
1004,3.0
902,2.698970004
125,3.0
523,2.698970004
26,2.77815125
887,2.0
1243,3.0
922,2.698970004
242,3.0
1041,3.0
254,3.0
338,3.0
473,2.698970004
1356,3.0
632,2.0
1122,3.0
776,2.477121255
1124,2.0
1067,2.301029996
934,3.875061263
1033,2.77815125
442,2.653212514
1269,3.0
192,2.301029996
677,2.77815125
814,2.698970004
115,2.0
218,3.0
185,3.0
378,3.0
739,3.0
1025,3.0
1102,2.875061263
559,2.0
498,2.301029996
11,3.0
467,3.0
287,2.301029996
873,3.0
335,3.0
963,3.0
924,2.477121255
1052,2.903089987
208,3.0
363,3.0
149,3.0
1017,3.0
24,3.0
1174,3.0
949,3.0
539,3.0
1262,3.0
445,3.0
4,1.176091259
511,3.0
1242,3.0
1057,3.0
1037,3.0
252,2.505149978
1071,2.698970004
178,2.698970004
874,2.77815125
226,3.0
12,1.954242509
1010,2.602059991
408,2.77815125
830,3.0
159,3.0
78,3.0
636,3.0
323,2.176091259
48,3.0
627,3.0
1365,3.0
1018,3.176091259
545,3.0
836,2.51851394
1199,3.176091259
531,3.0
982,2.096910013
402,3.0
666,2.698970004
210,3.0
382,2.602059991
385,3.0
661,2.698970004
1128,2.397940009
834,3.0
509,3.0
763,3.0
1335,2.096910013
1001,2.875061263
345,3.0
247,3.0
585,3.0
1109,3.0
751,2.602059991
2,1.698970004
1229,3.0
413,3.875061263
947,2.77815125
158,2.698970004
843,2.875061263
764,2.903089987
283,3.0
737,3.0
929,3.0
390,3.0
321,3.0
397,3.0
537,3.0
106,3.0
916,2.875061263
117,2.698970004
372,3.0
1035,3.0
1214,2.77815125
1181,3.0
700,2.698970004
1126,3.0
1097,2.0
1348,2.602059991
825,3.0
265,3.0
356,2.698970004
1099,3.0
1218,3.0
1138,3.0
1119,3.0
756,3.0
1364,3.0
27,3.0
998,3.0
816,3.0
475,2.301029996
458,3.0
558,3.0
1044,3.0
607,2.301029996
1169,2.698970004
977,3.0
1063,3.0
482,2.875061263
540,2.397940009
191,2.0
584,2.77815125
942,3.0
422,3.0
659,3.0
180,3.0
1106,3.0
353,3.875061263
1212,2.477121255
72,2.698970004
1014,3.0
968,2.477121255
175,3.0
489,3.0
867,3.0
905,2.477121255
903,3.0
921,2.875061263
1293,4.113943352
401,3.096910013
1342,3.0
393,2.397940009
1134,3.176091259
809,3.0
962,3.0
980,3.0
494,3.0
412,2.653212514
580,2.875061263
1219,2.477121255
317,3.0
322,3.0
616,3.0
653,2.698970004
908,3.0
504,3.0
772,3.0
1235,3.0
293,3.0
359,2.77815125
68,3.0
417,2.77815125
850,2.875061263
130,2.301029996
866,2.903089987
560,3.0
1031,3.0
202,2.0
904,3.0
1190,3.0
341,2.653212514
1045,3.0
1192,3.0
767,2.477121255
941,3.0
1030,3.0
181,3.0
945,3.0
1188,3.0
740,2.602059991
1115,3.0
974,3.0
1308,2.875061263
392,3.0
337,3.0
876,2.653212514
735,2.77815125
1151,3.0
1196,3.0
837,3.0
1286,2.477121255
725,2.77815125
1270,3.0
798,2.698970004
724,3.0
1275,3.0
485,2.477121255
712,3.0
1195,2.77815125
198,2.0
864,3.0
501,2.477121255
1086,3.0
862,2.698970004
99,3.0
355,3.0
46,3.0
750,2.477121255
275,3.0
913,3.0
472,3.0
524,3.0
610,3.0
379,3.0
1117,2.875061263
17,2.77815125
787,3.176091259
173,3.0
614,2.903089987
570,2.903089987
525,3.0
45,2.698970004
197,3.0
1240,3.0
581,1.477121255
999,3.0
1296,2.0
1217,3.0
696,3.0
1316,3.0
127,2.77815125
1239,3.0
70,3.0
1249,3.0
5,1.301029996
762,3.0
1027,3.0
258,2.0
176,2.698970004
1034,2.0
992,3.0
802,3.0
1073,2.397940009
428,3.0
319,2.903089987
225,2.0
1022,2.698970004
329,3.0
476,3.0
512,2.875061263
799,3.0
838,3.0
457,2.0
928,2.301029996
148,3.0
1343,3.0
655,3.0
154,3.0
1064,3.0
644,3.0
797,3.0
433,2.875061263
1309,3.0
439,3.0
909,3.0
496,3.0
29,3.0
681,3.0
340,3.0
688,3.0
1352,2.698970004
1074,3.0
707,3.0
56,3.0
326,3.0
129,3.0
711,3.0
102,3.0
680,2.0
861,3.0
721,3.0
486,2.903089987
728,3.0
1131,2.875061263
684,3.0
1317,2.477121255
1252,3.176091259
1114,2.301029996
284,2.301029996
139,3.0
1246,3.0
1205,3.0
897,3.0
1142,3.0
1096,3.0
362,3.0
137,3.0
483,3.0
530,3.0
1049,3.0
1216,3.0
574,3.0
715,2.698970004
212,3.0
698,3.0
463,3.0
1158,2.0
10,2.0
622,3.0
244,2.477121255
592,3.0
1369,2.698970004
31,3.0
66,2.0
86,3.0
257,3.0
1078,2.477121255
1107,3.0
277,3.0
844,3.0
58,3.0
204,2.77815125
846,3.0
282,2.875061263
164,3.0
222,3.0
403,3.0
555,3.0
151,3.0
1166,2.477121255
745,3.0
493,3.0
910,2.698970004
220,2.77815125
57,2.875061263
1139,3.0
156,2.698970004
1083,2.698970004
626,3.0
1304,2.903089987
603,3.0
1026,3.0
386,2.0
481,2.0
40,3.0
755,2.698970004
919,3.0
1068,3.0
1290,3.0
917,2.875061263
206,3.0
891,2.77815125
1322,2.079181246
435,2.0
1140,2.602059991
984,2.903089987
1234,3.0
1090,3.0
124,3.0
1312,3.0
389,2.176091259
405,3.0
361,2.301029996
849,3.0
308,3.0
245,2.0
426,3.0
165,2.0
959,2.477121255
528,3.0
313,3.0
1323,2.301029996
316,3.096910013
1245,3.0
563,3.0
65,3.0
87,3.0
145,2.0
1374,3.0
689,3.0
594,2.397940009
310,3.0
519,2.096910013
720,3.0
994,3.0
926,3.0
447,2.397940009
1024,2.875061263
534,3.0
281,3.0
267,3.0
1244,2.875061263
93,2.0
227,2.096910013
351,2.698970004
491,3.0
8,3.0
34,3.0
1273,3.0
597,3.0
391,2.079181246
1238,3.0
32,3.0
1338,3.0
986,3.0
569,2.0
170,2.176091259
796,3.0
41,2.477121255
107,2.653212514
263,3.0
452,2.0
1146,3.0
464,3.0
957,2.477121255
1046,2.477121255
806,2.77815125
976,3.0
856,2.301029996
291,3.0
240,2.301029996
508,2.698970004
1330,3.0
668,2.397940009
309,2.84509804
1344,2.477121255
895,2.698970004
789,3.0
82,3.0
1066,3.0
1206,2.301029996
760,3.0
1209,2.301029996
1288,3.0
571,2.477121255
294,3.0
1360,3.0
990,3.0
350,3.0
352,3.0
1165,2.903089987
50,3.0
25,1.0
375,3.0
89,3.0
877,3.0
832,2.602059991
842,2.397940009
499,3.0
1255,3.0
1032,3.0
914,2.875061263
1132,3.0
833,3.0
1367,2.0
566,3.0
643,3.0
896,2.698970004
230,3.0
193,3.0
