,nAtom,nC,GATS2e,nBonds,nBonds2,SpMax_Dt,SpAD_Dt,SpMAD_Dt,fragC,Kier2,MDEC-33,MLFER_BH,MLFER_BO,MLFER_S,MLFER_E,MLFER_L,MPC5,TPC,piPC2,TpiPC,R_TpiPCTPC,GGI4,GGI5,GGI6,GGI7,VAdjMat,MWC3,MWC7,WTPT-3,WTPT-4
461,3.789752526532353,3.4165771147787933,-0.607023039595398,2.4828341467413915,3.769174378749042,2.8824408812794045,2.8156072650037465,2.297770207840974,0.4842798226675818,4.020048358444939,-0.0465296407847829,0.2752851369094701,0.32087847481827114,0.4554503738407761,0.4417594303182541,2.9726008715524173,0.7599881791955453,0.5439069654144509,1.1968014459753333,1.0277132935786615,0.1246118004189109,0.2846902873830921,-0.11902870481964137,0.47216365137227356,0.17385365854198195,1.7317323746876034,1.1760065079120687,0.7674808274121514,0.23275293515895012,-0.3346242761763826
77,1.0580040942936488,0.7515373850736811,1.7020780952272918,0.11614179140660001,1.0046706093462663,-0.038143990513570446,-0.04158833584127,0.26051012951516767,-0.33546907664792075,1.5825764346610685,-0.5070515548640717,-0.8647889869263239,-0.8824646312984434,-0.7854844775035069,-0.7064199899563289,0.18931264445940776,-0.4270232853772514,-0.3183966909742316,-0.19644766293341362,-0.29586235911527425,-0.6631536949884954,-0.6850741168678602,-0.6138034270912555,-0.5282623563802229,-0.47084414435844985,0.5384113949462721,0.2012142110023007,-0.06945261989873144,-0.9004901403617216,-0.9859735207996059
575,-0.7158585240431721,-0.6269314406358599,-0.7744715021158534,-0.5874694493686083,-0.7100216020554553,-0.47268613472306914,-0.46669904371314674,-0.42130875332614026,-0.3949993654437043,-0.6630399359109029,-0.15034127932414404,-0.20807962319634898,-0.18023515850888439,0.01923089961220788,0.004385332282275207,-0.31627740644438274,-0.4771786993732851,-0.42989124902173664,-0.009130244618544855,0.011562126939502627,0.13568126522282517,-0.5000045741863093,-0.5313409737751394,-0.6005474734020927,-0.5399189088759822,-0.44990162906702347,-0.17200826792895502,-0.002791985578235009,-0.4163182710073508,-0.6770960726163647
741,0.4548908040591297,0.7515373850736811,0.3490639401777307,0.691823715677225,0.5497522675458095,0.4383152312977909,0.42452966884471255,1.0026319441777127,0.6253183099786497,-0.02665539858428681,0.8963147427586153,0.3636242137563956,0.3133366308384311,0.56350930752525,0.7418386128118134,0.7525428301322141,1.194668433827837,0.943626817137953,1.0909270855561188,1.5552329011134882,1.575264903259686,0.9847158336462232,0.7801418916300983,0.7598584127626916,0.5135887235343063,0.795116443352125,0.8851112827283587,0.9083103432966949,0.13515827853689077,-0.2540145211758754
710,1.3063448608608037,1.0272311502155893,-0.012492029238190362,0.43596508266805833,1.249626639546512,0.24285927855759806,0.23331595196757246,0.5812153716720226,-0.3082273218844902,1.970441892748619,-0.5070515548640717,-0.5631027056188987,-0.565707184145158,-0.5509418149902016,-0.6096763152914171,0.44751958301744343,-0.3434309287171953,-0.250788288753936,0.14766441637452082,-0.13565280706455327,-0.6370442691465208,-0.6184490814358767,-0.5478334646758546,-0.45597724112933835,-0.4017693798409176,0.795116443352125,0.41120159476926055,0.10353834449003287,-0.5452500032821584,-0.2956574509585329
462,0.029163775658292694,0.29204777650383407,-0.5537523902788358,0.052177133154308344,0.059840207145317646,-0.19949351982628036,-0.19943588524143374,0.009287353531810108,-0.13457470187855822,-0.36028583111983087,0.16836800864688853,-0.2555827116895071,-0.2615194769582725,-0.12766949410631687,0.21409317796310226,0.05981795254621095,0.19156015390716377,-0.051521419052012116,0.6783369290497674,0.8888172774668361,0.7838824419288271,0.40313479546547265,0.29328356413585677,0.04423576363240257,-0.018020688322448686,0.3546473377967762,0.5242869269890791,0.604813310967238,-0.5691583952265297,-0.34211714241947233
213,-0.6449040193096992,-0.7188293623498293,1.082382048332236,-0.011787525097983323,-0.6750278834554202,-0.36501641876111157,-0.3613662244051534,-0.5369303987084953,-0.3455626351857656,-0.41833432830028705,-0.5070515548640717,-0.8206194485028611,-0.799504347520202,-0.9164499132593442,-1.2179449284540367,-1.0209997781452038,-0.2598385720571392,-0.29111610762218254,0.3499981356614418,-0.20569493944027512,-0.6391371677576339,0.5141765209078406,0.5736559082605531,0.48372926952905754,-0.5399189088759822,0.4189422937525908,0.5788732831282555,0.7353858245682695,1.334322222457427,-0.0019329856132905402
909,1.590162879794695,1.211026993643528,-0.15820252830390433,0.8197530321818083,1.5295763883467932,0.32512538916169215,0.31379653363900595,0.388054816155091,-0.2754503898583705,2.1064182438561514,-0.26617474713854716,-0.0022329063926638825,-0.0059347643081345556,-0.16103331234069362,-0.645593128640067,0.715767902519403,-0.07593538740501578,-0.07049921616648105,0.4722853708516318,0.11955353825402178,-0.6101985929326084,0.04780127288395693,-0.020073759415351194,0.3391590372563032,0.35805302985193715,1.0466525081486404,0.6485433218424259,0.38066347635966435,0.1992493471099943,1.1510818442884887
587,-0.21917699090886222,-0.16744183206601293,0.5972554448173654,-0.2036814998548583,-0.22010954165496344,-0.3034103066050768,-0.301097230127911,-0.12718257734892222,-0.3623852327488402,-0.1598723122449287,-0.17859288295919032,-0.4272605402788152,-0.4266020618503288,-0.30892964093188624,-0.2221223131906622,-0.2789808486526665,-0.30999398605317285,-0.30772168009734285,0.22488784572538037,0.23819348636590232,-0.08943181138403979,-0.30012946789035905,-0.36641606595544834,-0.27671015261524706,-0.30583220640870223,0.13923702482694564,0.18019281467505055,0.2011888278432749,-0.1784435164972575,0.41713478707861257
199,0.13559553275850195,-0.07554391035204353,-0.4171942053244346,-0.26764615810715,0.09483392574535278,-0.3939891225670881,-0.38971009574873317,-0.4567415418380543,-0.36786614356777747,-0.058511027840952495,-0.35724262657822115,-0.3489221136409756,-0.3503456393875008,-0.537496694209184,-0.6959925280163983,-0.3559213000411721,-0.44374175670926264,-0.3788884192766014,-0.15156618370316438,-0.3909147743932307,-0.6338765814368432,-0.21869886884397652,-0.08604372301821131,-0.1668367765838297,-0.2636198508058531,0.13923702482694564,0.11375599996386514,0.13869260034529202,-0.3477159308336821,0.08819822952104393
550,-1.1770628048107454,-1.2702168926336457,-1.8125689273678947,-0.9712573988823583,-1.1999336624559471,-0.5913261388622922,-0.5827640487689364,-0.9445771356274876,-0.42745069880731285,-0.5875062537932869,-0.5070515548640717,-0.1439087843547144,-0.12492830265672344,-0.2501694834444764,-0.625317508201313,-1.0198261102426673,-0.7112372980214422,-0.5224080099547728,-1.4050856045505615,-1.1980698930664158,-0.5038861977771638,-0.7516991522998435,-0.6797733906941156,-0.6005474734020927,-0.5399189088759822,-1.3187455518866373,-1.3550334681237695,-1.377067565843969,-0.06186518094284145,-0.03229233396465594
853,-0.8577675335101177,-1.086421049205707,0.09925416490405158,-0.5874694493686083,-0.8499964764555958,-0.4809577349251702,-0.474791114563832,-0.46946093936047345,-0.39472803322494504,-0.8108971187812353,-0.5070515548640717,0.47529814109118834,0.4884750077036074,-0.2924967155328648,-0.665868749078821,-0.7138900103148127,-0.4771786993732851,-0.4287051367020824,0.17929930976517386,-0.3435059625772711,-0.4541857020748824,-0.38156006693674166,-0.6797733906941156,-0.6005474734020927,-0.5399189088759822,-0.44990162906702347,-0.09458658681244221,0.13556018591868543,0.5747764781256894,1.015123966413587
704,0.20655003749197476,0.38394569821780344,-0.7845789101830053,0.9476823486863917,0.3047962373455636,0.5689477525693497,0.5523269017506978,0.9534945357778551,0.7776984840338548,0.14012442982595494,1.2491966018490606,1.1961783436627975,1.2300896657212206,0.6795357201910678,1.547649699392008,1.2536990245153112,1.0609206631717474,0.7882461032632385,1.2970949583344944,1.7328227315484623,3.2318111231111675,0.9546420330229322,1.135390143185334,0.5040494190308713,0.5481261057930724,0.9682846899473467,0.9720005550448172,0.9216326111860459,1.511811923428637,0.907855270358848
609,0.9515723371934395,0.5677415416457422,0.08814702020530997,0.18010644965889167,0.8996894535461608,-0.1148163881913452,-0.11659661224985093,-0.0005005771368786314,-0.3298796329414798,0.4815786000776087,-0.3686010187748582,-0.012233556601749802,-0.024370382925521565,-0.4364093046333856,-0.48280886168892784,0.22634838716167135,-0.37686787138121774,-0.26739386122909636,0.1149569505243658,-0.2037549093733605,-0.6631536949884954,-0.3519489397079433,0.11186616660290986,0.05001857271079445,0.012679207264275892,0.594130648517096,0.4271935931818087,0.3174006277937366,-0.4217922719706549,-0.05574971820319837
186,-1.2125400571774818,-1.1783189709196762,0.9396617290130064,-1.0991867153869417,-1.2349273810559822,-0.6106011110971085,-0.6016206710809525,-1.0954260493645773,-0.4384667868889392,-0.8428100994937993,-0.5070515548640717,-0.8456210740255757,-0.849783307385803,-0.7068056225627378,-0.681509941988717,-1.1182838065110092,-0.7112372980214422,-0.5330830208316616,-2.073818638335607,-1.6549280032693867,-0.5746717521817931,-0.7516991522998435,-0.6797733906941156,-0.6005474734020927,-0.5399189088759822,-1.9590536295606844,-2.2086807274437543,-2.4044726680274615,-0.6089985435371967,-0.4195360254032537
910,-1.141585552444009,-1.2702168926336457,-1.8094320891940312,-0.9712573988823583,-1.164939943855912,-0.5971634945566566,-0.5884747086955737,-1.0125401489645534,-0.42745069880731285,-0.9704620223440555,-0.5070515548640717,0.31528773774581365,0.31668856149613783,-0.1729845308127092,-0.4613746343679593,-0.8392116607967685,-0.7112372980214422,-0.5224080099547728,-0.9122523663447036,-1.297854375504439,-0.5923681405838661,-0.7516991522998435,-0.6797733906941156,-0.6005474734020927,-0.5399189088759822,-1.3187455518866373,-1.1230564886989376,-0.9077238034705394,-0.10807284727781734,0.16891791953600555
7,-1.2834945619109546,-1.2702168926336457,-1.8125689273678947,-1.1631513736392334,-1.3049148182560526,-0.6166097936272308,-0.607498939318172,-1.178363840966057,-0.44389343126412456,-1.0981139451943116,-0.5070515548640717,-0.8764564121702574,-0.8824646312984434,-0.6699560322740231,-0.5726008950605527,-1.1086336482012646,-0.7112372980214422,-0.5366413577906245,-3.1337354210548316,-2.01755668572194,-0.6631536949884954,-0.7516991522998435,-0.6797733906941156,-0.6005474734020927,-0.5399189088759822,-2.4672947436318973,-3.1266332778295767,-3.712544871726865,-0.6363510426670869,-0.7293309785028033
706,-0.04179072907518013,-0.16744183206601293,0.9093971894371309,-0.3955754746117333,-0.04514094865478776,-0.41030919074242406,-0.4056759481177299,-0.3399924312091102,-0.3788279652056519,-0.15244765962842968,-0.5070515548640717,-0.5856041685893422,-0.5891706987491051,-0.6380861163486483,-0.587083481088234,-0.3979125294430345,-0.54405258470133,-0.412099564226922,-0.5210686183753025,-0.5396154521751529,-0.6631536949884954,-0.6475975344373696,-0.5847766438659708,-0.502159397800017,-0.4496988072441231,-0.12103410570688411,-0.09458658681244221,-0.0961710038878371,-0.7169958079410835,-0.6294003941363984
123,-0.8932447858768541,-0.9945231274917374,0.725211397400323,-0.9712573988823583,-0.9199839136556661,-0.5913261388622922,-0.5827640487689364,-0.9445771356274876,-0.4276134981385684,-0.5875062537932869,-0.5070515548640717,-0.3647564764720282,-0.36123941402504756,-0.46479344850442256,-0.5152498543909342,-0.8253884610557828,-0.7112372980214422,-0.5224080099547728,-1.7962693525199627,-1.397638858389638,-0.6631536949884954,-0.7516991522998435,-0.6797733906941156,-0.6005474734020927,-0.5399189088759822,-1.3187455518866373,-1.3550334681237695,-1.377067565843969,-0.5884841691567616,-0.3796717172370327
492,0.13559553275850195,-0.2593397537799823,0.8477117120844431,-0.26764615810715,0.09483392574535278,-0.3477162908124987,-0.3444415836794106,-0.28838400307530604,-0.36775761068027374,0.20049039098830362,-0.5070515548640717,0.873657374419777,0.8747850160043077,-0.14111461488733432,-0.39533404208173206,-0.08232627120543504,-0.5106156420373076,-0.38837731783383583,-0.2435193315948803,-0.41509234815760604,-0.6320467619394072,-0.4185739751399266,-0.48186350107299436,-0.09455165956195988,-0.33269461532338535,0.13923702482694564,0.0030057905867124403,-0.10391227380651909,0.048585025851506466,-0.6634934681463087
104,-1.070631047710536,-1.2702168926336457,0.9833899368884297,-0.7793634241254833,-1.0949525066558419,-0.5682598642716539,-0.5601984116630834,-0.902265744468315,-0.4110079663505012,-0.8747230802063634,-0.5070515548640717,-0.8764564121702574,-0.8824646312984434,-0.4657893833770905,-0.505980999333218,-0.6724204110918555,-0.7112372980214422,-0.49749965124203227,-0.6591291404498788,-1.0227580067506787,-0.6631536949884954,-0.7516991522998435,-0.6797733906941156,-0.6005474734020927,-0.5399189088759822,-0.7296068979926686,-0.37277562500099715,-0.08476126036098366,0.4284596949144095,-0.9859735207996059
16,-1.0351537953437997,-1.086421049205707,0.12411029751590204,-0.9712573988823583,-1.0599587880558066,-0.5942017623709808,-0.5855772588583483,-0.9780573704121598,-0.4275592316948166,-0.8108971187812353,-0.5070515548640717,-0.4364278029704773,-0.43581987115902227,-0.26112476704382404,-0.4428369242525271,-0.7171501989329697,-0.7112372980214422,-0.5224080099547728,-1.256364445652638,-1.297854375504439,-0.5923681405838661,-0.7516991522998435,-0.6797733906941156,-0.6005474734020927,-0.5399189088759822,-1.3187455518866373,-1.2310201800819496,-1.150048540470867,-0.44120373625609166,-0.6891596799169802
349,1.590162879794695,1.670516602213375,-0.18525482988497802,1.5233642729570167,1.6345575441468987,0.7171144040376114,0.6972776988756637,0.6192754514979177,0.6852284638806961,1.0592035509750177,0.3537248987292408,0.030269206786865264,0.020880680953519092,-0.017120723240172886,0.6624740413801191,1.3022106311534876,0.8268620645235902,0.6198181538723266,1.254652866790434,1.2107808547835754,0.5537720025173791,0.5511904291110257,1.084923121432882,1.812329705762686,1.4402243398898116,1.3187378342827778,1.0692679720188674,0.8578965634716562,0.8141411714871216,0.7272876497613686
103,-0.8577675335101177,-0.7188293623498293,-0.6730660979224777,-0.5235047911163166,-0.8499964764555958,-0.4585699343338196,-0.45288922567294915,-0.42460618239850656,-0.38946418818101525,-0.694215283050923,-0.43214709072114643,-0.6756100204711153,-0.6847007224937467,-0.5265414106098364,-0.5998281567925937,-0.8355602495444326,-0.39358634271322895,-0.4097273395876134,0.027981170581266288,0.005389928867063675,-0.04116585554856544,-0.25201138655996824,-0.45712476531565144,-0.6005474734020927,-0.5399189088759822,-0.33043252787334215,-0.05135851225605241,0.12828663169722934,-0.06727444788470849,-0.9859735207996059
