,NOAEL-LOG
865,3.0
1522,3.0
595,2.477121255
189,3.0
665,2.477121255
648,2.698970004
1574,2.875061263
1298,3.0
285,3.0
162,1.301029996
213,2.698970004
187,3.0
812,2.477121255
85,3.0
918,2.698970004
270,2.301029996
365,2.477121255
890,2.698970004
427,2.875061263
1142,3.0
336,3.0
937,2.698970004
1266,3.0
1103,3.0
415,3.0
1181,3.0
1239,3.0
169,3.0
196,2.698970004
589,2.477121255
768,1.698970004
1056,3.0
163,2.301029996
1435,2.397940009
492,3.0
533,1.875061263
21,2.653212514
416,3.0
1348,3.0
465,2.477121255
1094,3.0
971,2.875061263
793,3.0
328,3.0
120,2.574031268
675,3.0
1128,3.0
1054,2.698970004
717,3.0
1019,3.0
898,3.0
348,1.875061263
104,2.602059991
965,3.0
157,3.0
199,2.477121255
1403,2.875061263
1542,3.0
252,2.477121255
201,2.77815125
1368,3.0
259,2.176091259
211,2.301029996
100,3.0
956,3.0
1456,3.0
741,1.397940009
1023,2.0
1339,2.875061263
420,1.698970004
141,2.875061263
1323,3.0
1572,3.0
858,2.0
249,1.0
1470,3.0
568,2.875061263
736,3.0
357,3.0
1562,3.0
1359,2.544068044
88,2.477121255
108,2.698970004
91,3.0
1071,3.0
1503,2.698970004
77,3.0
1293,3.0
953,2.698970004
1584,3.0
1372,3.0
1104,2.875061263
490,2.875061263
1133,2.698970004
744,2.301029996
69,2.77815125
527,3.0
172,2.301029996
881,2.079181246
616,2.477121255
1489,2.653212514
610,2.477121255
625,2.176091259
991,3.0
64,2.698970004
967,3.0
1480,3.0
1126,2.77815125
1335,2.77815125
605,2.477121255
1302,2.698970004
880,2.653212514
1020,3.0
1483,3.0
446,3.0
232,3.0
466,2.477121255
1173,2.698970004
1452,3.176091259
1136,3.0
638,2.397940009
709,2.477121255
1076,3.0
1602,3.0
941,2.698970004
1074,2.397940009
807,1.698970004
480,2.477121255
1129,3.0
1401,2.544068044
552,3.0
557,2.477121255
1093,2.903089987
661,3.0
950,3.0
1605,2.698970004
544,3.0
153,3.0
922,3.204119983
1550,2.698970004
1447,3.0
1254,2.301029996
1567,3.0
7,1.0
12,3.0
702,2.698970004
814,2.397940009
993,3.0
1607,3.0
1504,3.0
30,1.301029996
1210,3.0
817,3.0
1268,2.477121255
955,2.698970004
1162,2.875061263
1212,2.477121255
1168,3.0
502,3.0
700,2.77815125
123,2.653212514
924,3.0
1005,2.903089987
632,2.397940009
1553,2.477121255
656,2.602059991
1499,3.0
1267,3.0
388,3.0
1257,2.698970004
556,2.176091259
48,3.0
902,3.0
274,3.0
972,2.301029996
1055,3.0
726,2.698970004
221,3.0
1507,3.0
103,2.698970004
462,2.477121255
1089,3.0
1616,2.77815125
731,2.77815125
966,2.397940009
952,2.903089987
1091,3.0
826,2.0
1200,3.0
468,3.0
1592,3.0
119,2.698970004
635,2.176091259
1224,3.0
290,1.698970004
510,1.301029996
250,2.397940009
612,2.397940009
15,3.0
706,2.477121255
586,2.397940009
374,2.301029996
1243,2.875061263
1424,3.0
219,3.0
421,2.477121255
818,3.0
1513,3.0
697,2.698970004
203,2.698970004
332,3.0
962,2.0
553,3.0
247,3.0
72,3.0
779,3.0
228,2.698970004
440,2.653212514
399,2.653212514
1422,3.0
815,3.0
906,2.77815125
522,2.301029996
1311,3.0
195,2.903089987
273,2.556302501
1214,2.0
400,3.0
1328,2.602059991
286,3.0
518,2.477121255
1122,3.176091259
1497,3.0
1196,2.0
269,2.477121255
1465,3.0
1108,2.571708832
1493,3.0
36,2.477121255
1327,3.0
1016,2.698970004
581,2.477121255
1332,3.0
358,2.477121255
1444,2.0
1510,3.0
1423,2.397940009
1519,3.0
92,2.301029996
1306,3.0
132,3.0
179,3.0
930,3.0
1575,3.0
631,2.301029996
1013,3.0
1137,2.698970004
1111,2.698970004
810,2.0
1556,2.875061263
1409,2.301029996
1363,3.0
1573,3.0
884,2.397940009
1199,3.0
1563,2.0
297,2.301029996
737,2.0
868,2.301029996
1514,3.0
142,2.698970004
529,3.0
1381,3.0
1408,3.0
1364,3.0
354,2.477121255
471,2.698970004
333,3.0
1506,3.0
1018,3.0
1394,3.0
1232,2.698970004
983,2.903089987
916,2.301029996
674,2.477121255
314,2.84509804
1321,3.0
1139,2.602059991
766,2.0
791,2.77815125
1529,3.0
456,2.903089987
539,2.301029996
1135,3.0
835,2.0
1237,3.0
1524,3.0
672,3.0
1255,3.0
855,3.0
305,2.0
126,3.0
80,3.0
1087,3.0
113,3.0
344,3.0
436,2.602059991
749,2.0
1042,2.653212514
1450,2.903089987
1062,3.0
173,3.0
601,2.698970004
1185,2.698970004
677,2.0
1410,3.0
958,3.0
1095,2.77815125
1158,3.0
942,3.0
419,3.0
686,2.477121255
551,3.0
743,2.698970004
621,2.176091259
1552,2.0
543,3.0
513,3.0
