,nHeavyAtom,nC,MATS4p,GATS1e,GATS1s,nBonds,nBonds2,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MLFER_BH,MLFER_S,MLFER_E,TPC,piPC2,TpiPC,GGI4,VAdjMat,MWC2,MWC5,MWC10,TWC,SRW2,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WPOL,Zagreb
85,-0.8710710633981839,-0.926871517625342,0.445300321646194,-0.04059709378272321,-0.5151361936409602,-0.8892488361153619,-0.8747820846507611,-0.6406091488756201,-0.6199513076258688,-0.9198512808547099,-0.4651694729410721,-0.844723316453491,-0.7356550559053481,-0.7913810039391721,-0.5669605401779945,-1.055454068387652,-1.1024338006270862,-0.7455552365326119,-0.9242787218006391,-0.8890224574812183,-0.7985444372363866,-0.7321454440694465,-0.9172125029473281,-0.8924477517082423,-0.8782319853176879,-0.5095486176209191,-0.4559688767326209,-0.012844189383909374,-0.8405471966196713,-0.9046249381516744
466,0.14952086647395013,-0.3019898508213177,-0.4509192641198043,0.005043290815905852,0.6153775695379727,0.16686437159055043,-0.16114788526728496,-0.0386141154636582,-0.07979600271585831,0.22675744041316706,-0.14137224332063528,1.184371082744726,1.2488549462172522,1.0540156704597765,-0.012040918774751821,0.8132095243751174,1.026369328893351,0.4475062466798265,0.4697242320367675,0.5245055715737368,0.5551448994024081,0.5547599772767454,0.31579521374575537,0.4809326361483427,0.14673070865477586,0.3792915162958794,1.001757778430858,0.2167580919100492,0.2437650706915896,0.23237661907355114
196,-0.39479482945785466,-0.3019898508213177,-0.9399162307481103,0.419336221676111,0.4577827621940474,-0.39225438543022667,-0.29707820895937564,-0.455250338201852,-0.4383756274815218,-0.3751530117671004,-0.4227598816351864,-0.10559450600074205,-0.2774261838874561,-0.034779822411856384,-0.3978074099695499,-0.00787649619007751,0.0869259714948816,-0.43650918994914184,-0.08049044225600817,-0.032916519516340205,0.062082133393123684,0.11987060328515081,-0.2546631307856014,-0.03504935844782873,-0.38758178606165616,0.2833397547171786,-0.4300817761758398,-0.38553230418992046,-0.39186625842190814,-0.4245576139899125
1575,-0.12263698149195225,-0.12345223173445359,-0.20631513588565142,-0.4325225673146134,0.13439012047107468,-0.08163285375201716,-0.29707820895937564,-0.2896671652133888,-0.28011358128821495,-0.07602383711123259,-0.2053047022142579,-0.07669002737968472,0.577507812562682,0.3397979010694944,-0.15198775311986784,0.6591127158761632,0.7849169046738508,0.09174393703387711,0.2254419409177629,0.3475383583373653,0.4506985837541024,0.5038523608378138,0.09608554479966062,0.28154433662582673,-0.11115853388352755,0.42441408778797546,-0.08595345983908538,0.2571776906753925,0.056814679775854963,-0.02029039364316565
1489,-0.666952677423757,-0.748333898538478,-0.6296008357999738,-0.8251483455676688,0.2897767219711273,-0.6407516107727942,-0.8068169228047157,-0.5467719654994841,-0.5306909482125545,-0.5257381258812446,-0.44391166529899684,-0.06925744716284152,0.21427160681702748,-0.08632721555149186,-0.4915109425310623,0.0892324015851359,-0.049145381530037974,-0.609000006477661,-0.4900879094551477,-0.2656995350483132,-0.09066150963459488,0.04088282953399751,-0.48808268610181615,-0.3799694110695516,-0.6575413343614732,0.1329052776693333,-0.2920945624380171,-0.10543407745564475,-0.6162067275207898,-0.6014245228916143
817,-0.666952677423757,-1.2839467557990702,-5.8200711126717,3.9587858283926782,2.5782938531678896,-0.7028759171084361,-1.0446949892658746,-0.5950758821662833,-0.5806509420868954,-0.8195639923806555,-0.4488947922774385,0.5319557081551486,0.7827510345083972,-0.18369451370413656,-0.5341034573317498,0.0419342315026056,-0.6506871230439857,-0.2280827861385038,-0.4900879094551477,-0.3042993715854624,-0.23692260247271707,-0.11483190254884085,-0.5602628655481121,-0.4869199615190261,-0.6993641248565824,-0.5367773937435838,0.7364660654092006,1.4690152909863248,-0.7657670402533774,-0.6266912241632859
1444,-0.666952677423757,-0.39125866036474977,-1.8623819437670883,0.6718961204920778,0.9518586410861863,-0.6407516107727942,-0.5349562754205344,-0.5535166368531781,-0.5238297506374389,-0.48538589269637583,-0.4441237132555263,-0.8719761105819163,-0.6367248697876292,-0.39561157438930444,-0.4866432265538409,-0.1960818498013372,-0.130205912336463,-0.5011932462484054,-0.4900879094551477,-0.34457798026966235,-0.1861456140707225,-0.09790294204753497,-0.5295706007216813,-0.3799694110695516,-0.6485846964880406,0.27632242193329387,-0.970119678686162,-0.9953441955673697,-0.6162067275207898,-0.6519579254349577
1148,-1.007149987381135,-1.2839467557990702,0.20249936305761532,-0.20261543272307322,1.2586094197367033,-1.0134974487866457,-1.1466427320349426,-0.6770611310171905,-0.6487933224295539,-1.0846413555406675,-0.47566584678927876,-0.36821234032920475,-0.08005800163270342,-0.41909427570847174,-0.5827806171039641,-0.6410672586892329,-1.2500613725771297,-0.8102392928318753,-1.3338761889997783,-1.0505193819398213,-1.0068106677942874,-0.7504335482491763,-1.0519462368371615,-1.285403471143478,-1.0167972790175386,-1.0919638865298484,-0.18501783663955715,-0.1514450107840034,-1.027497587535406,-0.9551583406950178
739,0.4897181764313281,0.14435419689584258,0.12748141216491674,-0.21513188438342754,-0.6594563946163604,0.6017345159400437,-0.02521756157519427,0.37747305462847,0.3301195311982066,0.8265434054550995,0.553084814313242,0.8647701334204647,-0.2631526744475861,1.1622651960530108,0.9493329867264799,0.9393338856384804,1.2704622482023273,0.8441452858990323,0.7190264432346771,0.7767709169372115,0.8250679694397777,0.840909343185267,0.6955357031149368,0.7595482786945696,0.5396544728313929,0.7601595151147669,1.018628773686211,0.9122458275922379,0.8046162434387935,0.6871772419636414
1056,-0.05459751950047666,-0.3019898508213177,0.3432400355933423,-0.5928460057513192,-0.17557905177052838,-0.14375716008765907,0.07673018119387376,-0.3237929577170063,-0.34386038195286583,-0.34071201535122847,-0.40129002603658187,0.39734342200565353,0.36389736094531866,-0.33661844668505503,-0.38198733304358023,0.21830495895920082,-0.2821438398312366,-0.3574508987370308,0.29125954631840184,0.2660562229321208,0.20596860705069894,0.20904951008360895,0.00630945234993207,0.22528852494304782,-0.11324093639773955,-0.14954232160527386,0.4359947854469212,0.502026138816884,-0.2796960238724674,-0.12135719872985236
