,NOAEL-LOG
516,2.096910013
394,3.0
698,3.0
423,3.0
234,3.0
675,2.397940009
772,3.0
599,3.0
686,2.477121255
480,3.0
97,2.0
37,3.0
302,3.0
889,2.096910013
502,2.477121255
741,2.77815125
840,2.397940009
189,2.698970004
527,2.0
648,3.0
336,3.0
370,3.176091259
515,3.653212514
821,2.096910013
506,3.0
797,3.176091259
196,3.0
35,2.477121255
296,2.903089987
138,3.0
231,2.0
911,2.0
74,3.0
635,3.0
849,2.477121255
762,3.0
591,3.0
172,3.0
531,3.0
790,3.0
482,3.0
673,2.477121255
38,2.77815125
273,3.0
543,3.0
795,3.096910013
373,2.397940009
436,3.0
614,3.0
179,2.698970004
568,3.0
262,3.0
710,3.0
100,3.0
411,2.653212514
573,3.0
279,2.602059991
61,3.0
183,3.0
518,2.903089987
736,3.0
119,2.77815125
848,3.0
49,3.0
233,3.0
660,3.0
627,3.0
489,3.0
535,2.875061263
18,3.0
662,3.0
215,2.653212514
805,3.0
81,2.698970004
221,3.0
219,3.0
903,3.0
123,3.0
717,3.0
190,1.875061263
382,2.397940009
716,3.0
576,2.698970004
541,2.0
195,2.698970004
834,2.0
536,3.0
550,3.0
456,3.0
637,2.875061263
812,2.397940009
92,3.0
142,3.0
6,2.875061263
427,2.698970004
385,2.301029996
806,2.77815125
153,3.0
381,2.875061263
380,3.0
51,2.77815125
634,3.0
546,2.875061263
730,3.0
237,3.0
817,3.0
270,3.0
575,3.0
533,3.0
843,2.0
288,2.477121255
314,3.0
21,2.903089987
77,3.0
674,2.397940009
460,2.397940009
266,3.0
585,2.875061263
1,3.0
681,2.77815125
315,3.0
39,3.0
349,2.653212514
670,3.0
537,3.0
882,3.0
494,2.0
832,3.0
577,3.0
187,3.0
712,3.0
887,3.0
775,3.0
901,3.0
243,2.698970004
691,3.0
907,3.0
719,3.0
280,2.301029996
112,2.77815125
753,2.77815125
468,3.602059991
169,2.0
776,2.301029996
103,1.477121255
898,3.0
822,2.812913357
750,2.698970004
80,2.698970004
194,3.0
720,3.0
387,2.301029996
84,3.77815125
651,3.0
199,3.0
271,3.0
211,2.477121255
135,3.0
400,3.0
917,2.477121255
378,3.0
126,2.875061263
224,2.903089987
23,2.602059991
904,3.0
920,3.0
128,2.477121255
726,3.0
774,3.0
397,2.903089987
459,3.0
186,3.0
105,3.0
888,2.477121255
162,3.0
121,3.0
256,3.0
152,3.0
140,2.903089987
696,2.653212514
880,2.875061263
697,3.0
833,2.698970004
53,2.301029996
298,3.0
