,nBondsM,SpMAD_Dt,fragC,MLFER_BH,MLFER_E,MLFER_L,MPC6,TPC,piPC1,piPC4,piPC5,TpiPC,R_TpiPCTPC,GGI4,MWC4,MWC5,MWC6,MWC7,MWC8,MWC9,SRW4,SRW6,SRW8,SRW10,TSRW,WTPT-1,WTPT-3,WTPT-4,WPOL,Zagreb
1119,-0.6536317532095786,-0.960053071107464,-0.4615167174758702,-0.7435989276214402,-0.7572065310226525,-1.0289667438039267,-0.6632502405212862,-0.5760663303498739,-0.8950956683145936,-1.9106184869746186,-1.6835040594735775,-1.0271114217241655,-0.6423943154596833,-0.7861424108263236,-0.4776284280165867,-0.4259124850539652,-0.37813573864166233,-0.34068530756629645,-0.3097011554608109,-0.2832271071870992,-0.5498337000118755,-0.3579343774356971,-0.23667733852217074,-0.16165280572546412,-0.19319655511596223,-0.8805727618391079,-0.20838451611525888,-0.7575800551976094,-0.7817397318956982,-0.8116964839555224
908,0.4950554897474378,0.9303173521934327,0.05190094547378815,0.004302590869869321,0.4330351596476026,0.18293319910610237,0.4074355272753129,0.2917270951063713,0.5510047566569076,0.8817584884171755,0.9657134814819567,1.0836572919235627,0.8880400174858709,0.4344800161075518,0.5254771151007789,0.5544189069883741,0.5595192922226604,0.5808974001846273,0.5832510200121488,0.5997455579486285,0.47157465415015937,0.5001656259643374,0.5288260160352117,0.5549429906843649,0.5452348387638466,0.07401526291994091,-0.07617701064869666,0.32482524192477563,0.17459133759770284,0.1396325165561091
805,-0.7419923103601183,-0.9560485769942967,-0.466912841892586,-0.232474642203898,-0.5334099175289937,-0.8072094223176588,-0.6632502405212862,-0.5847195411450217,-1.202222389615173,-1.5355518101741368,-1.6835040594735775,-1.222193768333414,-0.6964139432864086,-0.7861424108263236,-0.8965570964395156,-0.8504881455597451,-0.8449440312139265,-0.8112369266739546,-0.8081603517990918,-0.7828257492666201,-0.9275436581230763,-0.8307513889048663,-0.7604422584872459,-0.7153248499139114,-0.7389007751906004,-0.9342124558575943,-0.6560895238472526,-0.7527312820978586,-0.8553036603182675,-0.936871352443895
938,-0.5652711960590389,-0.6568243905698409,-0.4354791074262804,-0.5924459338142012,-0.6536588441823029,-0.593599327338349,-0.5829488079365414,-0.5142576818131043,-0.2976550271089808,-0.3173624323195635,-0.5014574781823902,-0.5776985716181303,-0.6220792416156362,-0.5343234574007233,-0.20722320350675763,-0.17088410016686717,-0.16749887376875122,-0.1403208025236282,-0.13882981043323336,-0.1183343897770353,-0.24387644640795034,-0.21428814949306377,-0.17557219160371912,-0.14053888327122002,-0.15961854240719525,-0.5423550642338725,-0.6180103507698573,-0.35662325356272323,-0.5242659824167056,-0.6114166943741264
95,-0.21182896745687996,-0.4992162752973001,-0.4460094084724927,-0.6238997359937423,-0.29458218820367127,-0.6283523404070924,-0.5561816637416264,-0.5154938547838397,-0.3767720139005832,0.1993974319813391,0.3377319399677793,-0.17674671206013548,-0.0846007333594223,-0.5168360302543754,-0.26184499318560034,-0.20755347656340656,-0.19100830049168646,-0.15359052598150982,-0.1448459942896555,-0.11763211332658186,-0.34250058382473364,-0.2396207398922177,-0.16010338659258472,-0.10391781492919479,-0.12918629557046626,-0.7062230059445023,-0.8026016495515476,-0.7336161629968363,-0.6713938392618443,-0.6865216154671498
663,-0.5652711960590389,0.5480615463978631,-0.35689477126051633,-0.6081728349039717,-0.645308224275823,0.38826876716428266,-0.382195226474679,-0.3090529686710292,0.47980566238574435,-0.14764018352132297,-0.2000980989783894,-0.17025383696859772,-0.6716180484470887,-0.6602329341135235,0.26177638694471717,0.20414611655096174,0.13112601392139167,0.09268396402616218,0.039658838827768286,0.013117079664691842,0.41081138055668615,0.23540563567497796,0.10390187038091464,0.007729669913343621,0.027272884232329903,0.4581554843686122,-0.6146122619625686,-0.34968329813454047,-0.08288241188128975,0.11459754285843457
400,-0.5652711960590389,-0.8528727925502279,-0.4563825408463736,-0.33644693274182536,-0.6386277283506392,-0.7896419651620302,-0.6632502405212862,-0.5661769465839908,-0.6568696763946923,-0.6131009668684612,-1.0446358862633642,-0.8607721558519935,-0.5913757778436944,-0.6602329341135235,-0.5497103919454803,-0.5305295124037746,-0.5028075351058401,-0.4913000773636636,-0.47130635956010136,-0.4644148272813925,-0.5842134608173293,-0.5172414159225647,-0.4686901290154877,-0.43338843879128647,-0.45424279184986727,-0.8074840878339593,-0.4789836304845669,-0.07268740113979719,-0.7817397318956982,-0.8116964839555224
1047,-0.7419923103601183,-0.9098832454064768,-0.466912841892586,-0.40022825382811694,-0.5545648212920758,-0.7907876688895711,-0.6632502405212862,-0.5847195411450217,-1.202222389615173,-1.3161518691735712,-1.3640699726380479,-1.222193768333414,-0.6964139432864086,-0.7231876724699235,-1.0594817724607801,-1.036883954989059,-1.0545327640660007,-1.0342033357697253,-1.0478080713666045,-1.030540150664952,-1.0415169795427555,-1.0507694804545071,-1.0417272471893875,-1.0289064910443662,-1.0343805219038869,-0.9287961070935494,-0.6540656710798494,-0.430259444401373,-0.8920856245295522,-0.9619063261415696
1091,-0.6536317532095786,-1.051146297397885,-0.47199462896463873,0.5809556308281222,-0.4688317902522165,-0.7822585411400994,-0.6632502405212862,-0.5921365789694341,-1.202222389615173,-1.9106184869746186,-1.6835040594735775,-1.2622392320424538,-0.6291895173728206,-0.7861424108263236,-0.8443011361990863,-0.9126628058000589,-0.7641155869396355,-0.8283713103778371,-0.708711588996774,-0.7681866222687096,-0.8759646837478265,-0.7057153983883652,-0.6104034169594823,-0.5542899548659548,-0.5834052881083461,-1.0063814301003768,-0.18140657677271574,0.1341423319761466,-1.0024315171634062,-0.936871352443895
1131,-0.7419923103601183,-0.7449178129424548,-0.4405608944983331,-0.36527958473973804,-0.5139251377472074,-0.6948031566044701,-0.6230995242289138,-0.529091757461929,-0.555117409440025,-0.6131009668684612,-0.7867392041176927,-0.7542832285040971,-0.6964139432864086,-0.5972781957571234,-0.17518932018367933,-0.11849124096206502,-0.09536694112507745,-0.05661204179968586,-0.04152894977613669,-0.013765245801327174,-0.26744933199148113,-0.14807292703656286,-0.05062326912750064,0.017728870926563563,-0.009075402822329217,-0.6107873692746008,-0.04465854223285218,0.025207220315689827,-0.487484018205421,-0.6364516680718009
577,0.4950554897474378,0.428606077495948,-0.015995920973431936,-0.36265843455810964,0.3762509442835397,0.409655236745048,0.246832662105823,0.1668736250620967,0.8231253660889296,0.8755118753672995,0.9210183864367298,1.011921687550261,0.848335930799761,0.40650013283078196,0.701300869380616,0.6755133725586642,0.6518152151933204,0.6327285002937776,0.6137002580394613,0.5996018123275031,0.743564575088696,0.6906144278643436,0.6443575436645104,0.606484051421455,0.6108142631227405,0.6790932348739871,0.7188184146549723,-0.10570318233786746,0.5791929439218341,0.6653669642072739
630,-0.12346841030634025,-0.23716453558614045,-0.4197622401931276,-0.5863299167237349,-0.36862435137445887,-0.4044309118799138,-0.47588023115688144,-0.4203085360372145,0.02836759788348546,0.2440772477250618,0.3119178182520408,0.08449078441570608,-0.14271275743224449,-0.6672279051294495,-0.019310024565592457,-0.008678670177589325,-0.019199913808486863,-0.011591099055434737,-0.019883333001242922,-0.01383379155690586,-0.02119414539291822,-0.02129384919573959,-0.017243767477736194,-0.014938470104828662,-0.025407474582316375,-0.3751576432706835,-0.6096632291443655,-0.33957583210914666,-0.487484018205421,-0.43617187849040473
553,-0.6536317532095786,-0.7726009986398348,-0.4459570189150489,-0.5968145174502486,-0.7327113792969784,-0.7360484907959459,-0.6364830963263713,-0.5426896601400183,-0.555117409440025,-0.5660185161137146,-0.8577789241809499,-0.7670163045123719,-0.6551625909811468,-0.5343234574007233,-0.2983587568638427,-0.26550466409787643,-0.2479079360614999,-0.22411548712759058,-0.21415191863645885,-0.19628855315818505,-0.34250058382473364,-0.27134370360076937,-0.22048994143051262,-0.18417948656462607,-0.2048075590009455,-0.6807795916006795,-0.6203984219946598,-0.3615004385921158,-0.6346118750505596,-0.6865216154671498
1014,-0.5652711960590389,-0.27803695401506073,-0.41441850533385555,-0.24295924293041168,-0.6252667365002716,-0.34880063088708996,-0.5294145195467114,-0.45615755218854087,-0.029354067364539226,-0.4452740156422791,-0.46730511728216306,-0.410093764748865,-0.6439788911393537,-0.5972781957571234,-0.06562290643096716,-0.0749369677726835,-0.1096749797751553,-0.11296013858912327,-0.1384177993675268,-0.13858137660496345,-0.003640400173693864,-0.06358210088949344,-0.10567151302323802,-0.134201435243602,-0.1355870493184998,-0.27711714789587955,-0.22394812061005787,0.4481745219907877,-0.4507020539941363,-0.41113690479273024
893,-0.4769106389084991,-0.39889034474881807,-0.41441850533385555,-0.3198463149248454,-0.5462142013855961,-0.2553621268854134,-0.5294145195467114,-0.44503199545192235,0.02836759788348546,-0.14764018352132297,-0.08633362621762139,-0.22881996135339064,-0.5101671665387864,-0.282504503975123,0.00030122673457258324,-0.00036943537418113366,-0.013957419181581094,-0.00935051878909264,-0.02004232372471133,-0.013422683376179462,0.030384828982331136,-0.006556053187519051,-0.02689774143085189,-0.03455828959327908,-0.04164223079107134,-0.2821182617724663,-0.3387514416063551,0.2137103935040041,-0.41392008978285166,-0.3861019310950557
236,2.262266632758232,5.755853188888361,5.506649276969244,1.7962955983765,2.991665098993015,2.203572673245902,6.001768664012544,7.5060325523181195,1.6403317568899642,1.729600293099917,1.7285703497473066,2.1799751240934175,1.826729746158876,4.679552998771437,1.4455269077453416,1.4248683889762608,1.3935387464232343,1.3766435879753025,1.3517686883154654,1.3387481259805958,1.4584754038252632,1.3680643827224461,1.292922057371764,1.2355258875759627,1.2780567976020023,2.594086003731289,3.511220700144794,-1.0686034748775661,3.9999156155713074,3.1187943865793764
