,nAtom,nHeavyAtom,nC,GATS1e,nBonds,nBonds2,CrippenLogP,SpMAD_Dt,fragC,MLFER_S,MPC2,MPC3,piPC1,piPC6,TpiPC,R_TpiPCTPC,GGI4,GGI5,TopoPSA,VAdjMat,MWC2,MWC4,MWC5,MWC6,TWC,SRW4,WTPT-4,WPOL,XLogP,Zagreb
420,0.015816096857690032,-0.2925093626065327,-0.3658809394387065,0.3943487139483148,-0.3513692786771865,-0.02887442617277303,-0.9035078977067166,-0.23613605160580511,-0.4003450965760227,-0.28169418182174694,-0.5604749424016328,-0.5798280183854458,-0.20667324989573774,-0.509681545944897,-0.5073010553786247,-0.661018315808561,-0.6889150569218937,-0.6378432869055938,0.14028324497666045,0.049897219815645176,-0.10319452970086658,-0.2132546782108448,-0.23421108010948224,-0.2840761161336955,-0.3317174105428604,-0.1256321448284417,0.12576143362324566,-0.5277046090290518,-1.107984559653383,-0.477836913103092
215,3.3605269689889132,1.9724453508973532,2.6474465323129395,-0.1700234906460952,1.7139724421307923,3.230727461775829,2.4300419608251254,1.9257521841119103,-0.22100799654246217,0.30260403404975256,0.9688000664220988,0.5520388546713971,1.162760487644412,0.2820762889639643,0.2590685732533821,-0.5837871314345076,-0.3015018716897217,-0.37283466175367075,-0.09575078878670616,1.4440637587321716,1.0489704283327654,0.7534821832666136,0.652912594417885,0.5531450187821181,1.5107448383409812,0.9766558445454216,-0.38975430927285903,0.8207181784410192,2.883033030292999,1.275173655538865
135,-1.365694915544337,-1.2533992410627266,-1.2790104763331445,-2.04245343451919,-1.2275748572017835,-1.375231727716761,-0.599400274996677,-1.337634279058679,-0.4766448809539375,-0.3788367658596423,-1.1127131400324246,-0.9571169760710602,-3.1897126999146392,-1.508881620133465,-2.241302087876005,-0.661018315808561,-0.7534839211272556,-0.7040954437898438,-0.8886393089846962,-3.1960042960379598,-3.7811194994191286,-3.989816935811002,-4.0106073738437304,-4.103628024352517,-2.378424373717925,-3.9132985601688004,-1.0596797142590688,-0.9771788715190755,-0.835522830240981,-1.1637975703977708
506,-0.7476505152592197,-0.2925093626065327,-0.5485068468175941,-0.8262513670535072,-0.2887831659254296,-0.7374835322485561,-1.6821221375761115,-0.28220359273902246,-0.39480194984771266,-0.3754704386900123,-0.22063605155191462,-0.20253906069983146,0.21520999153963075,0.8189069065731825,0.4362850430933097,0.29940738856002214,0.09667279064097366,0.538132488249536,0.7038483764390014,0.049897219815645176,0.15665836459378268,0.24167609765231163,0.28606452648937836,0.3003654764415696,-0.09517348785141844,0.17645636254916658,0.8702822092004237,-0.19059891216153405,-0.7910997221846111,-0.24918336067153235
448,0.23394941460537852,0.5311105332130622,-0.0006291246809312264,-0.5258165407995693,0.3996640743438967,0.18370830564996188,-4.411133340094952,-0.07463297573767995,-0.334696849048586,-0.10904968840786354,0.28912228472266255,-0.013894581857024314,0.6279517282330433,0.22212635339006312,0.10555114248189969,-0.5784535511051039,0.3441867703638982,0.28968690112613665,1.826203757324731,0.7544253797397236,0.6051535696797812,0.5067332506670826,0.461357797547393,0.44116956008490865,0.4894345946892604,0.5862338583554302,2.127311026554653,0.14650678470598372,-2.1399675314244377,0.33515349554245333
1012,0.0885272027735862,-0.2925093626065327,-0.27456798574926267,1.500341365833972,-0.3513692786771865,0.04198648443480528,0.08512240823468707,-0.5926725737827309,-0.4003994411517905,-0.6510283627182998,-0.26311591290812936,-0.35974279306883744,-0.20667324989573774,-0.3958293400697722,-0.4700597050022403,-0.661018315808561,-0.3660707358950837,-0.10782603660174779,-0.5312974612587467,0.049897219815645176,0.10493771625659251,0.18800624706228253,0.19342502492802335,0.23284959637169228,-0.1489174962019312,0.13027099509882034,0.030045149602226637,-0.26551128924320466,0.06410206060314613,-0.29999526121187897
661,-1.365694915544337,-1.2533992410627266,-1.2790104763331445,-2.04245343451919,-1.2275748572017835,-1.375231727716761,-1.639850800380005,-1.337634279058679,-0.4766448809539375,-0.6774780761939644,-1.1127131400324246,-0.9571169760710602,-3.1897126999146392,-1.508881620133465,-2.241302087876005,-0.661018315808561,-0.7534839211272556,-0.7040954437898438,-0.8886393089846962,-3.1960042960379598,-3.7811194994191286,-3.989816935811002,-4.0106073738437304,-4.103628024352517,-2.378424373717925,-3.9132985601688004,-1.0596797142590688,-0.9771788715190755,-0.7188836952416917,-1.1637975703977708
260,-0.34773943272179075,-0.2925093626065327,-0.18325503205981883,-0.2663291469880967,-0.2887831659254296,-0.34774852390687544,-0.06413147663130467,-0.16105499726986844,-0.3950193281507836,-0.28025147017761975,-0.34807563562055893,-0.35974279306883744,0.16396609661138042,0.15782036461108667,0.15304449739292975,-0.13968891928796437,-0.5023827826405268,-0.5301835337574954,-0.4301215823793156,0.049897219815645176,0.07794169152353939,0.0761111769157353,0.08677862224486863,0.06889075991912826,-0.18064748905900663,0.08147000191096894,0.0644314267451826,-0.3778798548657106,-0.13682707429797308,-0.32540121148205225
756,-1.2566282566704927,-1.047494267107828,-1.2790104763331445,2.573497614445677,-1.0398165189465127,-1.2689403618053934,-0.9342315612038546,-1.0908792417426922,-0.46017847449631055,-0.7678880058925996,-0.9852735559637804,-0.9571169760710602,-1.4168442419816285,-1.508881620133465,-1.4011904275311378,-0.5844984713862341,-0.7534839211272556,-0.7040954437898438,-0.03432257660990868,-1.5343752147543104,-1.4270124534952444,-1.4232203537423493,-1.4773364511827523,-1.404956060781063,-1.2653044277140029,-1.375425839514383,-0.16465720149786062,-0.9771788715190755,-0.8398512356413452,-1.0113618687767312
126,2.160793721376627,1.0115554724411593,1.6430040417290575,-0.20537717512889328,0.8377668636061952,2.061522436750787,2.3313216239797994,1.0769264629498736,-0.2972534363446092,-0.5817782038001961,0.28912228472266255,0.048986911090578074,0.7266635624585002,-0.004935650048274332,-0.013972878826345956,-0.6462431426653653,-0.5597773285111697,-0.5053389743296323,-0.5492355316212988,1.0307338072398076,0.7072363068403725,0.4648330716820322,0.38763578956932104,0.3009096997106192,0.766503903368791,0.6491101069105604,-0.32880099673864366,0.22141916178765433,2.825169084414445,0.5129951474336664
