,naAromAtom,nBonds,SpMax_Dt,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MLFER_S,MLFER_E,MLFER_L,MPC2,MPC3,MPC6,TPC,piPC1,piPC2,TpiPC,GGI2,GGI4,TopoPSA,MWC3,MWC5,MWC7,MWC9,SRW2,WTPT-1,WTPT-3,WTPT-4,WPOL,XLogP
286,2.5399031833417176,1.9618951609309043,4.45005335710729,3.148400471724388,4.416853998793344,5.9483450304726615,4.775492126611178,0.6973574291260752,1.9201025492322323,1.0234357931607865,2.440845692747793,3.543431722914737,7.833159090289863,11.108018123605454,1.4357543736376943,1.5510021608794262,2.1193640991396285,1.4314314169999174,1.2300193669106976,-0.7426441647838865,1.3745716517411126,1.3993744964991226,1.416179689529644,1.427686969683142,1.334351609421395,1.7351024365183172,1.1557616767004808,-1.0361704828770533,2.812082966058287,1.46966564441894
736,-0.6355502266259445,-1.113022177581287,-0.6526213835731363,-0.6614689023312923,-0.6504564904676107,-1.1291632867280306,-0.4544952871132433,-0.7561416015829305,-0.6525776661391675,-1.0984201560934708,-1.0801610677434481,-0.9674530829786753,-0.640857844854461,-0.5743457814774572,-1.987501071349399,-2.3806969875371053,-1.726045475771897,-1.001140236172078,-0.7685409395270132,-0.5778008657786378,-2.0900708041504426,-2.209320429001903,-2.2683875037125296,-2.2997984955045028,-1.84045246415767,-1.116828609994508,-0.7849463658792228,-0.7489385207519785,-0.987626167584897,-0.8668653688237807
100,-0.6355502266259445,0.23994145136407713,0.028414291397826703,0.12199928145453566,0.025859244853724008,0.2955390308964432,-0.34601323046558113,-0.2606626506808318,-0.469047503033314,0.3026651722422133,-0.04457084406955368,-0.20547929819938263,-0.39239129891658725,-0.30789551501586004,0.4510799642659017,0.19444994173460833,-0.09198696797308893,-0.39299732299310597,-0.39315917768747477,-0.11099461450468359,0.35453318092947345,0.2342389695893222,0.15565480472634446,0.10263632266128753,0.5395979523201293,0.3163086633220171,-0.264155721310619,-0.09267262006713511,-0.07423454892067002,0.7446057583165223
675,-0.6355502266259445,-0.9285271372705556,-0.6248602887975435,-0.633277450441445,-0.6228877948505934,-0.9516120252960762,-0.43962393844887926,-0.6526227324485889,-0.7503156228227579,-0.9896555039072968,-0.914466631955625,-0.8455372774139884,-0.640857844854461,-0.5565824303800173,-1.230740033167835,-1.371519544605786,-1.2357037747795874,-0.6970687793545384,-0.7685409395270132,-0.6352462578562245,-0.939674514863539,-0.8850147566042355,-0.8450829830789051,-0.8160036367583253,-1.018255324040485,-0.9265335628059171,-0.40096042311631097,-0.3501851720188948,-0.8414835085986206,-0.7061948212931041
15,-0.6355502266259445,-0.9900254840407994,-0.6333656524155423,-0.6394293760193,-0.6313342117793403,-0.9784061886833176,-0.44464671183883003,-0.7175572958146759,-0.6400889272295974,-0.8883266738288683,-0.9973138498495365,-0.9064951801963318,-0.640857844854461,-0.5636877708189932,-1.429794223589845,-1.7439769122857216,-1.37206456348535,-0.8997830840516005,-0.7685409395270132,-0.8657771138893222,-1.2885471780403437,-1.30313573636377,-1.3035236854098224,-1.3002903842149889,-1.2275131488989748,-0.9868418358863603,-0.7750636497615448,-1.0361704828770533,-0.9145548380917589,-0.32199250918938166
620,-0.6355502266259445,-0.6825337501895803,-0.5653225736754243,-0.571097143001405,-0.5637627077781979,-0.7494257435046044,-0.4199760307764248,-0.7467307952979904,-0.6895008942196349,-0.7181849815329995,-0.7073485872208461,-0.6626635690669582,-0.6016262849695335,-0.5163188345591538,-0.5689758746321875,-0.661272806429676,-0.7718192625066873,-0.4943544751135834,-0.5808500586072439,-0.36462850865594115,-0.3858803776158149,-0.33018553727823374,-0.291346777191946,-0.26410110793693076,-0.4483238423274904,-0.6681821004110776,-0.6214219377871942,-0.4144576222828037,-0.6222695201192062,-0.3365164004915897
163,-0.6355502266259445,0.23994145136407713,0.0010625182078388847,0.07294528586498308,-0.001302966164464404,0.23182409107077442,-0.3459639875892091,0.27010682378979256,-0.09981522222863866,0.49297180584722206,0.038276373824357876,-0.2359582495905543,-0.36623692565996896,-0.2960532809509002,0.37017070365511756,0.16618331530561556,-0.1749315851243065,-0.2916401704165212,-0.3305955507142183,-0.11199366480168507,0.37738540084599487,0.26782269269857634,0.19563909280478708,0.14724313418600773,0.5395979523201293,0.3086236572868747,-0.01941715857079742,-0.2667724874733974,-0.1107702136672391,1.5257187874133993
132,-0.6355502266259445,-0.9285271372705556,-0.6248602887975435,-0.633277450441445,-0.6228877948505934,-0.9516120252960762,-0.43962393844887926,-0.41594095438234413,-0.5434369478424913,-0.6846607666065543,-0.914466631955625,-0.8455372774139884,-0.640857844854461,-0.5565824303800173,-1.0624421131890016,-1.1072568361157449,-1.148011513830025,-0.6970687793545384,-0.7685409395270132,-0.35214037994342234,-0.939674514863539,-0.8850147566042355,-0.8450829830789051,-0.8160036367583253,-1.018255324040485,-0.9265335628059171,-0.4384418738755563,-0.7261665213948985,-0.8414835085986206,-0.9971265189404592
280,-0.00045954463241207447,-0.3135436695681173,-0.41864836310718956,-0.42065083364220573,-0.4181050274753467,-0.3678184243315089,-0.390479547829557,-0.52510630728765,-0.29909205613351486,-0.3465199070289127,-0.16884167091042102,-0.29691615237289776,-0.3270053657750415,-0.3588171214951875,0.02772709740350553,0.20826362963243833,0.16663921701821008,0.012431285944911264,-0.18808951167114438,-0.613142270035066,0.20138193263319543,0.27728577050868586,0.3237126574474446,0.35443245687520514,0.06217319968623007,-0.32968891044747606,-0.7654419353130772,-0.7090432003034487,-0.2934485374000845,0.5805311737618906
1056,-0.6355502266259445,-0.43654036310860495,-0.5070720215721668,-0.5258897219522193,-0.5059158629999596,-0.6681287628282673,-0.40008190872210997,-0.11197191137877743,-0.1307655751784423,-0.277202921278744,-0.45880693353911145,-0.32739510376406944,-0.5493175384562969,-0.45710766423435445,-0.30568107391566224,-0.4148474137881362,-0.5624089590719573,0.012431285944911264,-0.3305955507142183,0.43785864241051947,0.02278616138389806,0.11927919229087866,0.18308707274004976,0.22605188348860963,-0.08188888715352033,-0.4114423238657475,0.06132639432779711,0.5493828615102287,-0.22037720790694634,-1.6327736992136586
1001,-0.6355502266259445,-0.4980387098788488,-0.4827580114530148,-0.4764114374906724,-0.4817703619788474,-0.4426591022350356,-0.40515392498843283,-0.4418206716659296,-0.5021698105760863,-0.5612765319712539,-0.5002305424860672,-0.47978986071992796,-0.48393160531475127,-0.4440812067628986,-0.2303563547339632,-0.2655586792665958,-0.41948843516818657,-0.39299732299310597,-0.5456580184347872,-0.42207390073352785,-0.07777207281964124,-0.037247188264656145,-0.014046285454579793,0.0005344912392939334,-0.1621432559254564,-0.5111578579094155,-0.3898996586862273,0.05910942108114421,-0.5857338553726371,-0.6074777475984087
