,NOAEL-LOG
1486,3.0
157,2.301029996
1430,3.0
822,3.0
103,2.477121255
221,2.397940009
100,3.0
1372,2.903089987
1371,3.0
1031,3.0
77,1.795880017
7,3.0
1228,3.0
513,2.0
456,3.0
736,3.0
1300,2.397940009
621,3.0
123,3.0
141,2.0
924,2.397940009
412,3.0
228,3.0
1403,2.698970004
510,3.0
1071,3.0
784,2.0
273,2.301029996
553,3.0
69,2.77815125
119,2.698970004
972,2.875061263
1006,2.875061263
870,3.0
1122,3.0
219,3.0
1221,2.397940009
663,3.0
330,2.0
518,3.0
1384,3.0
1217,3.0
1264,2.698970004
581,3.0
683,2.903089987
388,2.653212514
1035,3.0
749,2.77815125
211,3.0
591,3.204119983
1215,3.176091259
633,3.0
1263,3.0
1239,3.0
618,3.0
1186,2.77815125
817,3.0
1016,2.698970004
871,3.0
213,2.602059991
646,2.875061263
956,2.77815125
1123,3.0
344,3.0
104,2.397940009
708,3.0
259,2.096910013
529,1.875061263
15,3.0
779,3.0
1147,2.544068044
744,2.397940009
297,3.0
1248,2.477121255
1079,2.0
85,3.0
411,3.0
436,3.0
1094,3.0
705,3.0
1310,3.176091259
302,3.0
613,3.0
1288,3.0
328,3.0
1157,3.0
826,2.146128036
1038,3.0
1219,3.0
1405,4.113943352
365,2.77815125
162,2.653212514
419,3.0
1270,3.0
724,2.698970004
492,3.0
179,2.0
1033,2.77815125
692,3.0
932,2.397940009
120,2.176091259
465,3.875061263
988,3.0
195,2.0
1367,3.0
455,3.0
829,3.0
900,2.477121255
672,2.698970004
522,3.0
333,2.066325925
334,3.176091259
544,2.477121255
1167,2.397940009
1193,3.0
582,3.0
234,2.0
937,3.0
964,3.875061263
854,3.0
1208,2.301029996
615,2.698970004
567,3.0
30,2.0
280,3.0
370,2.698970004
1297,3.0
1449,2.096910013
336,2.301029996
64,3.0
163,2.397940009
969,2.0
1431,2.477121255
203,3.0
1408,3.0
722,2.698970004
443,2.079181246
1379,3.0
556,3.0
1271,2.397940009
1058,3.0
331,1.477121255
232,3.0
305,2.812913357
440,2.477121255
199,3.0
286,3.0
468,3.0
299,3.0
609,3.0
1261,3.0
811,2.397940009
269,2.698970004
676,2.698970004
888,3.0
1115,2.0
1276,3.0
1466,2.698970004
1197,2.397940009
1366,2.079181246
766,3.0
1018,3.0
1075,3.0
1392,2.397940009
1234,3.176091259
21,3.0
469,2.77815125
700,3.0
1370,3.0
815,2.602059991
1143,3.0
409,2.301029996
1282,3.0
427,3.0
189,3.0
196,2.698970004
249,3.0
126,3.0
400,3.0
113,3.0
620,2.698970004
697,3.0
551,3.0
1152,3.0
201,2.477121255
1171,3.0
851,3.0
1020,3.602059991
922,2.698970004
629,3.0
860,2.301029996
1465,2.77815125
1337,3.0
1096,2.602059991
72,2.698970004
314,3.0
374,3.0
898,2.602059991
153,2.397940009
536,3.0
980,3.0
91,3.0
1103,3.0
625,2.0
1365,3.176091259
1412,3.0
818,3.0
1440,2.77815125
1479,3.0
575,3.0
1142,2.903089987
16,3.0
1074,3.0
1190,3.0
734,2.0
1151,3.0
1105,2.77815125
1328,3.0
535,2.301029996
88,3.0
1153,3.0
172,3.0
92,3.0
794,3.0
631,3.0
775,2.875061263
1120,2.255272505
399,2.397940009
1317,2.698970004
354,3.0
792,2.698970004
39,3.0
1057,2.602059991
1199,2.544068044
307,3.0
807,3.0
999,3.0
202,2.0
552,3.0
1056,2.301029996
930,3.0
490,3.0
624,3.0
812,2.204119983
810,2.77815125
947,2.0
132,2.653212514
821,3.0
710,2.903089987
908,2.301029996
166,3.0
223,2.301029996
857,2.301029996
173,2.698970004
1128,3.0
771,3.0
74,3.0
1250,2.301029996
448,2.301029996
357,2.653212514
1065,3.0
237,3.0
780,3.0
1005,2.903089987
253,2.0
332,2.301029996
853,3.0
1174,3.0
906,3.0
270,3.0
502,3.0
831,2.698970004
479,3.0
882,2.602059991
1131,2.698970004
648,2.77815125
977,2.698970004
348,3.0
593,3.0
194,3.0
1181,2.477121255
873,3.0
881,3.0
1448,3.0
634,2.397940009
1009,2.477121255
161,3.0
480,2.77815125
1187,3.0
416,3.0
466,2.301029996
1423,2.301029996
371,2.0
1191,2.0
1410,3.0
421,3.0
1244,2.397940009
595,3.0
916,3.0
