,nAtom,nHeavyAtom,nC,GATS1e,nBonds,nBonds2,CrippenLogP,SpMAD_Dt,fragC,MLFER_S,MPC2,MPC3,piPC1,piPC6,TpiPC,R_TpiPCTPC,GGI4,GGI5,TopoPSA,VAdjMat,MWC2,MWC4,MWC5,MWC6,TWC,SRW4,WTPT-4,WPOL,XLogP,Zagreb
74,-0.3113838797638427,-0.4984143365614314,-0.45719389312815023,0.12215162665604173,-0.5391276169324573,-0.34774852390687544,-0.09789513738579782,-0.6310895066096359,-0.41675715845788186,0.021275263444956602,-0.6029548037578475,-0.5798280183854458,-0.3643052844958968,-0.509681545944897,-0.5978441175016933,-0.6250474487789646,-0.43063960010044566,-0.37283466175367075,-0.43270259969766844,-0.21756532255147798,-0.247459244888362,-0.22029223918555713,-0.1877078563009535,-0.18740104112595113,-0.4349572468574372,-0.2392068048711855,-1.0596797142590688,-0.5277046090290518,-0.13591583105579114,-0.5794607141837852
179,-1.1475615977966485,-0.9788592757895284,-1.2790104763331445,-0.2172641284186526,-0.9772304061947559,-1.162648995894026,-1.2748083613047025,-1.0569557938121508,-0.45468967234376834,-0.05182212652415288,-0.8578339718951361,-0.9571169760710602,-1.0462048954745107,-1.508881620133465,-1.1508642350379035,-0.5079786269639073,-0.7534839211272556,-0.7040954437898438,0.29346662282090097,-1.2669126723871877,-0.9868609292803647,-0.8662958663644482,-0.9384342142165388,-0.7836383881536622,-1.0004917382856369,-0.8995865355991749,-0.1622708661323012,-0.9771788715190755,-1.2681355594668602,-0.9097380676960379
256,-0.7112949623012715,-0.7043193105163301,-0.9137586615753693,-0.2399958317224829,-0.7268859551877281,-0.7374835322485561,-0.9755830766921011,-0.8119105803181516,-0.4329518420366701,0.18574439087545272,-0.6879145264702771,-0.7055910042806506,-0.5483228934289787,-1.208092425942848,-0.7518321007398917,-0.5646599931459866,-0.6889150569218937,-0.6378432869055938,0.18222477639989398,-0.5623845124631089,-0.4670239294432932,-0.35200911480343744,-0.33139075436403304,-0.27216894890599214,-0.6127452997732803,-0.4285092354638132,0.2160784375000407,-0.6775293631923931,-1.1676709920163006,-0.7064904655346517
751,-0.5295171975115311,-0.6356843191980306,-0.5485068468175941,-0.404197350485422,-0.6642998424359712,-0.5603312557296103,-0.3133168418817103,-0.7402701273627774,-0.42768041818719876,-0.5928389930718376,-0.6454346651140622,-0.6741502578068493,-0.4524759367899841,-0.6644595958807928,-0.6765581656331212,-0.5729045556806086,-0.4952084643058076,-0.43908681863792093,-0.5492355316212988,-0.43609813174536327,-0.37280808593541115,-0.3269198802047655,-0.2984964605321954,-0.2916452318712074,-0.5684698398492037,-0.34224523758221104,-0.3515591726518961,-0.6400731746515578,-0.4272858577434687,-0.655678564994305
554,-0.7112949623012715,-0.7043193105163301,-0.7311327541964817,-0.11898220571847384,-0.6642998424359712,-0.7020530769447669,-0.7874134505378555,-0.5902594295467564,-0.42762607361143096,-0.2081158879712618,-0.5179950810454179,-0.45406503249024105,-0.5483228934289787,-0.8104707401355139,-0.5883551202518337,-0.6106763129125601,-0.7534839211272556,-0.7040954437898438,-0.2881656298699098,-0.5623845124631089,-0.247459244888362,-0.034623436108350156,0.042679944642834464,0.09670495733512324,-0.45159109489715604,-0.1919664543183269,-0.015160319059171654,-0.5651607975698871,-0.7043038033667806,-0.5794607141837852
454,2.160793721376627,1.5606354029875558,1.825629949107945,-0.0812334150191928,1.4636279911237646,2.1323833473583655,1.4684128727596089,1.6408731902332014,0.21391164332680598,0.5209343961943295,1.096239650490743,0.9922093053046139,1.1521174568523949,1.1476885170982896,1.165794538105418,0.6685077321638064,0.4948474537787797,0.38906513645251184,0.41116101253779014,1.284011426746693,1.0394099391952776,0.881424796010664,0.8350697868955145,0.7836315475512887,1.3655382030338692,0.9884228617939206,0.4164472960933097,1.1203676867677017,1.1336738161142064,1.249767705268692
785,-0.7840060682171678,-0.9102242844712288,-0.9137586615753693,0.472300146464384,-0.9146442934429989,-0.8083444428561344,-0.8366657219859894,-0.9088505852605312,-0.449418248494297,-0.5798545882746932,-0.9427936946075656,-0.8627947366496566,-1.2160088228601387,-1.508881620133465,-1.2060539910775607,-0.661018315808561,-0.6889150569218937,-0.7040954437898438,-0.4337350066250095,-1.0483798631933023,-1.0787173923989595,-1.0915528602556104,-1.068565400892058,-1.0883419988181484,-1.0442989395082667,-1.0725487488790115,-0.704638831645138,-0.8648103058965696,-0.9261915328380846,-0.9351440179662113
608,-0.8930727270910119,-0.6356843191980306,-1.0963845689542568,-0.4319655179787779,-0.6017137296842142,-0.8792053534637128,-0.8310550793104804,-0.4856243409691799,-0.4219198931558177,-0.3129529341111687,-0.43303535833298845,-0.5169465254378434,-0.20667324989573774,0.008417621042543576,-0.32581452043520426,-0.46022156082749643,-0.3947680092339605,-0.7040954437898438,0.44703715326289456,-0.43609813174536327,-0.1371909580564991,0.03781031032611968,0.05907396019231995,0.14074646323218928,-0.39515700876230125,-0.08408575922541048,1.0135917388193842,-0.5651607975698871,-1.407100153899607,-0.5032428633732653
540,-0.8930727270910119,-0.8415892931529293,-0.9137586615753693,-0.41977373189769596,-0.852058180691242,-0.9146358087675018,-0.9167549487545169,-0.9073803565152743,-0.4439294463417547,-0.13165217083252234,-0.8153541105389214,-0.8313539901758553,-0.7693707168444022,-1.508881620133465,-0.9268843585580872,-0.5425947471325978,-0.7534839211272556,-0.7040954437898438,-0.1122692996241643,-0.8636130060979641,-0.7562048876386307,-0.6818384618641672,-0.6837514785890645,-0.633128489754024,-0.8395711211755331,-0.7124941582978735,-0.43382757622013557,-0.8273541173557343,-1.0091146678766418,-0.833520216885518
37,-0.1296061149741023,-0.4297793452431318,-0.18325503205981883,0.304320850275853,-0.41395539142894344,-0.13516579208414048,-0.04311314599305176,-0.512693354278952,-0.4059969324558682,-0.6010143590552248,-0.30559577426434414,-0.32830204659503626,-0.20667324989573774,-0.16753277802245886,-0.2961984329805819,-0.5759962665354421,-0.3297507497795676,-0.43908681863792093,-0.6275694072333072,-0.12162517155502628,0.0501274832564707,0.21150550610219407,0.2818123217248272,0.33007580506040024,-0.17526307188986795,0.08147000191096894,-0.7414379090729583,-0.4527922319473812,-0.020643560919774904,-0.35080716175222554
