,NOAEL-LOG
153,2.0
24,2.0
201,2.301029996
75,3.0
193,3.0
73,2.0
81,2.301029996
133,2.397940009
12,2.0
199,3.0
179,2.079181246
142,2.477121255
185,3.0
211,3.0
19,3.0
219,3.0
40,2.0
203,3.0
77,2.0
100,1.397940009
82,3.0
30,2.301029996
214,2.301029996
173,2.0
93,2.301029996
121,1.698970004
91,2.0
113,2.477121255
102,2.0
107,2.698970004
200,2.0
161,2.397940009
123,2.0
31,2.0
85,2.301029996
117,3.0
34,2.0
10,2.698970004
70,2.397940009
192,2.079181246
56,2.698970004
119,2.77815125
32,2.0
195,3.0
94,1.397940009
