,nHeavyAtom,MATS4p,GATS1e,nBonds,SpDiam_Dt,fragC,McGowan_Volume,MLFER_S,MLFER_E,MLFER_L,MPC4,MPC6,TPC,piPC1,piPC2,piPC5,piPC6,TpiPC,GGI4,TopoPSA,MWC2,MWC5,TWC,SRW2,WTPT-1,WTPT-3,WTPT-4,WPOL,XLogP,Zagreb
332,-0.6688725438571334,-0.17110953236790968,0.7357403723878675,-0.7044210249047185,-0.5892173464310337,-0.4503545499649233,-0.519912943048242,-0.6712652457252759,-0.5546572004856084,-0.5960403144496886,-0.7344620549631994,-0.6312838057829654,-0.534281535730963,-0.7162913172634274,-0.8636361855412472,-0.9422978474361824,-1.0314183508360555,-0.8937313875617594,-0.6163590279060918,-0.300887070500974,-0.4761893163087633,-0.3800166395288664,-0.6266349974124301,-0.48642023217950664,-0.6866010800405628,-0.6454968909873738,-0.6835370914593155,-0.6547992912454571,-0.4907910059228559,-0.7285860732282579
1479,-0.39696140631754634,-0.9899734453853457,1.1384000493057798,-0.3942961260651672,-0.45260685203590034,-0.42406529094916323,-0.2480190480967061,-0.6951795327889375,-0.5188838415289591,-0.474544616335648,-0.39533627088530837,-0.4571013637893508,-0.4072647382968302,-0.06112348597078821,-0.008091967747754813,0.33559642018847347,0.17004025120525718,0.04934044663412198,-0.43075206838782976,-0.8885210374371111,-0.0044502932020479315,0.12126472888676051,-0.23316716380295885,-0.035799172874188566,-0.39335461001244454,-0.7343120176216659,-0.9926072944143682,-0.31943301007686625,0.07368839036881035,-0.40108324443000837
1507,-0.39696140631754634,-1.6905320305921712,0.29666935007984574,-0.45632110583307745,-0.42083276333731146,-0.4291229439862634,-0.34533643474680215,-0.3442739736303105,-0.6131438032242573,-0.4201340033762515,-0.6666368981476212,-0.5642905588623445,-0.48105544918713594,-0.3412474468730148,-0.7076571380253672,-0.6970629606209422,-0.6717778048279659,-0.6407239389084288,-0.7448561537882045,-0.16239603829332228,-0.22845195699005286,-0.35129059080054037,-0.44912604533041417,-0.11195003569783621,-0.4092294760349561,-0.054765521111935285,0.7592630842052421,-0.6175363711156137,-1.1013142117943913,-0.5774309214752196
477,0.4867497906861115,0.13242504683222056,-0.49233393790505103,0.41202861091766607,0.2437514647088194,-0.35552355551929604,0.912892585758502,-0.4814150892402886,-0.3309317492329123,0.4560689027275362,0.12465659803412452,-0.12213512918624575,-0.1496020920733036,0.5082608437073762,0.31812142616382416,0.16311693235237917,0.18412052452407227,0.06069083480079048,-0.06667687865621284,-0.35018479572718403,0.5845447761177525,0.4952001612504081,0.5005143275060033,0.646262168270013,0.4545006999482857,-0.6059824910579121,-0.6751557414776675,0.2767737120006285,1.4353012400119627,0.3294999890430097
1075,-1.008761465781617,0.20389466711127943,4.001654492269563,-1.0145459237442698,-0.6785497905738112,-0.476538441209077,-1.1086261845258054,-0.08170486260480112,-0.41951339998271076,-1.0358060921332817,-0.8927207541995485,-0.671479753935338,-0.5826688871344422,-1.113853840286816,-0.6384622356015958,-1.8024777404095036,-1.6462279251755272,-1.245642206234671,-0.8091047167292608,0.2377032831946552,-1.0478617961659489,-1.0033682047871897,-1.0513280183281355,-1.2826957201162734,-1.0182795982219843,-0.18443833020490036,0.13393339925345135,-1.0274284925438912,-1.2131032687070546,-0.9553188008578152
1350,0.8946164969954921,0.23828634591773126,-0.40036883644174054,0.7221535097572173,0.25048041106916985,-0.3289708770745204,1.2149687911340272,-0.21786988486524186,-0.6954793119340059,0.6432414113078602,-0.0788188724126101,-0.16233107733861835,-0.12177936501630308,0.7114829063283776,0.38731632765389207,0.05599117181489343,0.07061628389894245,0.04009994848410633,-0.03812196143658473,0.11395074615772607,0.6705122435731646,0.4145957309590476,0.7077548529910148,0.8242847983065327,0.8309118797646983,0.11794236500306243,1.0919867629225397,0.2767737120006285,1.3100089504821264,0.48065514079604793
77,0.8266387126105953,0.7079156591185475,-0.21441747310173673,0.7841784895251276,0.457255248756085,0.013474380645800109,1.119612938285071,0.278961630049198,-0.14638664350416547,0.7250493682044589,0.7802997805847138,0.454006794331095,0.12741549471161465,0.7114829063283776,0.6045166695565607,0.3246490229140023,0.3916680358088777,0.1846897197580195,1.3039591310206913,-0.06672287567647649,0.8669547565966775,0.7802610127552608,0.859258877393724,0.8565799554896364,0.7854164934214439,0.1764449113547445,-0.3717614225460846,0.7239287535587496,0.12393812486222522,0.8837355454708165
249,-0.8048281126269269,0.18373297030878866,0.3068657248574482,-0.7664460046726287,-0.5915680335494456,-0.4555175707736297,-0.8342645535018679,-0.006545674690435886,-0.177617353704415,-0.6833533451280615,-0.6440285125424284,-0.6178851563988412,-0.5306524843757021,-0.5130692535277905,-0.5740433237959679,-0.47142571506145303,-0.5086950412922381,-0.5951857897043863,-0.7087163371338602,0.04508639803245334,-0.5761227739827176,-0.39865504004117996,-0.6974811459881647,-0.6049487917785251,-0.78267729011505,-0.23253492182933808,-0.9926072944143682,-0.8411138918946742,-0.7745802553526269,-0.7789711238126039
328,2.1182166159236337,-0.5533876215333325,-0.5717087592345814,2.086703064651243,1.9827831459316085,1.431671902580155,1.703453982901739,4.03545688574315,2.816556007857683,2.5558064630735653,1.9333274464495436,1.6330879401340248,1.3370992797985939,1.529590940942543,1.5601964555396686,1.275235746689454,1.3555403483299315,1.4500746778997118,1.7572684366620928,3.609134053497444,1.3140362029400772,1.1201069269630402,1.8977371219975443,1.3751883441463637,2.0778685304161186,3.5634004440690474,2.711223770332795,2.177182638622643,-0.8104412993523327,2.1937468606638144
1518,-0.3289836219326496,0.18810092144597979,-0.7140915572300122,-0.33227114629725696,-0.36447524564408357,-0.41858616682563815,-0.23257987882321887,0.18574471516839453,-0.25597804475231356,-0.24461176721782174,-0.4857698133060793,-0.4838986625575992,-0.40000663558630833,-0.06112348597078821,-0.025224630149210597,-0.31854386848111005,-0.3897222803130283,-0.34265033237990666,-0.5592491942699425,0.06160367710309067,0.05069943354615452,0.028148819378712945,-0.22799307530042784,0.03527106644518597,-0.3267134873855843,-0.09883129256809381,-0.10859169332077552,-0.5057476107260834,-0.5445825719224148,-0.35069819384566225
274,-0.8728058970118237,-0.3022396522592113,0.030630740855260186,-0.8284709844405389,-0.6054153396361897,-0.46089132712554853,-0.8821006681361154,-0.5760961441453979,-0.6222291007370572,-0.8221324144174398,-0.7344620549631994,-0.5776892082464686,-0.5415396384414849,-0.9650150210847929,-1.1609776719023843,-0.8041887211584279,-0.724013563444574,-0.9431830727897279,-0.8091047167292608,-0.6539756746340605,-0.7497859020191024,-0.6508707870908536,-0.844864069716626,-0.7383299772819922,-0.8391505715082331,-0.5783370650238568,-0.24940336456407056,-0.7665880516349873,-0.7179109512543264,-0.8545486996891231
