,MATS3m,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MLFER_E,MLFER_L,MPC3,MPC4,MPC5,TPC,piPC1,piPC2,piPC4,piPC6,TpiPC,GGI4,GGI5,MWC3,MWC5,MWC6,MWC7,TWC,SRW6,WTPT-1,WTPT-3,WTPT-4,WPOL,XLogP,Zagreb
237,0.2207404167624557,-0.21976188696292345,-0.21690558131966248,0.06897851949331582,-0.1862196427681511,-0.5396164797843662,-0.0913158734100648,-0.035923879537962035,-0.04377578072522834,-0.009309674412654876,-0.09919097834170912,0.11368837778831452,-0.05148509981863077,0.029070919583229146,0.08281151424906023,-0.010784115093945994,-0.37895977971394484,-0.10853448784344699,0.3369221989030226,0.34150934976865727,0.33264918705701463,0.34622397790376497,0.09942190216206709,0.3065176818514892,-0.022511634582483474,-0.9625085778400976,-1.0653155988348209,-0.08843619651082829,1.4885181979987794,-0.06685560448180093
860,-1.1192854030315746,-0.2823814559118356,-0.3184965495971213,-0.2934473228911995,-0.3910408953982304,-0.9232786232625797,-0.3299171053379521,-0.09825837921543457,-0.3828122213138636,-0.5210538390340551,-0.36441400485431663,0.05958170311424875,-0.0879355754468742,-0.2518540951666686,-0.4163444254711227,-0.31899579493028657,-0.47724970077898293,-0.4159720431584624,0.2966067534035029,0.29689486547207833,0.2865143825743391,0.29151972937826276,0.07982273277021108,0.30417353036101163,-0.03466993499293362,0.5748807217457861,1.1251774412798081,0.0608744861872081,-0.2994070163012001,-0.11769468255141029
157,0.8833997208747959,0.06496345407754618,0.06226745503972019,0.4382170574966738,0.16153442644550872,0.743532636703089,0.2360010469202783,0.5874211172367634,0.6116946710794665,0.6675132529898422,0.463936585059467,0.7566878700419447,0.9784235483371083,1.150630711898772,1.371188328953267,1.5131492502048105,0.6851163790877702,1.1539011991627908,0.6773710416939329,0.7073460246081898,0.7102042178788406,0.7225705938861838,0.4941713260008068,0.6622115086666692,0.31655598850159267,0.5380569107313622,0.23541385225060338,0.4714788636068082,-0.20295527627394486,0.4415351762142926
104,0.4697870637531997,-0.7073052339981445,-0.6900990745484514,-1.3581329770004886,-0.491399099089279,-0.6093225378290998,-1.1590078901020096,-1.0021086245387865,-0.8800656675105286,-0.7686719832057004,-0.6158102385155559,-3.262586092015868,-3.0794557655439783,-2.00619166103293,-1.599903149714805,-2.3079136250303627,-0.7931815910449336,-0.7395905225600604,-3.903420594391807,-4.06198346476149,-4.148839555601067,-4.150754955190758,-2.436806511906304,-4.175924908545523,-1.2861445597935377,-0.8969758464193354,-1.0653155988348209,-1.0216279633735557,-0.7478270391486779,-1.2107348610480113
100,0.18652309691276808,-0.6324643378589968,-0.6236424239367981,-0.8821173572109895,-0.45440286563631244,-0.6416661487618561,-0.7508639941863386,-0.846272375345105,-0.7896559500202259,-0.7191483543713714,-0.5718158976248391,-0.956554347241832,-0.9395068611384728,-1.1056964936226266,-1.599903149714805,-1.0504803222812755,-0.6036224568853632,-0.7395905225600604,-0.6226303460458809,-0.5333851864995257,-0.4661230418458324,-0.4704724025660044,-0.7639867686733707,-0.4588354001327806,-0.8318392998446036,-0.2938750994057969,-1.0653155988348209,-0.8349896100010102,-0.00015340762475193242,-0.8040222364911366
253,0.2343262751498465,-0.17300983626968447,-0.1743351858051343,0.11959221673982123,-0.17043177642975854,-0.5396164797843662,-0.026783616102739095,-0.004756629699225764,-0.02117335135265266,0.00719820186545481,-0.0715373926389728,0.16527753246788587,-0.016410446638156845,0.0436044405346939,0.10102464888568613,0.011581872605548807,-0.37895977971394484,-0.10853448784344699,0.3677695598574101,0.3603706441949098,0.3480053517390841,0.3585040844595219,0.15222601580106893,0.3295378328475323,0.04518663240199349,-0.9625085778400976,-1.0653155988348209,-0.051108525836319196,1.6194992005656246,-0.01601652641219158
427,0.9064942384251053,0.6853212138846205,0.5731402625332025,1.1379578521977902,0.29273159571755075,0.586833418218528,0.8434319338391331,0.49391936772055456,0.47608009484401237,0.45291086137441633,0.2741324286452313,0.8420351135552978,0.8282510074846988,0.9842299403395545,1.0651495543529428,1.1388044614925883,-0.11568320396576623,-0.2541628034576634,0.6773710416939329,0.6142636761659676,0.5838340157099342,0.5789458747110194,0.6850896382682905,0.5942100050181309,0.6865457445650105,-0.7537571433793564,-1.0653155988348209,0.4341511929322991,2.1144186302997507,0.5432133323535113
1350,1.4482407942639681,-0.5292903227223885,-0.5149183045870682,-0.4455623475296338,-0.4332997509639945,-0.08736357519013489,-0.5638627034721245,-0.44109812744153354,-0.4506195094315907,-0.4715302101997261,-0.4750283476652619,-0.1878770997231312,0.033837898447954685,0.38566976193452013,0.32606225822092494,0.029798084077755964,-0.34034588192701426,-0.5939622069458439,-0.08931627735520917,0.019262540001567238,0.04566374216766509,0.0864169127618372,-0.4060883049289265,-0.029255426115092662,-0.6021964497471617,-0.12058818542804782,-0.4231013450463807,-0.4617129032559193,-0.20387605660833394,-0.5498268461430897
665,0.5408926387707634,1.7601382302386546,1.4538071483470303,1.5668896894020037,-0.2755789662434529,-0.7158333945214526,1.3660268271836278,0.24458136901066438,0.0014290780199230227,-0.14137268463753236,-0.09416305366848433,0.9084601676456052,0.4374489890118054,0.08506852570070697,0.01232894954714342,0.012571440911004062,-0.6036224568853632,-0.5454194346860963,0.7174083329265305,0.47576682782890145,0.3757915336157589,0.31192098261506496,1.143698076675081,0.5325883269809228,1.4736690551575529,-0.6022463564341305,-0.3321351745625812,0.4714788636068082,3.8811658969087808,0.8736673398059721
1271,0.35947343407627985,2.0315935349101193,1.8351292904561425,1.7206249461821734,1.8195235230823659,1.8649636985267624,2.088813973657862,2.0211146098186314,1.9000331453162804,1.8560803450137395,1.4770634067142616,1.4567473465597591,1.4654782264455288,1.4057364292070964,1.4677966661671005,1.5666251036275576,2.064246838869293,1.7360908428816189,1.18161064359973,1.0812925476616202,1.0344579359384265,1.0076196242332336,1.737056652706397,1.082748686933797,1.9136969349439616,1.3959571261387616,1.4126728844046992,2.03924103193619,0.6996396465109423,1.9158684402329638
