,nHeavyAtom,MATS4p,GATS1e,nBonds,SpDiam_Dt,fragC,McGowan_Volume,MLFER_S,MLFER_E,MLFER_L,MPC4,MPC6,TPC,piPC1,piPC2,piPC5,piPC6,TpiPC,GGI4,TopoPSA,MWC2,MWC5,TWC,SRW2,WTPT-1,WTPT-3,WTPT-4,WPOL,XLogP,Zagreb
601,-0.19302805316285607,1.2155645403931854,-0.6532761302218175,-0.2702461665293467,-0.3906331968130651,-0.4133704621311287,-0.0530678983769757,-0.6990839061870864,-0.801095895520304,-0.41270855501943965,-0.5309865845164647,-0.4972973119417234,-0.4193615761477,-0.06112348597078821,-0.17493718565412186,-0.276771834762157,-0.4166087764965839,-0.4169501228913837,-0.16661908731869735,-0.3198184134357815,0.10274043879109793,0.050883453087932747,-0.15078850413774922,0.10189642543573146,-0.23429903997803497,-0.23146865598418714,0.4188425139689367,-0.39395885033655315,0.2490090499229278,-0.3003131432613162
223,0.350794221916318,-0.9299843025593038,3.070548133333391,0.22595367161393531,-0.19320404415377926,-0.3708545662880058,1.0332421757510133,-0.8176792481558575,-1.4240066062416432,-0.42768747670473234,0.21509014045489547,-0.14893242795449416,-0.2258121705337833,0.3050387799717399,0.38731632765389207,-0.25717419350640575,-0.010241751743085161,-0.1456241730940469,-0.23086765025975373,-0.30215763042948457,0.6427362108672641,0.573260993110086,0.42492471930040765,0.523164861509443,0.24001856515634584,1.2579599088016598,0.8044047151168836,0.09045911135141138,0.9066828877200023,0.43027009021170187
773,-0.7368503282420301,-0.7373242063453441,-0.8304097722731063,-0.6423960451368081,-0.5307786377937488,-0.3502024830531803,-0.8553352230431437,-0.3247521066395664,0.01487738734803161,-0.7090863644335642,-0.4179446564905011,-0.470500013173475,-0.44476493563452657,-0.1924086287856271,0.08089951682431974,0.6121200775989204,0.6362786701481252,0.38310824877316046,-0.7310248661113063,-0.36034927515526854,-0.30388026900679693,-0.06075037980229005,-0.5025333851089692,-0.37976542877058583,-0.6840199160414187,-0.3709516559759037,-0.9926072944143682,-0.6920622113753006,-0.38940607905949,-0.6278159720595656
1513,-0.39696140631754634,0.16580368444957422,0.41970157694453025,-0.45632110583307745,-0.42083276333731146,-0.4292809956436728,-0.18929958463032834,-0.5155783564740909,-0.5677173156602582,-0.29479755611213576,-0.6666368981476212,-0.5642905588623445,-0.48105544918713594,-0.3412474468730148,-0.7076571380253672,-0.6970629606209422,-0.6717778048279659,-0.6407239389084288,-0.7448561537882045,-0.37445249036173583,-0.22845195699005286,-0.35129059080054037,-0.44912604533041417,-0.11195003569783621,-0.4092294760349561,-0.6504099837018504,-0.3882526503602461,-0.6175363711156137,-0.017292406445258302,-0.5774309214752196
280,-0.6008947594722366,1.0713006597792099,-0.9723852879674837,-0.5803710653688979,-0.5298074033908575,-0.439817772804298,-0.5940083005041994,-0.3389054602078559,-0.2406466051994639,-0.5025820851311957,-0.4631614277008866,-0.4972973119417234,-0.4641198761959182,-0.1924086287856271,0.025258144240253435,0.45709903986046163,0.3597484107070397,0.01059156803561506,-0.22015955670394663,-0.6716364576403574,-0.19292898208641235,-0.030415565444211617,-0.4234015584390444,-0.28282056699927144,-0.5951172043753638,-0.6510906834028701,-0.6910856602523427,-0.5430105308559269,0.05686469071462725,-0.5522383961830466
1116,-1.2806726033212041,0.20389466711127943,-2.1420338276335427,-1.2626458428159106,-0.7009578134810368,-0.49782273107353997,-1.2695985067870825,-0.7166535864787561,-0.6239325940207072,-1.147827942343804,-0.8927207541995485,-0.671479753935338,-0.5996044601256599,-3.2828342002115614,-3.102560321783082,-1.8024777404095036,-1.6462279251755272,-2.347759792547741,-0.8091047167292608,-0.8885210374371111,-3.8594279613131257,-4.082836625924375,-2.425324450221623,-3.624187087887489,-1.2675025919106815,-0.8991411892578524,-0.9926072944143682,-1.0274284925438912,-0.7092777369581008,-1.2072440537795455
166,1.8463054783840467,0.24638118454950347,0.004037567247255306,1.5905032265079608,2.261294468179675,-0.2552134369501437,2.594369980322643,-0.050957922094378924,-0.4087246091862609,2.098629289242965,0.12465659803412452,-0.09533783041799734,-0.01895624328390984,1.0551265196379291,0.5867312958509002,0.06588998713676515,0.07061628389894245,0.08118883220811934,-0.48786190202397905,0.15664155975568111,0.971414409955035,0.5583992318015982,1.3932318058756576,1.206016750863623,1.771957828190334,0.13688335455096662,-0.3617885315462113,0.6866658334289062,3.046834575307386,1.1356607983925469
74,-0.4649391907024431,0.6364309073831961,0.22608640968595678,-0.5183460856009877,-0.4912796632790814,-0.4344967003381823,-0.33046674302848444,-0.5629188839266456,-0.6460780067081567,-0.5068069091962784,-0.6666368981476212,-0.5776892082464686,-0.49073291946783176,-0.4238508178629016,-0.6384622356015958,-0.6513068745780849,-0.724013563444574,-0.6771080286530989,-0.48786190202397905,-0.3969414010963729,-0.22845195699005286,-0.2721862597963575,-0.4560732578655007,-0.1939642344477107,-0.48715753454378424,-0.4287285374210536,0.038819141027469764,-0.6175363711156137,-0.5146983685893265,-0.5774309214752196
1368,-1.0767392501665138,0.20389466711127943,2.7578540748552736,-1.07657090351218,-0.6836529200635475,-0.4818595136751927,-1.182911367833486,-0.49605648948334674,-0.634153553722607,-0.9988068753208921,-0.8927207541995485,-0.671479753935338,-0.588717306059877,-1.4888977106772285,-1.4295875415894603,-1.8024777404095036,-1.6462279251755272,-1.4986496548880017,-0.8091047167292608,-0.6716364576403574,-1.4907396122153986,-1.5435501328849621,-1.3153842436025625,-1.550511113189023,-1.0770280769312846,-0.34920322348010613,-0.711721028227282,-1.0274284925438912,-0.5870845499961401,-1.0560889020265074
999,0.4867497906861115,0.24027140537289107,0.028755421772690307,0.3500036311497558,-0.15651879207676253,-0.36042315689898674,0.7761546972338873,0.4527062462668213,-0.19976276639186458,0.6079065191271698,-0.05621048680741736,-0.13553377857036994,-0.1725860839899562,0.5082608437073762,0.31812142616382416,0.16311693235237917,0.12285204295904203,0.001798508318598379,0.34736941620975326,0.8681551197215982,0.5224384557293863,0.4145957309590476,0.44626443099195373,0.6067888175685592,0.42456808897065534,0.7322974672398952,1.1228555713582635,0.20224787174094166,0.37784317095890807,0.22872988787431756
