,nHeavyAtom,ATS8e,AATS3m,AATS4i,ATSC3c,ATSC7m,ATSC6v,MATS1i,GATS2c,CrippenMR,MLogP,MDEC-23,MLFER_E,piPC1,piPC5,piPC6,nF8Ring,nFG12HeteroRing,GGI4,GGI7,JGT,XLogP,PubchemFP24,PubchemFP30,PubchemFP192,PubchemFP386,PubchemFP613,PubchemFP713,PubchemFP737,PubchemFP804
256,0.7030428268231261,0.2516201617696176,0.4355868855733392,0.2516436772088189,-0.021493709912965592,0.3003769225071429,-1.0853460239488315,-0.957314680919266,-0.7077421770723243,0.4892255661784326,-0.678330016994349,-0.038851535546611034,0.9628181859574358,0.9730773801644387,1.0511206368138442,1.0332473814029917,-0.09772940355863854,-0.09651029039531929,0.7424120231985294,0.5347171657791318,0.39041419544132594,-0.37641887855378175,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
444,2.1733120036137388,0.849024180918199,0.962176398844701,0.18046377644838163,0.027169529303440455,-0.589274205308761,0.36993792389473773,0.9452883908930876,-0.15673153257166209,1.146275229869699,-1.098878523375787,1.4624975911250122,2.499743497984618,1.7125061261310524,1.6406340367017702,1.7637264833607769,-0.09772940355863854,-0.09651029039531929,3.7124601259539998,2.699430363310513,1.013858765507992,-0.47574087342937765,-0.19954441854273594,-0.2167129213117191,2.5359208009997256,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,3.70701166492243,7.055336829505574
585,-0.473172514609364,-0.6183818621170858,0.2743274874483635,0.0700402334076659,0.03385861175826195,-0.29883009887564754,0.18812643455079137,0.19061193267017537,-0.26765072515726823,-0.6417498902694407,-0.46805576380363006,-0.1467047462476893,0.05566661745574792,0.06831850154643394,0.5850489211851568,0.6735464195005941,-0.09772940355863854,-0.09651029039531929,-0.3954902232998507,-0.5674789645928261,0.8769401116657131,-0.3011337134882616,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
91,-0.8407398088070172,-0.6981063046281387,-0.48887248794562294,0.5093044532924458,0.03602217801077901,0.2295058945280611,0.19068452532289146,-2.728648194975998,2.2309669232404663,-0.8186509269838506,-0.5731928903989895,-0.8079613870071594,-0.738642608612443,-1.145247733549191,-1.8716356351967796,-1.681107260558263,-0.09772940355863854,-0.09651029039531929,-0.8227170593634503,-0.5674789645928261,1.0231237701670763,-0.9712170350804665,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
233,2.761419674329984,1.5599986848740295,0.6874276784743812,0.036679254869643185,-0.004890284648470184,-0.06654890723639942,1.0946718546186411,0.07437740221291957,-0.506416664856687,1.9482741815498292,-0.2577815106129109,2.6480874876667517,3.855742819629601,1.9313323660606756,1.77237089543765,1.8729830980225828,-0.09772940355863854,-0.09651029039531929,4.0000166502631265,4.471761740887675,0.7608074712307507,-0.1861651029815787,-0.19954441854273594,-0.2167129213117191,2.5359208009997256,-0.13766648985981775,1.6252489849091454,-0.24056261216234406,3.70701166492243,7.055336829505574
789,-0.7672263499674865,-0.6299674338120418,-0.5197293611373673,0.30444918737866944,0.032137563843436676,0.23904040797019108,-0.015435510226744237,0.2155694115795547,-0.20838154531130032,-0.6623392118237882,-0.2577815106129109,-0.8079613870071594,-0.6472340071998337,-0.8398116809785601,-1.0469206723931388,-1.0292099366177883,-0.09772940355863854,-0.09651029039531929,-0.7487739530861239,-0.5674789645928261,-1.4195218661737623,-0.1321956171815974,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
821,-0.32614559693030276,-0.6981063046281387,12.266225372191826,-0.18934508378380643,0.03178437062303542,0.2295058945280611,-0.02722544871880943,-0.1063233165087467,0.8735552960403381,0.17872025941167244,-2.360524042520101,-0.8079613870071594,-0.45369993386417135,-0.3028283766505869,-0.6917352704999448,-1.681107260558263,-0.09772940355863854,-0.09651029039531929,-0.15722910286751252,-0.5674789645928261,2.0498331834770602,0.6281391974710806,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
800,-0.6937128911279559,-0.6981063046281387,2.1577236508233817,0.5383852589138618,-0.018103201452768513,0.2295058945280611,0.07557821013222744,-2.139670434667596,-1.9678199761592798,-1.2387280224997659,-1.8348384095433035,-0.8079613870071594,-0.31879344626211353,-0.5959257022044283,-1.8716356351967796,-1.681107260558263,-0.09772940355863854,-0.09651029039531929,-0.8227170593634503,-0.5674789645928261,2.2789839101375837,-1.5696433923332005,-0.19954441854273594,4.6143995196373355,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
518,2.0997985447742082,2.701020092036914,-0.45464166373195175,0.24522202206142718,0.036787858430559955,-0.7486053787913335,0.2682076498006755,-0.004830310187380223,1.1546719825496854,2.587953297744098,3.0014694138432336,-0.026910183792361635,-0.8105086814471841,1.2197223929080452,0.14312703846266617,0.2282938070290731,-0.09772940355863854,-0.09651029039531929,-0.3051153154221653,0.1467441275225204,-1.117926812302932,3.189195384971035,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
734,0.923583203341718,0.3679808445435202,-0.13407891182802067,0.06392459687611278,0.045652920047376415,-0.4397542232500255,-0.42831825498784404,-0.2565922785575979,1.3244498642944207,0.8931372201094474,1.1090011351267623,2.054842142883673,0.891582517270368,1.0609726024816184,1.0150802761353073,1.041230119265597,-0.09772940355863854,-0.09651029039531929,0.2535659315957281,0.65798318082919,-0.49054200109322366,0.011571836588100704,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,1.6252489849091454,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
639,-0.17911867925124147,-0.374399344540833,0.07494384030146282,0.43431767730252563,0.03528293060717646,0.23542265153906924,-0.40492927818149005,0.13770933823980408,0.4985232742267735,-0.13648940943890736,-0.46805576380363006,-0.24370421575603743,0.05125378842203568,0.3522432983802874,0.657599063094625,0.5891456256151646,-0.09772940355863854,-0.09651029039531929,-0.19009270606823034,-0.22800255548342616,-0.4140868381197182,-0.4095262101789804,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,1.6252489849091454,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
