ratio,negative_ratio,sampling_round,outer_fold,n_selected_total,n_train_graphs,n_validation_graphs,n_test_graphs,n_train_edcs,n_train_non_edcs,n_validation_edcs,n_validation_non_edcs,n_test_edcs,n_test_non_edcs,best_epoch,best_validation_pr_auc,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,pr_auc,roc_auc,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
1,1:1,5,1,162,128,26,34,64,64,13,13,17,17,2,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,17,0,17,0
1,1:1,5,2,162,130,26,32,65,65,13,13,16,16,1,0.9897435897435898,60,40,20,0.0005,0.0005,0.5,0.9891493055555556,0.98828125,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4799999999999999,16,0,16,0
1,1:1,5,3,162,130,26,32,65,65,13,13,16,16,17,0.9567890442890443,60,40,20,0.0005,0.0005,0.5,0.9791666666666667,0.96875,0.9375,0.75,0.84375,0.6999132392733555,0.8571428571428572,0.84375,0.4799999999999999,15,12,4,1
1,1:1,5,4,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.48499999999999993,16,0,16,0
1,1:1,5,5,162,130,26,32,65,65,13,13,16,16,1,0.9945054945054945,60,40,20,0.0005,0.0005,0.5,0.8835216356356064,0.939453125,0.4375,0.9375,0.6875,0.43301270189221935,0.5833333333333334,0.6875,0.42999999999999994,7,15,1,9
1,1:1,6,1,162,128,26,34,64,64,13,13,17,17,1,0.9706959706959704,60,40,20,0.0005,0.0005,0.5,0.9932718185313341,0.9930795847750865,0.7647058823529411,1.0,0.8823529411764706,0.7867957924694431,0.8666666666666666,0.8823529411764706,0.8099999999999999,13,17,0,4
1,1:1,6,2,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9849826388888889,0.984375,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4599999999999999,16,0,16,0
1,1:1,6,3,162,130,26,32,65,65,13,13,16,16,1,0.9999999999999998,60,40,20,0.0005,0.0005,0.5,0.9963235294117647,0.99609375,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4099999999999999,16,0,16,0
1,1:1,6,4,162,130,26,32,65,65,13,13,16,16,1,0.9774161735700198,60,40,20,0.0005,0.0005,0.5,0.9809782608695652,0.97265625,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4699999999999999,16,0,16,0
1,1:1,6,5,162,130,26,32,65,65,13,13,16,16,1,0.9821780783319245,60,40,20,0.0005,0.0005,0.5,0.9184357054301907,0.94921875,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.48499999999999993,16,0,16,0
1,1:1,7,1,162,128,26,34,64,64,13,13,17,17,4,0.9885883347421809,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.8823529411764706,0.9411764705882353,0.8885233166386385,0.9444444444444444,0.9411764705882353,0.48999999999999994,17,15,2,0
1,1:1,7,2,162,130,26,32,65,65,13,13,16,16,18,0.9838264299802763,60,40,20,0.0005,0.0005,0.5,0.9891493055555556,0.98828125,1.0,0.75,0.875,0.7745966692414834,0.888888888888889,0.875,0.48999999999999994,16,12,4,0
