,nHeavyAtom,ATS8e,AATS3m,AATS4i,ATSC3c,ATSC7m,ATSC6v,MATS1i,GATS2c,CrippenMR,MLogP,MDEC-23,MLFER_E,piPC1,piPC5,piPC6,nF8Ring,nFG12HeteroRing,GGI4,GGI7,JGT,XLogP,PubchemFP24,PubchemFP30,PubchemFP192,PubchemFP386,PubchemFP613,PubchemFP713,PubchemFP737,PubchemFP804
689,0.11493515610688104,0.1355461092789873,-0.118534024376445,0.14660344500349526,0.03155703032407139,0.9176778490252733,-1.2244992202753524,0.6438831727418828,0.8065947068700794,0.14011044559874725,0.7935897553406841,-0.20659235750063326,0.04810176768366991,0.5395909790326631,0.7803868320488987,0.6172248592352122,-0.09772940355863854,-0.09651029039531929,0.007088911287499336,0.005663021778494453,0.3629589407517454,0.9682830155381896,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
92,-0.10560522041171086,-0.18818463892764406,-0.2594755986120791,0.2786383466387626,0.03812184688977583,-0.15863432684390621,-0.5698052192709779,-0.7020100812018932,1.9598014151175036,-0.0350574050847816,0.2679041223638864,-0.23241179317335323,-0.3622913324515621,0.3005182915729196,0.42809036977292225,0.2895000120072573,-0.09772940355863854,-0.09651029039531929,-0.23938810994501844,-0.2985431083554391,0.22028144308127642,-0.07777260629085989,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,1.6252489849091454,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
692,-0.7672263499674865,-0.6981063046281387,-0.2247197625766611,0.25451165721558844,0.03145636465393187,0.2295058945280611,0.40179956166989467,0.9777498791752659,-0.9251509632090791,-0.7377792287929303,-0.2577815106129109,-0.2956426751059949,-0.22738484484950428,-0.4901760573029625,0.28151465726763564,0.009703206964140405,-0.09772940355863854,-0.09651029039531929,-0.61731954213183,-0.5674789645928261,-0.05995544733790514,-0.24466983968912148,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
635,-0.17911867925124147,-0.2632505158142907,-0.3331088661751577,0.23232066059304723,0.02893738664538568,0.3551318881353601,-1.1579986567564522,0.2386902554114339,0.3983940088910042,0.017150955376683586,0.3730412489592458,0.1280918246000037,-0.10823846093927561,0.13065802448118885,0.5419301393843243,0.4897094893162426,-0.09772940355863854,-0.09651029039531929,-0.17366090446787147,-0.267681616156501,0.12695862089065935,0.12517987182251522,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,1.6252489849091454,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
832,-0.8407398088070172,-0.6981063046281387,-0.4304939320353322,0.4207905297034664,0.040255728473667825,0.29211899245883366,0.1574392458512226,0.5638551941193312,-0.1537654257573085,-0.8570402238240965,-0.5731928903989895,-0.5693088987745207,-0.5400653020953953,-1.145247733549191,-1.5164502333035854,-1.681107260558263,-0.09772940355863854,-0.09651029039531929,-0.7487739530861239,-0.5674789645928261,-0.18287885380316382,-0.7408262889763447,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
812,-0.6937128911279559,-0.6981063046281387,3.0684994815834075,0.6225347831780679,-0.011542610747069172,0.2295058945280611,-0.02722544871880943,-2.5059334009111196,-2.0584798921030147,-1.2816475890769792,-1.8348384095433035,-0.8079613870071594,-0.35724809927017676,-0.5959257022044283,-1.8716356351967796,-1.681107260558263,-0.09772940355863854,-0.09651029039531929,-0.8227170593634503,-0.5674789645928261,2.2789839101375837,-1.5696433923332005,-0.19954441854273594,4.6143995196373355,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
645,-0.5466859734488947,-0.4132330817715261,-0.4855016649915762,0.28746339958280304,0.028936155446798142,0.23291434063806324,-0.010737999549624773,0.48198288865161126,-1.0266246446868244,-0.4533162027557997,-0.1526443840175515,-0.6003900245760784,-0.659211686005624,-0.4901760573029625,-0.806079430029621,-0.7660536799849014,-0.09772940355863854,-0.09651029039531929,-0.6748308468087975,-0.4087627219005269,-0.7991970814141351,0.03198046567212732,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
531,-0.32614559693030276,-0.275862035032562,-0.19674940369834307,0.0456129044333644,0.025273831930128412,0.3703310896389948,2.286239615390801,0.7167248009418645,0.43663060728977005,-0.150035728383392,-0.2577815106129109,-0.8079613870071594,-0.8073566607088183,-0.21897759919440873,-0.2877106247050613,-0.3488042165108642,-0.09772940355863854,-0.09651029039531929,-0.18033632357917703,-0.46382753960178225,1.0420690268379742,-0.12493921572949906,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
846,-0.6937128911279559,-0.6981063046281387,4.890051141963617,0.7253842046569051,-0.004188720492968428,0.2295058945280611,-0.02722544871880943,-2.986518764108312,-2.1582642685236086,-1.3245671556541927,-1.8348384095433035,-0.8079613870071594,-0.39570275227824,-0.5959257022044283,-1.8716356351967796,-1.681107260558263,-0.09772940355863854,-0.09651029039531929,-0.8227170593634503,-0.5674789645928261,2.2789839101375837,-1.5696433923332005,-0.19954441854273594,4.6143995196373355,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
485,-0.10560522041171086,0.0004942049578830341,-0.42732574138154544,0.171261425680271,0.03223266271233279,0.40480682876975127,0.4260979872230131,0.710538836758554,0.5373351033457434,0.06623725975127197,0.8987268819360434,0.8608071030137028,-0.4253317472188788,0.13065802448118885,0.07899041284076909,0.12940354373378155,-0.09772940355863854,-0.09651029039531929,-0.3379789186228832,-0.4087627219005269,-0.35567633133202586,1.1957258485523965,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
