mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.22992773056030275,0.04180609387684029,0.010153388977050782,0.000560268424212469,gini,,1,2,42,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.9531249999999999,0.9677419354838711,0.9687500000000001,0.9609375,0.968503937007874,0.9725490196078432,0.9692307692307692,0.9512195121951219,0.9765625,0.9649805447470817,0.965360071827256,0.007671779669776194,157
0.17426939010620118,0.03202669956592907,0.013042235374450683,0.005238904333542694,gini,,1,2,42,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.9612403100775194,0.9725490196078432,0.9721115537848605,0.9682539682539683,0.950943396226415,0.9723320158102767,0.9538461538461539,0.9641434262948209,0.968503937007874,0.9652509652509653,0.9649174746160696,0.007218355032372656,161
0.28208169937133787,0.0445757445184207,0.010695075988769532,0.00245231685048216,gini,,1,5,42,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",0.9606299212598425,0.9554655870445343,0.9841269841269842,0.9800796812749005,0.9603174603174602,0.9725490196078432,0.9843749999999999,0.9512195121951219,0.9802371541501976,0.9647058823529412,0.9693706202329826,0.011784232819251325,103
0.20598764419555665,0.02702134557936761,0.012415146827697754,0.0031144467983457986,gini,,1,5,42,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",0.9568627450980391,0.9568627450980391,0.9763779527559056,0.9763779527559056,0.9498069498069498,0.9682539682539683,0.9657794676806084,0.9565217391304348,0.9727626459143969,0.9652509652509653,0.9644857131745213,0.008734573596203674,170
0.19144771099090577,0.02592423546567329,0.010397791862487793,0.0004618290992842591,gini,,1,10,42,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'best'}",0.9721115537848605,0.9635627530364372,0.9802371541501976,0.9802371541501976,0.96,0.9647058823529412,0.980544747081712,0.9512195121951219,0.9802371541501976,0.9687500000000001,0.9701605910901666,0.009764862943359329,99
0.1116931676864624,0.014977692581024219,0.009959530830383301,0.0004463747370752127,gini,,1,10,42,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'random'}",0.9615384615384616,0.9603174603174602,0.9516129032258065,0.9603174603174602,0.9420849420849421,0.9397590361445783,0.9692307692307692,0.9444444444444443,0.9649805447470817,0.9652509652509653,0.955953698730197,0.010096499729241952,260
0.19116151332855225,0.024887263008449092,0.010870575904846191,0.0011784374816249023,gini,,2,2,42,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.9682539682539683,0.9596774193548386,0.9800796812749005,0.9880478087649402,0.96,0.9682539682539683,0.988235294117647,0.9551020408163264,0.9841269841269842,0.9721115537848605,0.9723888718748434,0.01158194582819888,18
0.10249850749969483,0.008783079031390417,0.010388922691345216,0.0010752711277527242,gini,,2,2,42,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.968503937007874,0.9411764705882352,0.9596774193548386,0.9469387755102041,0.9534883720930233,0.968,0.9767441860465117,0.9641434262948209,0.9370078740157481,0.9571984435797665,0.9572878904491022,0.012100454896017009,237
0.1845642328262329,0.02815216743938377,0.010803747177124023,0.0020208022196722673,gini,,2,5,42,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",0.9606299212598425,0.9596774193548386,0.976,0.9839999999999999,0.96,0.9723320158102767,0.9843749999999999,0.9551020408163264,0.9841269841269842,0.9721115537848605,0.9708354935153128,0.01075840138273114,82
0.10959229469299317,0.01222411036785926,0.010752654075622559,0.0010724260915017875,gini,,2,5,42,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",0.9723320158102767,0.980544747081712,0.9718875502008032,0.9558232931726907,0.9397590361445783,0.9520000000000001,0.980544747081712,0.9469387755102041,0.9558232931726907,0.9571984435797665,0.9612851901754433,0.013446483824188622,200
