mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.08506200313568116,0.040082877652320464,0.03094298839569092,0.022338259335533458,auto,-1,3,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.13723561763763428,0.04931325122878556,0.3692401647567749,0.04275575749843029,auto,-1,3,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'distance'}",0.9425287356321839,0.9657794676806084,0.9649805447470817,0.9883268482490272,0.9541984732824427,0.9694656488549619,0.9621212121212122,0.9584905660377357,0.9694656488549619,0.9513108614232211,0.9626668006883439,0.011789313014634947,1
0.1713226318359375,0.04265556041207945,0.006352543830871582,0.0007308000767958503,auto,-1,5,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.1779874801635742,0.0455952232665859,0.40860943794250487,0.012383613890184013,auto,-1,5,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'distance'}",0.9111111111111111,0.9372693726937269,0.9501915708812261,0.9657794676806084,0.9398496240601504,0.9398496240601504,0.9338235294117647,0.9505703422053232,0.9372693726937269,0.9442379182156134,0.9409951933013401,0.013326333426611145,7
0.17242164611816407,0.025247369488381962,0.0019804716110229494,0.00023960320024560101,auto,-1,7,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 7, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.11851201057434083,0.03974863426015629,0.4318593978881836,0.006177377553575762,auto,-1,7,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 7, 'weights': 'distance'}",0.9044117647058824,0.927007299270073,0.9465648854961832,0.9548872180451127,0.9363295880149813,0.9259259259259259,0.9304029304029303,0.9363295880149813,0.9338235294117647,0.9407407407407408,0.9336423470028576,0.01285179703361479,13
0.03003056049346924,0.0027162375669757956,0.0021789073944091797,0.001375868364752249,auto,-1,9,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 9, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.022097468376159668,0.0035195451383604167,0.3811280965805054,0.11676713105782441,auto,-1,9,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 9, 'weights': 'distance'}",0.9010989010989011,0.9236363636363636,0.9323308270676692,0.9473684210526315,0.9333333333333333,0.9025270758122743,0.927007299270073,0.9259259259259259,0.927007299270073,0.927007299270073,0.9247242745737319,0.013091489332693336,17
0.014803218841552734,0.0017993961201617696,0.0015121221542358399,0.0009091405259873271,auto,-1,11,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 11, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.021884727478027343,0.0034896266647091528,0.06818976402282714,0.08971432978702058,auto,-1,11,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 11, 'weights': 'distance'}",0.8945454545454545,0.9136690647482013,0.9253731343283583,0.9333333333333333,0.926470588235294,0.8992805755395684,0.9202898550724637,0.901818181818182,0.9202898550724637,0.9236363636363636,0.9158706406329683,0.012406770872504674,25
0.024475646018981934,0.005187704811838958,0.0036801576614379885,0.0022316216454556993,auto,-1,15,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 15, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.023051691055297852,0.003940657137940248,0.04028584957122803,0.005036542428857043,auto,-1,15,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 15, 'weights': 'distance'}",0.8808664259927798,0.900709219858156,0.9111111111111111,0.929889298892989,0.8888888888888888,0.8741258741258742,0.8873239436619719,0.8888888888888888,0.8936170212765956,0.9071428571428571,0.8962563529840113,0.015530949409357547,31
0.027946734428405763,0.004518595999309303,0.0023264169692993166,0.0015936881186055481,auto,-1,21,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 21, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.030795955657958986,0.0045849469894702075,0.04775738716125488,0.003979932681269592,auto,-1,21,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 21, 'weights': 'distance'}",0.8613138686131387,0.8881118881118881,0.9037037037037037,0.9130434782608696,0.8865248226950354,0.8561643835616439,0.8741258741258742,0.8732394366197184,0.8811188811188813,0.8881118881118881,0.8825458224922642,0.016618887616429483,36
0.3805245876312256,0.16520395069895022,0.2967681407928467,0.20170372332219247,ball_tree,-1,3,uniform,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'uniform'}",0.9389312977099236,0.9657794676806084,0.9689922480620156,0.9806949806949807,0.9505703422053232,0.9657794676806084,0.9548872180451127,0.9545454545454546,0.9621212121212122,0.9513108614232211,0.9593612550168462,0.011138084354133557,5
0.3286947965621948,0.12746196990810993,0.3653278350830078,0.1827296316392337,ball_tree,-1,3,distance,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'distance'}",0.9425287356321839,0.9657794676806084,0.9649805447470817,0.9883268482490272,0.9541984732824427,0.9694656488549619,0.9621212121212122,0.9584905660377357,0.9694656488549619,0.9513108614232211,0.9626668006883439,0.011789313014634947,1
0.38684542179107667,0.12199824290571988,0.5019413232803345,0.2353942714054085,ball_tree,-1,5,uniform,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",0.9077490774907748,0.927007299270073,0.9501915708812261,0.9513108614232211,0.9363295880149813,0.9398496240601504,0.9304029304029303,0.9433962264150944,0.9304029304029303,0.9442379182156134,0.9360878026576994,0.012308043829523416,11
