mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.6154265403747559,0.18032623842111015,0.2221475601196289,0.15380619268144075,gini,,1,2,100,-1,42,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 42}",0.976,0.968,0.9920634920634921,0.9841269841269842,0.976,0.9799196787148594,0.996078431372549,0.97165991902834,0.9718875502008032,0.9803921568627452,0.9796128212369772,0.008550472215491411,251
1.4125789165496827,0.2669639583921268,0.3632483720779419,0.19456130555075377,gini,,1,2,200,-1,42,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",0.976,0.9718875502008032,0.9920634920634921,0.9841269841269842,0.9800796812749005,0.9839999999999999,0.9921259842519685,0.97165991902834,0.9718875502008032,0.9803921568627452,0.9804223318010037,0.007356333744069138,113
2.750851607322693,0.5689062992982233,1.019243025779724,0.46863999143875257,gini,,1,2,300,-1,42,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",0.976,0.9718875502008032,0.9920634920634921,0.9841269841269842,0.9800796812749005,0.9839999999999999,0.9921259842519685,0.9674796747967479,0.9718875502008032,0.9803921568627452,0.9800043073778445,0.007938145312911567,166
5.505662035942078,0.7622019396049844,1.6395886898040772,0.9940620041290616,gini,,1,2,500,-1,42,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",0.9800796812749005,0.9718875502008032,0.9920634920634921,0.9841269841269842,0.9800796812749005,0.9839999999999999,0.996078431372549,0.9674796747967479,0.9718875502008032,0.9803921568627452,0.9808075202173926,0.008479997741965563,75
1.1565283298492433,0.16643519028300513,0.6347459077835083,0.40772424520661765,gini,,1,5,100,-1,42,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 42}",0.976,0.9718875502008032,0.9920634920634921,0.9800796812749005,0.976,0.9799196787148594,0.996078431372549,0.9674796747967479,0.97165991902834,0.984251968503937,0.979542039595563,0.008626505034913015,272
2.120580053329468,0.5580256737883253,0.9435186147689819,0.48384832337240935,gini,,1,5,200,-1,42,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",0.9800796812749005,0.968,0.9920634920634921,0.9800796812749005,0.9800796812749005,0.9839999999999999,0.996078431372549,0.97165991902834,0.97165991902834,0.984251968503937,0.9807952773821359,0.00845536113791248,79
3.747662663459778,0.6215778441335,0.7347836256027221,0.2869708081261319,gini,,1,5,300,-1,42,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",0.9800796812749005,0.968,0.9920634920634921,0.9800796812749005,0.9800796812749005,0.9839999999999999,0.996078431372549,0.9674796747967479,0.97165991902834,0.984251968503937,0.9803772529589768,0.008983509200203195,143
5.806639361381531,0.49795318067306493,1.1228085279464721,0.16125983822235168,gini,,1,5,500,-1,42,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",0.9800796812749005,0.9718875502008032,0.9920634920634921,0.9800796812749005,0.9800796812749005,0.9839999999999999,0.996078431372549,0.9674796747967479,0.9758064516129031,0.984251968503937,0.9811806612375135,0.008150820223019405,63
1.864132046699524,0.4566405387822649,0.8221246004104614,0.9677195694308063,gini,,1,10,100,-1,42,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 42}",0.976,0.9638554216867471,0.9920634920634921,0.9800796812749005,0.976190476190476,0.9799196787148594,0.9921259842519685,0.976,0.97165991902834,0.9803921568627452,0.978828681007353,0.008097721110416881,300
2.9021763801574707,1.3443791980211548,0.607968783378601,0.2670631523722828,gini,,1,10,200,-1,42,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",0.9841269841269842,0.9718875502008032,0.9920634920634921,0.9800796812749005,0.9800796812749005,0.9799196787148594,0.996078431372549,0.976,0.97165991902834,0.9803921568627452,0.9812287574919575,0.007466719986011178,22
