,nHeavyAtom,nC,MATS4p,GATS1e,GATS1s,nBonds,nBonds2,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MLFER_BH,MLFER_S,MLFER_E,TPC,piPC2,TpiPC,GGI4,VAdjMat,MWC2,MWC5,MWC10,TWC,SRW2,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WPOL,Zagreb
513,0.4897181764313281,0.41216062552613875,1.244002693194573,0.2544881652999658,0.04565064405792694,0.6017345159400437,0.4165559904241005,0.19996518299860822,0.1892018849174856,0.5195922551695112,0.5529257783458449,2.800544358784982,1.0401663944067405,0.3850450572698412,0.4978523298391926,0.8412080691041335,0.705943459000878,0.864359053492552,0.7190264432346771,0.7644205732718283,0.7400522945704001,0.7094819966835955,0.6601105362546813,0.7595482786945696,0.5506353639514044,0.8252818371343079,0.6509745789771473,1.188814268204729,0.542885696156765,0.6619105406919696
747,-0.32675536746637907,-0.21272104127788563,-0.19375576377669307,-1.3689124731400908,-0.23798284831944427,-0.26800577275894283,-0.466991113574489,-0.373438934108926,-0.36308052050673245,-0.14532511347285496,-0.25312151641164393,-0.2773696932344535,0.2654593648082851,0.1765644894606489,-0.2931515164592892,0.494792024406674,0.6199740138867226,-0.4077607201234467,0.0034965928617672446,0.15295712934467784,0.29077439342197775,0.3758259743533697,-0.09857924940429566,0.10302806106841138,-0.29628291802527745,0.5625712287200338,-0.4152232360705884,-0.37139682794064727,-0.20491586750617352,-0.24769070508821076
591,0.6938365624057549,0.858504673243299,-0.039592841369668154,-0.9384650028331746,-0.45251518655635414,0.7881074349469694,0.6544340568852592,0.4264947765676556,0.42203582312344,0.7884816991577894,0.6641449315455299,0.8441240772625664,0.886603120432968,0.9738308366870104,0.7095979748483247,1.0803530184666152,1.3848032241545531,0.5701364362081464,0.8472848724063982,0.8476025125300736,0.8184017492507862,0.7693124370489045,0.8256700865497425,0.8598042809350037,0.7373528412912804,0.7246195616060155,0.1789168458433442,-0.06927265970298147,0.7298360870724997,0.8387774495936714
1554,-0.19067644348342785,-0.03418342219102154,-0.5731772279645724,-0.5060999391580709,-0.4404916571373956,-0.14375716008765907,-0.3990259517284437,-0.266646912182986,-0.27698035505865104,0.010108862226073047,-0.2213143229322297,-0.28727980019024457,-0.007706074471983622,0.10554363669048446,-0.20796648685791425,0.494792024406674,0.7306775113552147,-0.08793399775961647,0.15586133680382847,0.24451427349436777,0.34240268067127266,0.3868474134072167,0.008796954559417484,0.22528852494304782,-0.1643718318324174,0.5450617744282829,-0.4842439124331991,-0.0668754631757684,-0.09274563295673274,-0.14662390000152403
1564,-1.007149987381135,-1.2839467557990702,0.20249936305761532,3.9587858283926782,3.7407292640827996,-1.0134974487866457,-1.2146078938809879,-0.6770611310171905,-0.6487933224295539,-1.0846413555406675,-0.47566584678927876,-1.038796244337732,-0.8434446616754,-1.050836216075337,-0.5827806171039641,-1.2911572464408716,-1.445870340923953,-0.8102392928318753,-1.3338761889997783,-1.0505193819398213,-1.0068106677942874,-0.7504335482491763,-1.0519462368371615,-1.285403471143478,-1.0167972790175386,-1.0919638865298484,-0.18501783663955715,-0.9953441955673697,-1.027497587535406,-0.9551583406950178
1472,-1.143228911364086,-1.2839467557990702,0.20249936305761532,1.5593696571806566,1.3335924359959517,-1.1377460614579293,-1.2485904748040106,-0.6871820857081917,-0.6623219234151583,-1.1689461899496218,-0.4863742685940149,-0.3905100809797346,-0.4570755268375426,-0.6270020947050013,-0.5937329780527123,-2.085822319787523,-1.6983120066115278,-0.8102392928318753,-1.9557191196446253,-2.068122245289564,-2.295291797524062,-2.387582109646451,-1.662903766551117,-1.9135203247847068,-1.1360819829135695,-1.4218386921931305,-0.5233687858429535,-0.4434699397997432,-1.027497587535406,-1.1320252495967196
1297,0.4897181764313281,0.23362300643927464,0.001681345765694281,-0.807743867702837,-0.4819956427948857,0.3532372905974761,0.45053857134712316,0.14188831309952782,0.04292693355015074,0.20097165789500623,-0.35877441075243144,0.45267485250882034,0.5597889732580159,-0.2037407221473282,-0.2578605756244339,0.494792024406674,-0.03468320377999125,0.03065343905855026,0.7190264432346771,0.5404760029517561,0.3901515939623455,0.2959017629289294,0.43384225626067324,0.609320487948843,0.4217074588377584,0.06067316772710358,0.7376618173867359,1.4925549910924722,0.1315948361421488,0.2576433203452228
16,-0.8710710633981839,-0.748333898538478,-0.2176454398796343,0.2791190649662664,0.41153794929828325,-0.82712452977972,-0.9087646655737838,-0.6083153407926101,-0.5817140612479653,-0.598591603694309,-0.45997429800610107,-0.6209200677018764,-0.4664271364705608,-0.3056900108012738,-0.5426219602918874,-0.4317850278545563,-0.4161648978820058,-0.7204003258394038,-0.9242787218006391,-0.6897729520813094,-0.5255477419129864,-0.42248098051966704,-0.7912342615821902,-0.7395282364506376,-0.8445851057342633,0.26011828590676134,-0.8071654760101717,-0.6839520815641164,-0.8405471966196713,-0.8288248343366593
638,-0.5989132154322814,-0.5697962794516138,-0.31776521156721266,-0.04804592845442668,-0.17701284460545993,-0.5786273044371524,-0.7048691800356478,-0.5253703007598177,-0.5061686542993805,-0.4701071058664971,-0.43866347837489356,-0.344262915186043,-0.2661058143316971,-0.27819806779346823,-0.4671723626449552,-0.042616823671529025,-0.015520720770679258,-0.5011932462484054,-0.3740640475078635,-0.22864411171755727,-0.07910146532754475,0.0062409342620692206,-0.4438943247115992,-0.28275572731320375,-0.5881769804404053,0.20805687022156558,-0.46672986963491975,-0.033407564084245236,-0.5414265711544959,-0.5761578216199426
982,0.08148140448247454,-0.03418342219102154,0.0417696827518151,-0.009279618384778601,0.28514159670286593,0.16686437159055043,-0.09318272342123962,-0.2093042505034077,-0.17187800452839344,0.04424397562144567,0.08106606307873482,0.38000073483301927,0.11681799064136411,0.2292573802256095,0.11330276763869991,0.585088291853323,0.7272594290550962,0.04547686835761454,0.41309406006090604,0.508254944075164,0.5952527403013015,0.6550977457445625,0.31380621071406206,0.4809326361483427,0.12025216231633222,0.6786610320236,0.34793672520003943,0.0920444242356887,0.1315948361421488,0.20710991780187946
