,MATS3m,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MLFER_E,MLFER_L,MPC3,MPC4,MPC5,TPC,piPC1,piPC2,piPC4,piPC6,TpiPC,GGI4,GGI5,MWC3,MWC5,MWC6,MWC7,TWC,SRW6,WTPT-1,WTPT-3,WTPT-4,WPOL,XLogP,Zagreb
946,-1.4206109131801976,-0.661362823458637,-0.6453652708095865,-0.991939562789604,-0.45961286152798203,-0.3829172612998052,-0.8593661262120826,-0.8151051255063687,-0.8800656675105286,-0.7686719832057004,-0.5818717469712886,-0.8259368654709348,-0.44635794437265947,-2.00619166103293,-1.599903149714805,-0.9958558059341742,-0.7931815910449336,-0.7395905225600604,-0.6226303460458809,-0.4785584462228877,-0.42767612194414123,-0.3891004440498771,-0.7922506964940349,-0.4051517099831161,-0.9044250691583577,-0.15105795591046103,0.16971699104363608,-0.7976619393265012,-1.2130513030987562,-0.8294417755259412
738,0.6921884152227481,-0.3574717098036939,-0.37252132889927664,-0.22076022347749383,-0.4070918928422628,-0.5390588313200083,-0.30909607642717163,-0.22292737857037964,-0.22459521570583382,-0.30645144741862923,-0.3468162684980299,0.0026991391301255238,-0.0879355754468742,0.014149792543937525,-0.03371907343875535,-0.19395182626887747,-0.18106355365465426,-0.29429149551859557,0.16177978387766836,0.21619946362771653,0.22735751997056775,0.25966515389398664,-0.10165147508213168,0.13801872544487734,-0.2651644088524197,-0.455092443541653,-0.03265784422588498,-0.27507454988337376,-0.20686859269509839,-0.295631455795043
550,1.255994571155727,-0.33929379572864954,-0.35386164669154774,-0.15393244845846782,-0.4070918928422628,-0.19554737727556146,-0.2965517298163288,-0.31642912808658846,-0.33760736256871227,-0.37248295253106795,-0.37321287303246,0.16527753246788587,0.18406219859242892,0.4159720757326201,0.3544354748673026,0.20946402514794207,-0.4281047402464639,-0.43215296724504493,0.11125176533553913,0.12367994753859905,0.119916381274612,0.13757231064137115,-0.14190777974057522,0.09189020179715322,-0.2591979364997602,-0.4341338142660825,0.009995689204453331,-0.31240222055788286,0.18331207400227068,-0.3210509948298477
108,0.2877803745010937,-0.45922899843277976,-0.44627243417375745,-0.36014373374815806,-0.41761713706785786,-0.22844863667267568,-0.39923431959992906,-0.3475963779253247,-0.3828122213138636,-0.37248295253106795,-0.3970955152302777,0.0026991391301255238,0.09687004982655543,0.3972262988687811,0.5172584469892441,0.1761281009113463,-0.4281047402464639,-0.2865246516308285,0.057307174160311725,0.11002444448320316,0.11786402697722229,0.14444770518204766,-0.2379233534457722,0.07581379579009778,-0.39914197876720925,-0.41207702319270145,-0.3490973053958264,-0.34972989123239195,-0.3187434033233706,-0.39730961193426173
169,0.2658501737577969,0.540414484432584,0.5059020403732115,0.8526322861209358,0.6982166295085994,0.6682500940147766,0.633023150995408,1.241933363850225,1.2671651228841614,1.1297337887769134,0.8737124459272871,0.9832503117525727,1.0384035845693242,1.1018230630015462,1.1854290712875328,1.2580682467421918,0.6302670921444705,1.0128035423860196,0.9114414275015905,0.9104709149459494,0.9017768956701367,0.9061373670804841,0.9162672199107192,0.8587222800375465,0.808715530770411,0.19494000513365908,-0.02646281001492151,1.0687215943989539,0.44228154304919703,0.9499259569103862
1297,0.09487111967911352,0.06276441208365777,0.03781850866862583,0.37984276260959476,0.16132392156099687,0.6582124216563352,0.4297271420031916,0.431584868043082,0.36306794798113395,0.38687935626197756,0.16980299167581697,0.7713763877577932,0.8622975993589667,0.9771750939377443,1.034175170790153,1.0579376828162206,0.11248982798073481,0.1018175229520731,0.618819210569891,0.6056541934510716,0.5886873240849271,0.5911401795291467,0.44939329943137124,0.586404795737266,0.3268520615552772,-0.2938729440342605,0.29544478221239845,0.3594958515832809,0.1266840834373427,0.36527655910987855
1012,0.4697870637531997,-0.689780526774785,-0.6733317549083521,-1.1179311016742892,-0.4754533540875025,-0.42195265380485597,-1.1096064426242571,-1.0021086245387865,-0.8800656675105286,-0.7686719832057004,-0.6044974080008002,-1.4777727941410863,-1.4142518500399788,-2.00619166103293,-1.599903149714805,-1.469310304120076,-0.7931815910449336,-0.7395905225600604,-1.5535341690872637,-1.5277623791592292,-1.4529159075595144,-1.4975613785815283,-1.3182416700682391,-1.367182737940212,-1.0923940195743758,-0.34230014856550073,-0.16747799024054758,-1.0216279633735557,-0.8700606285388272,-1.0582176268391834
620,0.0779438982502225,0.35651197454971156,0.5048486854027014,1.4949238318815778,0.4401902673181372,-0.0070621963226018955,0.21543866433137085,1.11726436449528,1.1767554053938587,1.2122731701674618,1.1942426438453673,0.5455918940579688,0.6104064929077827,0.6437544987541765,0.7046717908394595,0.6796723261594697,1.201577260901951,0.5671808966065173,0.8181589718194832,0.8991778304967636,0.9175006482292621,0.9450929763979146,0.5935978032306815,0.8249242581000638,0.3411878144659049,-0.4723804530716874,-0.06784118960300091,0.9940662530499356,-0.16704484323277105,0.6194719494579254
471,0.8937807650474261,-0.36373616663386876,-0.3951441563243781,-0.3017816035709456,-0.4123018887339324,-0.5518847460002393,-0.39225086890935684,-0.5345998769577424,-0.6088365150396204,-0.5870853441464938,-0.45994457364558755,0.05958170311424875,-0.16542777470133974,-0.4209829956399494,-0.4163444254711227,-0.3832999009282388,-0.6036224568853632,-0.5454194346860963,-0.05005871845946464,-0.11565859076091076,-0.15174808643122223,-0.16204206301281818,-0.26809127442572117,-0.09662538259130243,-0.2896356791693098,-0.25752036250830035,0.3694270083880381,-0.4617129032559193,-0.3390005706799302,-0.42272915096906644
36,-0.912601049563375,-0.39071095302158076,-0.3908072087108796,-0.28624926307070053,-0.4071971452845187,-0.3896090428720996,-0.2718510060774527,-0.2852618782478522,-0.33760736256871227,-0.3229593236967389,-0.3581290990127856,0.0026991391301255238,0.05000122786917595,-0.033160836027137354,0.10985428214520232,-0.08956558662822779,-0.33332517316667876,-0.035720330036338774,0.18112803079179274,0.22200796244290502,0.23690729685875003,0.250385316800387,-0.10117248368150611,0.22205945793168236,-0.2729902452571021,-0.8005099914066856,-0.7356274292864808,-0.27507454988337376,0.07465999454436016,-0.24479237772543366
