mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
4.26229043006897,2.241660922178487,8.991503596305847,4.906589041839249,squared_error,,1,2,200,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",-0.21140304828285547,-0.22073707943648688,-0.2573441549120084,-0.24692719906918456,-0.22630029038614285,-0.2816387411494382,-0.3079905659476521,-0.3084406477267297,-0.26843557592072714,-0.3406031425952321,-0.2669820445426458,0.040515706436913934,402,-0.040782056669239675,-0.039708695040895164,-0.03893560138089758,-0.039612779332176266,-0.041086603145862544,-0.03940857352570566,-0.039023458387586626,-0.038566662205888655,-0.04035918875097555,-0.03853536888195394,-0.03960189873211817,0.0008489553921626747
9.635130047798157,1.525706086741339,7.031155729293824,5.761346413497089,squared_error,,1,2,300,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",-0.21108259191923648,-0.22024184085063567,-0.2567505748122007,-0.24699613435052425,-0.22498552109528702,-0.28218523245343136,-0.3075036924531736,-0.3065829482876917,-0.26394149415165447,-0.341232299413259,-0.26615023297870943,0.040662048208614035,385,-0.04070902554711702,-0.03954433753359508,-0.03864752520336806,-0.039939365091555046,-0.04070750431724651,-0.039173632773436454,-0.03870208576210464,-0.038432730861375226,-0.040043667431606714,-0.038130545586107796,-0.039403042010751246,0.0008832184040317874
17.133165526390076,3.1980965485112645,5.757081627845764,3.73583778506924,squared_error,,1,2,500,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",-0.21006297253689177,-0.21803179154364996,-0.25844546512923067,-0.2500087427940416,-0.22668778739851414,-0.28232124828812816,-0.30510121781474714,-0.3072011449236279,-0.2636202238371068,-0.34217051766725276,-0.26636511119331907,0.04072743815344916,389,-0.040221605352988396,-0.03929153315186755,-0.03843313466097547,-0.03967885380826861,-0.04065506111843841,-0.03898443675164182,-0.038482341145649995,-0.037979703436420154,-0.03943817878105018,-0.038272205789453936,-0.039143705399675446,0.0008320521587250384
16.83206789493561,2.3238150529312955,4.64909565448761,0.5757253588781825,squared_error,,1,5,200,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",-0.21161703498318757,-0.21850420588680516,-0.2536398557589848,-0.24549395618392378,-0.22719599122623724,-0.2810353788641428,-0.30325445888220787,-0.31091179236424715,-0.26513469968840875,-0.3346932871687236,-0.26514806610068686,0.03954195795426965,377,-0.05272961920964574,-0.05181264901736846,-0.05115189963918948,-0.05133590118727844,-0.05287936720652213,-0.05096942700177209,-0.050384015647303326,-0.05002066410105605,-0.0525573673977962,-0.05005184114173102,-0.051389275154966295,0.0010231530894346886
6.6897694110870365,1.991348649245311,6.6423410177230835,4.2667753323726085,squared_error,,1,5,300,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",-0.21158945732187864,-0.21867435869046767,-0.2522554796880472,-0.24572777559210932,-0.22625007850877613,-0.2816221699497362,-0.3014390684434222,-0.31114285968533845,-0.26248490500067334,-0.33701495756943844,-0.2648201110449887,0.0399494316832195,363,-0.052880391911949744,-0.051817850318682496,-0.050860973327058426,-0.0515934307331645,-0.05261308294062192,-0.05078562152974609,-0.05048941896927386,-0.049988036294178695,-0.05219610903836468,-0.04963964253546854,-0.05128645575985089,0.0010473623923583399
13.508977246284484,0.5288157030112827,0.9144816398620605,0.5407959705148789,squared_error,,1,5,500,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",-0.21019957077567958,-0.21654527602640689,-0.2541693401743947,-0.24764374288275634,-0.2281895056255971,-0.28220597420596627,-0.30006332174047395,-0.3105911269318605,-0.2611152036852872,-0.33915347083564984,-0.2649876532884072,0.04030181504315846,369,-0.05228604623292383,-0.05144377344636987,-0.05076260625641837,-0.05148393887079145,-0.0526058782046538,-0.050349317303945526,-0.050192903146394144,-0.04955519032748863,-0.05171725956208414,-0.04987084529836897,-0.05102677586494388,0.0009830970275240662
13.330552816390991,1.861483391184769,8.026104307174682,2.075193534641514,squared_error,,1,10,200,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",-0.20863144538752101,-0.21703892490469545,-0.2503686298180321,-0.24595075684449527,-0.22497292180843032,-0.2795111746912756,-0.29820008608456444,-0.3132142569659747,-0.2645521552964297,-0.33510666255665195,-0.26375470143580704,0.04024160510770668,347,-0.07812728632789123,-0.07696286168147097,-0.076811011297928,-0.0757583160786673,-0.07848114909897429,-0.07631703081085729,-0.07546814734666946,-0.07481948964861503,-0.07769680945508523,-0.07398894497057266,-0.07644310467167315,0.0013806436419401343
12.360048270225525,6.36548726378912,7.406001472473145,3.421898765336881,squared_error,,1,10,300,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",-0.21010966321302538,-0.21722808558738727,-0.2481617997483892,-0.24605487738592424,-0.22501893195458428,-0.27978863504661394,-0.2967816411186283,-0.3126346630070288,-0.25990240457440733,-0.336454864232283,-0.2632135565868271,0.04016682735701455,316,-0.07854221193418401,-0.07679614115952366,-0.0763830872190223,-0.07659556918147437,-0.07817118948143778,-0.07605273795271603,-0.07546561263278759,-0.0747340083367138,-0.07742522067790296,-0.07375788011232148,-0.0763923658688084,0.0014043552384846462
14.311225295066833,4.882932386118156,3.6276203393936157,1.9897338095261035,squared_error,,1,10,500,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",-0.20960539184042448,-0.21653989484980532,-0.24967719031910282,-0.24799818924372363,-0.226837356683897,-0.2806509320606257,-0.29321631328530146,-0.3134655442093076,-0.2586802046475405,-0.3377350453427436,-0.2634406062482472,0.04011634622640128,330,-0.07789946851091029,-0.07665209508358038,-0.07668339368539047,-0.0763581245677158,-0.07843138033061821,-0.07556757776229023,-0.0750071329938751,-0.07423635008400725,-0.0767846170000668,-0.0742443680365717,-0.07618645080550261,0.0013480935567718403
8.711986994743347,2.454759544137862,2.149035859107971,1.7257804707267164,squared_error,,2,2,200,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",-0.21003412279068787,-0.2163216309542203,-0.2506016195512128,-0.24779709726808638,-0.23040913240590932,-0.2848680984207119,-0.29137209122931657,-0.3064888269793093,-0.2588013304716448,-0.3331530595234098,-0.2629847009594509,0.038137662005013215,304,-0.05581135580957607,-0.05568810496066222,-0.05460599879510836,-0.05542923431624977,-0.05681541161890092,-0.05381382632920775,-0.05432437660212071,-0.05407134061433332,-0.05590122935329098,-0.05325197895709511,-0.05497128573565452,0.0010654771284216197
9.252455949783325,2.4560466186859706,2.645419883728027,2.711216240594566,squared_error,,2,2,300,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",-0.21111623568099994,-0.21770042634463413,-0.24842204995459047,-0.24531011626550317,-0.2286863739038769,-0.2849356827826244,-0.29136971820738927,-0.3039948317075596,-0.2584498160322724,-0.3347173670437227,-0.2624702617923173,0.03817685152598839,277,-0.056134719613621265,-0.055430003325478344,-0.05452948883215106,-0.05582836651264731,-0.05653508734829548,-0.05385911751989063,-0.054174670180806114,-0.05420085195460709,-0.05559223090887758,-0.05309210486011585,-0.05493766410564906,0.001063481071105959
11.762021231651307,0.9854192462478419,2.912909412384033,2.1143103195653814,squared_error,,2,2,500,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",-0.21084766612334188,-0.21678336267685824,-0.25017117872987976,-0.24628271438204755,-0.22805628621882565,-0.28416982136721675,-0.2890828268328888,-0.30513717400319773,-0.2593052959668236,-0.3372880412349709,-0.26271243675360506,0.03867364286976286,289,-0.055806949546585674,-0.05522915648890864,-0.0543789927515231,-0.055522913864942985,-0.05630341092204865,-0.053563310745307915,-0.054304481062612306,-0.053752118299246684,-0.055037592810251175,-0.0532127384251981,-0.05471116649166252,0.000976122418465948
9.66143889427185,1.3217947308750395,2.343804621696472,1.4310215700921136,squared_error,,2,5,200,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",-0.21061534684873393,-0.21570465895356056,-0.24878484204083576,-0.2468892119901623,-0.22867861441720405,-0.2856159506971841,-0.2904216130536035,-0.3067506176056801,-0.26007070874108446,-0.33328595196630617,-0.26268175163143553,0.03840027667221726,286,-0.06069336340792936,-0.060094833558551095,-0.05913392293043136,-0.05984864479985079,-0.061253464215219634,-0.05828676012045141,-0.05900106754624365,-0.058783752110604555,-0.06088581240486332,-0.05759266832205863,-0.05955742894162038,0.0011343478528539322
9.015676569938659,2.605699386257795,5.713365006446838,3.6240928980643536,squared_error,,2,5,300,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",-0.21138485302422072,-0.2171746586312045,-0.2471818202544994,-0.24427091205359713,-0.22782732846960485,-0.2839041439152377,-0.28974176419995507,-0.3049472977870492,-0.2582883104953615,-0.33456120889543367,-0.2619282297726163,0.03826956542293023,262,-0.06092284851418778,-0.060106436838093844,-0.05910097030417233,-0.060287478032038336,-0.06097407445889175,-0.05809432503948695,-0.058771137334098764,-0.058787045419936575,-0.06057676437916052,-0.05741068571013799,-0.05950317660302048,0.001178326242088768
15.590366578102111,1.0671186239073185,1.458328866958618,0.6728306367283473,squared_error,,2,5,500,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",-0.21103770217923748,-0.21698172871202548,-0.24960883106274087,-0.2458898553555444,-0.2277647533615366,-0.2835595573824257,-0.2869002533732139,-0.30615394932289347,-0.25881689957466375,-0.33716876606659707,-0.26238822963908787,0.038603506525410454,272,-0.06052649480507726,-0.05977871736042681,-0.05905480584333638,-0.05997794901489745,-0.060720948848932664,-0.05784952064674099,-0.05873643068793979,-0.05826039914552277,-0.059894410484020416,-0.05764303429446766,-0.059244271113136224,0.0010412666918455796
9.659237694740295,2.1337999494930577,5.638885045051575,1.6773366798030704,squared_error,,2,10,200,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",-0.20880089295656373,-0.2132918485013144,-0.24409597074345724,-0.24657849984087782,-0.22849290757576812,-0.2825182446478443,-0.2882590864335239,-0.309213160598335,-0.2566975343880088,-0.33293866859684906,-0.26108868142825425,0.03908382981751525,244,-0.08680707941881047,-0.08551739813195695,-0.08567937709126232,-0.08445029544239097,-0.08725505581657411,-0.0840385206298051,-0.08408328610208964,-0.08388262320498054,-0.08624574011590393,-0.08207488301993567,-0.08500342589737098,0.0015001213347319365
8.18052852153778,1.3365809890533586,4.600501966476441,1.1153472202872277,squared_error,,2,10,300,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",-0.21100067310369397,-0.21459180893625412,-0.24370118725458634,-0.24430584404531455,-0.22728593763277757,-0.28214087819787975,-0.28794604013760533,-0.307000942081218,-0.25577737942378453,-0.33302938173134444,-0.26067800725444584,0.03856399608711417,199,-0.08714228384499494,-0.08545675355532592,-0.08545725638460233,-0.08532135383989732,-0.0870876909176455,-0.08382284687220179,-0.08382992107010306,-0.0838521115972517,-0.086095376523735,-0.08203829644054886,-0.08501038910463063,0.0015333521866690636
13.816674160957337,4.896957457676262,4.569721341133118,1.8294475277810143,squared_error,,2,10,500,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",-0.21026236906749507,-0.2151337622556248,-0.24588198460381622,-0.2456305346514588,-0.22632895705070383,-0.28255968108931256,-0.28339686602404035,-0.3089076451148706,-0.2560963054902121,-0.33472953091562185,-0.26089276362631564,0.038815501929752805,231,-0.08638690416569006,-0.08545197694707947,-0.0855699182330511,-0.08508111189011047,-0.08699798779920738,-0.0837148066125282,-0.08378161310830803,-0.08321186297578254,-0.08523204790890108,-0.08240154379166693,-0.08478297734323252,0.0013827357934158603
10.277816653251648,2.5683836864383354,4.224995899200439,3.6642938146348367,squared_error,,4,2,200,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",-0.2125655376742788,-0.2134787583541107,-0.24458739337123714,-0.25146246133909816,-0.22945755954164213,-0.2806559844938789,-0.2827220850120415,-0.30568917237674476,-0.25278917004939,-0.33350582842951637,-0.2606913950641938,0.03760095576518382,201,-0.09200171339804719,-0.09157365269618327,-0.09106004102383729,-0.09026694236819732,-0.09168973094193307,-0.08815557554699492,-0.0887805208393774,-0.08953949574678596,-0.09100519798087447,-0.08767720286754926,-0.09017500734097803,0.001474245710558011
8.22257969379425,3.617452216006627,3.2339532136917115,1.890458273684939,squared_error,,4,2,300,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",-0.21342032210167047,-0.2149786326849827,-0.2415766709912929,-0.25006988186747936,-0.2257736753068467,-0.2797762083323392,-0.2835930386508263,-0.3090382356758804,-0.25203856918396644,-0.331369065529968,-0.2601634300325253,0.037835428841770206,171,-0.09204790197314305,-0.0915323635107162,-0.09100645750086278,-0.09059325853520514,-0.09142794525552318,-0.08796077949368844,-0.08850090938198607,-0.08931736679113335,-0.09117617960641258,-0.08719177648352587,-0.09007549385321965,0.0016133873088161983
9.309750199317932,0.5063904756918404,2.0134461879730225,1.8007279724374419,squared_error,,4,2,500,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}",-0.21094196292226497,-0.21374889503891134,-0.24247633484169454,-0.2498568764401205,-0.22510111834362762,-0.28077763606444556,-0.28380054060752324,-0.3115698127533559,-0.2528260580569675,-0.32971402152865104,-0.26008132565975617,0.038396373568557116,144,-0.09155276327705815,-0.09132598184470385,-0.09092656306691778,-0.09039050622875981,-0.09176974444897325,-0.08771792312063965,-0.08877711489202546,-0.08880258421181539,-0.09055644525745156,-0.08757038072623882,-0.08993900070745837,0.0015041579284400149
6.139864182472229,0.8657074334686299,2.2037148475646973,1.5415550446902868,squared_error,,4,5,200,-1,42,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",-0.21256553767427883,-0.2134787583541107,-0.2445873933712372,-0.2514624613390982,-0.22945755954164218,-0.28065598449387885,-0.2827220850120415,-0.3056891723767447,-0.25278917004939,-0.3335058284295164,-0.26069139506419386,0.037600955765183804,206,-0.0920017133980472,-0.09157365269618324,-0.09106004102383729,-0.09026694236819732,-0.09168973094193307,-0.08815557554699498,-0.0887805208393774,-0.08953949574678592,-0.09100519798087447,-0.08767720286754925,-0.09017500734097803,0.0014742457105580066
