mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.08730554580688477,0.008716734656217877,0.0029979705810546874,0.0008093907313903529,squared_error,,1,2,42,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",-0.4803440706824827,-0.45563420154305534,-0.5830511684075286,-0.6691033697321033,-0.3793119358202776,-0.4861406616347325,-0.5392066744400629,-0.6011086114363159,-0.3940519281602287,-0.6624547174593699,-0.5250407339316158,0.09783254886503552,320,-0.00436120863121915,-0.0031404477416414577,-0.0032239247054214513,-0.004518150578157597,-0.004798790434360046,-0.0047721452160660255,-0.003954292365871495,-0.0033404941649332353,-0.0042993539581678095,-0.00491849764827409,-0.004132730544411235,0.0006456363465294491
0.03778676986694336,0.002841912823399275,0.002964210510253906,0.000389919147352414,squared_error,,1,2,42,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",-0.46176595804191967,-0.3850643359296871,-0.5423570894956715,-0.48643914063008287,-0.4225060076174964,-0.47930223782310666,-0.563524316688643,-0.4964449298160116,-0.5027501433586967,-0.48364707754990843,-0.48238012369512234,0.04929720405618775,281,-0.00436120863121915,-0.0031404477416414577,-0.0032239247054214513,-0.004518150578157597,-0.004798790434360046,-0.0047721452160660255,-0.003954292365871495,-0.0033404941649332353,-0.0042993539581678095,-0.00491849764827409,-0.004132730544411235,0.0006456363465294491
0.08152658939361572,0.00839482748857097,0.0030803680419921875,0.0005278752314910904,squared_error,,1,5,42,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",-0.46582502258308883,-0.3413727098982069,-0.5503662001332289,-0.6080446092379205,-0.40445325623835493,-0.510964999098494,-0.5971051055442345,-0.5487111672465592,-0.3988054088222255,-0.665302278763971,-0.5090950757566284,0.09916174330440808,295,-0.021612614629400787,-0.03055370641128901,-0.02591502081372825,-0.021814065372062773,-0.02273922780058547,-0.01863911261270121,-0.01993345574332337,-0.018001264161482112,-0.026683083674139005,-0.021129748729334468,-0.022702129994804646,0.003722085173300366
0.017153191566467284,0.0008497264519644157,0.002944540977478027,0.00034359302164654784,squared_error,,1,5,42,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",-0.35104523250848113,-0.40962537964247986,-0.48181384203822225,-0.3751376767948909,-0.41461864154701755,-0.41461160849057527,-0.44822264105801324,-0.4750110452165495,-0.46048816689104655,-0.5140468551137983,-0.4344621089301074,0.047926271326020314,207,-0.05204363064580056,-0.03938157752478002,-0.04572688891266069,-0.04597874404861848,-0.04387246741486277,-0.04628004722262694,-0.05119691283223205,-0.039174939672150653,-0.04389168065652976,-0.04823547483320683,-0.04557823637634688,0.004077520255973699
0.07266957759857177,0.009296910443150685,0.0029100894927978514,0.0006795464026190416,squared_error,,1,10,42,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'best'}",-0.38071657092163735,-0.32930644108798124,-0.5147717844470522,-0.5638122329375275,-0.4179577041286135,-0.5086410952910162,-0.4859109372616992,-0.5231389041008788,-0.36156894841504467,-0.5955943084524293,-0.468141892704388,0.08564262341457349,259,-0.06225123469294157,-0.07145352230210705,-0.05847840399008164,-0.055717927605188074,-0.061363074364961405,-0.058026925164610145,-0.053340536727422526,-0.06442402581265141,-0.07111474413946593,-0.055463963762726845,-0.06116343585621566,0.005976214627973295
0.012658810615539551,0.0008134005276168698,0.0030074357986450196,0.0002588536865045429,squared_error,,1,10,42,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'random'}",-0.3590734491556202,-0.2607147970456132,-0.3709697135232522,-0.33200588392203695,-0.33049445233221486,-0.38613569009464593,-0.48204312551805556,-0.45151781463257706,-0.3190844292569338,-0.4360938064893642,-0.3728133161970314,0.06434954723134281,101,-0.1004421655645258,-0.09862829831161697,-0.10451926311307105,-0.10603025090737901,-0.09309892239117104,-0.104887753730479,-0.09293776350841063,-0.09583633730921388,-0.10160135296703376,-0.10630378867568717,-0.10042858964785883,0.004879100461031522
0.07654814720153809,0.0043512737642629595,0.002915835380554199,0.0005475586661187257,squared_error,,2,2,42,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",-0.40968139852924373,-0.4777450408493475,-0.5016055805414625,-0.5290779777868484,-0.36807211791101724,-0.38910388827029796,-0.4661852564215964,-0.4950313591390107,-0.40594174181076187,-0.6597452284541927,-0.4702189589713779,0.08115926780349779,265,-0.02745352550658332,-0.03426080125623279,-0.028784885944504627,-0.027342204105532404,-0.02686498791718141,-0.02526998556670492,-0.02717514893942522,-0.021950571979363023,-0.025438868972123614,-0.02265622306856756,-0.026719720325621886,0.003244786304187176
0.01533055305480957,0.001679263921315617,0.0025887250900268554,0.00048776990093947454,squared_error,,2,2,42,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",-0.3817853569904601,-0.36761447649111356,-0.44849830315490335,-0.5466624832443657,-0.35506460315123256,-0.3907523253517866,-0.44980000449592067,-0.4716170134724234,-0.4277419328936259,-0.5358204012271591,-0.43753569004729914,0.0633117897022258,215,-0.05937677404897577,-0.0573245866858818,-0.059986708595970634,-0.05862015156265883,-0.062226596568958306,-0.056990287279560695,-0.05154287042914104,-0.06023259515460688,-0.06393167555271823,-0.057084555556022494,-0.05873168014344947,0.003208039677998349
0.07292709350585938,0.004029831510829979,0.0028883695602416994,0.000536583871572726,squared_error,,2,5,42,best,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",-0.4191843715317693,-0.4814775883533306,-0.5420131850071511,-0.5304762735433287,-0.3575011317018301,-0.40634825620273957,-0.4358683722046599,-0.4968680094580383,-0.380430534655849,-0.6713709775753625,-0.4721538700234059,0.08870073707895912,269,-0.03336112239621599,-0.04143751383379196,-0.033911159701908264,-0.032339781940420524,-0.03428657575140625,-0.03357094925942333,-0.035952562372038074,-0.02937196396310837,-0.03362086650367199,-0.028746646802194038,-0.033659914252417884,0.0033252263031406386
0.014975023269653321,0.0004999580733158172,0.0029045581817626954,0.0006345238864330511,squared_error,,2,5,42,random,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",-0.3947542067161683,-0.3422223506812536,-0.44775309536224017,-0.4569508168411895,-0.3249212686489215,-0.3000365234326999,-0.5908683067392911,-0.46748132025359995,-0.3687055432888413,-0.5373380698475723,-0.4231031501811778,0.08944663961284122,164,-0.07529878779712997,-0.07339131176409758,-0.0690500018963476,-0.06853709883800155,-0.07067700277621017,-0.0693330507692277,-0.06627170094794994,-0.07326787140580504,-0.07367456778468025,-0.07059886020650714,-0.0710100254185957,0.002678855047924633
