mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_random_state,param_reg_lambda,param_subsample,param_tree_method,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
2.4394615411758425,0.5271370162439999,0.009587693214416503,0.004770105356742936,0.7,0.01,3,300,42,1.0,0.7,hist,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 0.7, 'tree_method': 'hist'}",-0.20139096622666364,-0.2142651002683909,-0.22617753135367655,-0.2545226365077377,-0.21318404590665765,-0.2719086099310991,-0.27851730644626466,-0.31306396618358984,-0.24898205882148605,-0.3160735872112837,-0.25380858088568503,0.03882678197693565,19,-0.1959129417712347,-0.19779284470921082,-0.19659578110908904,-0.191602349001657,-0.19673472872767997,-0.18967477438094846,-0.18875528334186245,-0.18604314514574205,-0.19334050993606108,-0.1862775991902233,-0.19227299573137085,0.004216416736076923
2.9884412050247193,0.26255078124442877,0.010308456420898438,0.001340313189698505,0.7,0.01,3,300,42,1.0,0.9,hist,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 0.9, 'tree_method': 'hist'}",-0.20069498275225917,-0.21330780468758934,-0.22723807377267444,-0.2549374926194096,-0.2090584235993388,-0.2717479436566851,-0.2730424620465263,-0.31291926512718066,-0.24396022201122372,-0.3204142816655323,-0.25273209519384193,0.03984817096619256,2,-0.1981483080522486,-0.19710399273774598,-0.1974385324118224,-0.19351178531272878,-0.1976400885250609,-0.19216967119205605,-0.18840909949215687,-0.1866218835851537,-0.19450380660121688,-0.1872399439859939,-0.19327871118961842,0.004265557532135259
3.12268545627594,0.14936962862148545,0.01036384105682373,0.0008154092575540994,0.7,0.01,3,300,42,1.0,1.0,hist,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 1.0, 'tree_method': 'hist'}",-0.20030329019206752,-0.2144076847677171,-0.22324273749026463,-0.2613555610869136,-0.2078484431062035,-0.27618374295363374,-0.27114588872281326,-0.3153927439859816,-0.2492421027195714,-0.32281760977320373,-0.254193980479837,0.04110262939543643,21,-0.20321645628691104,-0.202589061537636,-0.2022280620695707,-0.19868258257813814,-0.20361476793165342,-0.19590591024659418,-0.19378488072040623,-0.19195564452340377,-0.19985235635253706,-0.19148826399183583,-0.19833179862386865,0.004489528382232191
3.2161646127700805,0.05236069389220865,0.010761427879333495,0.002834848649396509,0.7,0.01,3,300,42,5.0,0.7,hist,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 5.0, 'subsample': 0.7, 'tree_method': 'hist'}",-0.20447768374880776,-0.21376366391302393,-0.22604106158938828,-0.2555852655315302,-0.2132371058349896,-0.27171316145185337,-0.2764339571565973,-0.3106851006737842,-0.24945739917236082,-0.31121537473703215,-0.2532609773809368,0.037197128031788686,12,-0.2017678080099616,-0.20134284655010634,-0.2003299677166901,-0.19598681852382185,-0.20087171426654674,-0.19462911274769198,-0.1927659936169365,-0.1909568473195414,-0.19707893461409337,-0.19073382607947004,-0.196646386944486,0.004083944876181855
0.3815741062164307,0.04850192021623184,0.00829932689666748,0.00190170926474022,0.7,0.01,3,300,42,5.0,0.9,hist,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 5.0, 'subsample': 0.9, 'tree_method': 'hist'}",-0.20275667188317845,-0.21300709719395552,-0.22658057147218955,-0.2551872391359385,-0.20925301864071963,-0.27339785725880533,-0.26932395442239193,-0.31601096380549304,-0.24535827527072937,-0.31908340521593315,-0.25299590542993344,0.03977276801340285,6,-0.20249622289298858,-0.20110800672856455,-0.2012530474420938,-0.1976118934763849,-0.2018351377175048,-0.1955997086398405,-0.1924398505380383,-0.1915364754029466,-0.19787150439462203,-0.19198256502563832,-0.19737344122586223,0.004075181449471381
0.545321011543274,0.04510718862519269,0.010300755500793457,0.0007826471900476252,0.7,0.01,3,300,42,5.0,1.0,hist,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 5.0, 'subsample': 1.0, 'tree_method': 'hist'}",-0.19975823608464915,-0.2172182579942099,-0.22436369522624455,-0.2617458059556256,-0.20870842699934694,-0.274102390204275,-0.2682440679441194,-0.318696063528796,-0.24837750878721865,-0.3197282874784807,-0.2540942740202966,0.04053271722827619,20,-0.20861847441650644,-0.20731882188618736,-0.2075021687248041,-0.20139913263609077,-0.2077728943510823,-0.19808858868591,-0.1956998239081376,-0.1962427193906116,-0.20367532304379304,-0.1958602756628688,-0.2022178222705992,0.005140246836543534
0.5775309562683105,0.032884414536343845,0.011107873916625977,0.002148650319421495,0.7,0.01,3,300,42,10.0,0.7,hist,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 10.0, 'subsample': 0.7, 'tree_method': 'hist'}",-0.20361015283426892,-0.21187942969547285,-0.2244165334847649,-0.2564513405439321,-0.2127249667632495,-0.2714945780164678,-0.27820024601308124,-0.31016306622791817,-0.249061420677428,-0.3113314035060658,-0.25293331377626493,0.03774122605887445,4,-0.20541999307258463,-0.20531100472659528,-0.2041840417141467,-0.20007246792105665,-0.20499977690568535,-0.1982760081426997,-0.19698610945799994,-0.19449398529043685,-0.20107155139802868,-0.1948837611917504,-0.20056986998209841,0.0040809411655464735
0.5988380432128906,0.05547039028952106,0.012467598915100098,0.006145169509742246,0.7,0.01,3,300,42,10.0,0.9,hist,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 10.0, 'subsample': 0.9, 'tree_method': 'hist'}",-0.2016061325846146,-0.21331582973063437,-0.22619376927403217,-0.25653719467733516,-0.21055899168293937,-0.27248025101208906,-0.2725524268562006,-0.31264876719111717,-0.24648544140548317,-0.3173275558194524,-0.25297063602338976,0.03904959181425884,5,-0.20579206805164688,-0.20529301582753803,-0.20394735818245657,-0.20098675156927692,-0.20533920338367986,-0.19930309141182692,-0.1966232147218228,-0.19528356473304936,-0.20135579322494443,-0.19521698604900245,-0.20091410471552443,0.003963825454723939
0.5664712429046631,0.05206702197405302,0.009955763816833496,0.00044542222986579107,0.7,0.01,3,300,42,10.0,1.0,hist,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 10.0, 'subsample': 1.0, 'tree_method': 'hist'}",-0.20130474307462445,-0.2154918415906308,-0.22449102928596298,-0.25954542480530046,-0.20869968235394332,-0.2734203816220754,-0.2674705690267587,-0.31836604937731466,-0.248404996194123,-0.3192971099332224,-0.2536491827263956,0.04026002968769189,16,-0.21064815541830723,-0.20865486918358633,-0.20861884168692332,-0.2043060073709449,-0.20847330521963384,-0.20241840133057482,-0.19947747376801414,-0.19872580898731365,-0.2053196509725518,-0.19787597587351954,-0.20445184898113694,0.004419036547621685
0.9376183748245239,0.05484704451186847,0.010553407669067382,0.0007964909445793506,0.7,0.01,3,500,42,1.0,0.7,hist,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 0.7, 'tree_method': 'hist'}",-0.20747821924756263,-0.21466564997233695,-0.22859567816558882,-0.2544774614810266,-0.21614913647972178,-0.27599668918509807,-0.2837674444088286,-0.31736603444658235,-0.25242950440997286,-0.31996072769599887,-0.25708865454927177,0.03928467662028047,51,-0.1697436307177058,-0.172779947541492,-0.17173423450586986,-0.16722494648204425,-0.1711032902021674,-0.16533764051260352,-0.16456324580280837,-0.16112860414487284,-0.16857589946785642,-0.1621459288007457,-0.1674337368178166,0.003841543443675865
