mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.0061676263809204105,0.0035441793206674637,0.4488700866699219,0.017660183078516103,auto,-1,3,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'uniform'}",-0.2868040676193441,-0.242910485629187,-0.2675791906131226,-0.33841991910286934,-0.28386417941515124,-0.30412219376915917,-0.3225359242415666,-0.3910999208297679,-0.28387321042066543,-0.42780422350531006,-0.31490133151461436,0.054238787846463625,41,-0.15652598709385873,-0.1574303629127738,-0.16020851428229071,-0.1577175803014223,-0.15872802159815427,-0.1557083030521485,-0.15409484797562906,-0.14668404301842486,-0.16021652037936998,-0.1505047244299272,-0.15578189050439992,0.00410401636070205
0.00525510311126709,0.001371389781843103,0.4587794303894043,0.005919879414162815,auto,-1,3,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'distance'}",-0.29087277956816054,-0.2502397222861499,-0.2872629153041286,-0.33674941149333526,-0.28999999114567976,-0.3001230261308227,-0.3579453033305962,-0.39271068130989983,-0.2975455884554925,-0.4384346195420765,-0.32418840385663417,0.05426275619118149,45,-0.004362941375467983,-0.0031421804858907426,-0.0032256574496708898,-0.00451988332240811,-0.004798790434366963,-0.00477387796031985,-0.003956025110117548,-0.0033404941649416236,-0.004301084509078828,-0.0049184976482812455,-0.0041339432460543776,0.0006454597344352545
0.004436087608337402,0.0016009798996142641,0.45919463634490965,0.002029369368795745,auto,-1,5,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",-0.2660880057281858,-0.23610253393052358,-0.24465742505203847,-0.2887719696098835,-0.24586770358153134,-0.2965522119088028,-0.2965784404271243,-0.38291281756880813,-0.2897664021492855,-0.3946252850878012,-0.29419227950439847,0.051934178407517934,33,-0.19631278252336679,-0.19958401213056098,-0.19907889385742064,-0.19514535072814104,-0.20050877601458184,-0.19305140039059598,-0.19091406746469236,-0.1861620791837188,-0.1942270415837987,-0.18671497979239554,-0.19416993836692725,0.004803034573706535
0.003947710990905762,0.0008775970813959811,0.45389981269836427,0.0023521027075818035,auto,-1,5,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'distance'}",-0.2616395508439941,-0.24306159766906912,-0.2689361819450868,-0.29165385513553016,-0.25871410629821284,-0.29025316071763957,-0.32553650020602626,-0.36504294280453053,-0.2961471307098989,-0.4002258637906561,-0.3001210890120644,0.04742390698872828,37,-0.004361208631235041,-0.0031404477416623,-0.0032239247054436032,-0.004518150578178789,-0.0047987904343917325,-0.00477214521608938,-0.003954292365896457,-0.0033404941649580887,-0.00429935395819814,-0.00491849764829216,-0.00413273054443457,0.0006456363465297795
0.0022876739501953127,0.00047217502506356746,0.003956151008605957,0.0004519953614766095,auto,-1,7,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 7, 'weights': 'uniform'}",-0.24006931461953174,-0.22956304316861023,-0.2631589617311636,-0.25317876963993363,-0.21644692941204544,-0.28856564157882136,-0.26598990215806234,-0.3810421903717441,-0.2846886964613108,-0.36558381877058427,-0.27882872679118076,0.051954182114056925,26,-0.20974316902672238,-0.2098515582604297,-0.21038775895023945,-0.21392809135429952,-0.2132960529110341,-0.20479432484224558,-0.2062973452528073,-0.19857021623174825,-0.20877290232397375,-0.2007880741690408,-0.20764294933225408,0.004783192984971233
0.0041476964950561525,0.0005532514923106144,0.006149888038635254,0.0006953563367571948,auto,-1,7,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 7, 'weights': 'distance'}",-0.23864581721110395,-0.23466417989945787,-0.28108558507369547,-0.25559861775607773,-0.23131907326970744,-0.2829239530220734,-0.2905742806774247,-0.35548127566645193,-0.28507858069424324,-0.37065393445569145,-0.2826025297725927,0.045525737432094475,30,-0.004361208631242365,-0.00314044774168744,-0.003223924705448368,-0.004518150578197119,-0.00479879043440323,-0.004772145216109855,-0.003954292365924718,-0.0033404941649619476,-0.004299353958219027,-0.004918497648317572,-0.004132730544451164,0.0006456363465321896
0.0038697004318237306,0.000636293289273688,0.005273008346557617,0.0009561933638757925,auto,-1,11,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 11, 'weights': 'uniform'}",-0.23162314521053587,-0.25074248334175914,-0.26712496702801763,-0.26263239390329474,-0.21665798362164662,-0.27121711798545767,-0.2663434659833694,-0.37453868583192707,-0.26974928961145356,-0.3602902880989383,-0.27709198206164004,0.048315813575476894,18,-0.23138498400010293,-0.22724030017106178,-0.22849986578556442,-0.22788752346913801,-0.22953314399395403,-0.2254830571050685,-0.22636071307509423,-0.21736111552538198,-0.22563856542557081,-0.21706667698856455,-0.22564559455395017,0.004544646400891861
0.0024892330169677735,0.000667893580920342,0.004172968864440918,0.0009886161147104906,auto,-1,11,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 11, 'weights': 'distance'}",-0.23205689579005292,-0.2520865011236219,-0.2863385638005761,-0.2602895902453959,-0.22515644650216685,-0.26517612869026125,-0.2855167026431589,-0.3453117218557182,-0.26786690691536746,-0.3647882978129727,-0.2784587755379292,0.04282816072474014,22,-0.0043612086312570676,-0.0031404477417045023,-0.003223924705465555,-0.0045181505782126465,-0.004798790434420444,-0.004772145216125798,-0.003954292365943064,-0.00334049416497325,-0.004299353958238098,-0.004918497648333888,-0.0041327305444674315,0.0006456363465325339
0.0029288291931152343,0.000929602736437052,0.005072331428527832,0.0010682163203996281,auto,-1,15,uniform,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 15, 'weights': 'uniform'}",-0.21541541304698197,-0.24276885039803656,-0.26156326784872513,-0.2592785831039835,-0.2078914177495233,-0.2729427761901852,-0.27637506548440594,-0.34442757819607944,-0.26362121305545744,-0.35335115882661117,-0.26976353238999895,0.04510091693012173,10,-0.23729027702715916,-0.23489337887516903,-0.23195681672011453,-0.23349832843028176,-0.24023106152081006,-0.23099078216592328,-0.2337469457724428,-0.22537228801808284,-0.2337822614705594,-0.22586829622359958,-0.23276304362241426,0.00435091595778395
0.0030249595642089845,0.00109336470369097,0.0047774076461791996,0.0010154174255037724,auto,-1,15,distance,"{'algorithm': 'auto', 'n_jobs': -1, 'n_neighbors': 15, 'weights': 'distance'}",-0.2200097469782473,-0.24725648621509902,-0.2790624489464672,-0.2553750724032017,-0.21494892093634324,-0.26815802208705924,-0.2910633905175206,-0.3222817137756762,-0.2628626720845214,-0.35510191160730264,-0.2716120385551439,0.040976404960244295,14,-0.004361208631268141,-0.0031404477417149735,-0.0032239247054773076,-0.004518150578224707,-0.0047987904344290976,-0.004772145216134902,-0.00395429236595382,-0.0033404941649839005,-0.004299353958250935,-0.004918497648343608,-0.004132730544478139,0.0006456363465320866
