mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_cache_size,param_degree,param_epsilon,param_gamma,param_kernel,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.8954519987106323,0.30621663521414577,0.007114529609680176,0.0004504220713574158,0.1,5000,2,0.1,scale,linear,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1}",-0.20654474132524012,-0.23895686081067755,-0.2501884575247591,-0.27934816752604624,-0.22872672516710554,-0.26821468369828133,-0.2964694050401832,-0.3611874275304691,-0.2604894882501302,-0.35099893163005536,-0.2741124888502948,0.04761799011046466,67,-0.2601867716655649,-0.2585098526046442,-0.25742550039156104,-0.25126009038650926,-0.26309223766858686,-0.2526272743026266,-0.25144564076105985,-0.24500990942502782,-0.2532759518096228,-0.24602960743273417,-0.25388628364479376,0.005600694621867001
0.09633395671844483,0.00999795965951625,0.023497128486633302,0.0055998253313415,0.1,5000,2,0.1,scale,rbf,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1}",-0.21589088196276174,-0.2300681892772377,-0.23187375054558534,-0.2651132841468643,-0.21739118430757765,-0.2685969608038668,-0.2908784315747097,-0.33427550831983543,-0.25916480092671595,-0.33579790169965995,-0.2649050893564814,0.041861590027584335,49,-0.24706452968506057,-0.24678548254299412,-0.24460172389451112,-0.24043773201446952,-0.25046002404422785,-0.23980437519799375,-0.24247626707479256,-0.23645579680202017,-0.2419197859490257,-0.2348189702196103,-0.24248246874247056,0.004629941784033258
0.1264730453491211,0.013556474625119625,0.009963035583496094,0.004909279712238832,0.1,5000,2,0.1,scale,poly,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': -1}",-0.22578294565850648,-0.22511778409201266,-0.23202969463097703,-0.2657952576042242,-0.22553192631860372,-0.26531052206945405,-0.27960111180958225,-0.3543510588357645,-0.2517355408578602,-0.3145576851909685,-0.2639813527067954,0.040733775945403956,42,-0.2439101838077933,-0.24381630172459617,-0.24206593871500454,-0.23855372212705214,-0.24612758646433933,-0.2379509602655406,-0.23724987155017474,-0.23290467367952494,-0.24029748167064927,-0.23284475819088352,-0.23957214781955583,0.004304900304628702
0.0939143419265747,0.0041542100595048995,0.013789772987365723,0.008940074183884327,0.1,5000,2,0.1,scale,sigmoid,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': -1}",-0.39790547065924414,-0.33004290246366613,-0.3325625638432822,-0.4447238006557828,-0.35613356179527655,-0.48396644800547084,-0.5081292000483759,-0.49879372193171734,-0.4448651321978408,-0.47255306408859965,-0.4269675865689256,0.06471281234752022,177,-0.42782877742278197,-0.4552369002703572,-0.44140440236928913,-0.44103719332609576,-0.4519324359902353,-0.4072517557094867,-0.4338584421481674,-0.47310805237480746,-0.41620530740128736,-0.4994947741509315,-0.44473580411634395,0.025716880532852215
0.9416102886199951,0.29612328850099595,0.007169985771179199,0.0005966813849351032,0.1,5000,2,0.1,auto,linear,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': -1}",-0.20654474132524012,-0.23895686081067755,-0.2501884575247591,-0.27934816752604624,-0.22872672516710554,-0.26821468369828133,-0.2964694050401832,-0.3611874275304691,-0.2604894882501302,-0.35099893163005536,-0.2741124888502948,0.04761799011046466,67,-0.2601867716655649,-0.2585098526046442,-0.25742550039156104,-0.25126009038650926,-0.26309223766858686,-0.2526272743026266,-0.25144564076105985,-0.24500990942502782,-0.2532759518096228,-0.24602960743273417,-0.25388628364479376,0.005600694621867001
0.09809460639953613,0.01255872911206043,0.0239457368850708,0.005689226349520015,0.1,5000,2,0.1,auto,rbf,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1}",-0.21590209404813818,-0.2301838948178217,-0.23174659584203613,-0.2651880489079228,-0.21740425277646508,-0.26863783939510294,-0.290919840300838,-0.33407066287463333,-0.259149670365594,-0.3354243161024708,-0.26486272154310236,0.041765291357031234,47,-0.24700808132680346,-0.2467529894438099,-0.24438766333544104,-0.2405181958945562,-0.25057050506287953,-0.23975547857857332,-0.24261840087385333,-0.23664886126840612,-0.24198457310348256,-0.23533629511443216,-0.24255810440022377,0.004520701286574737
0.1252600908279419,0.016754756610075205,0.009060478210449219,0.002968256687902665,0.1,5000,2,0.1,auto,poly,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': -1}",-0.22596718886032308,-0.22517552445922134,-0.23208423334373995,-0.26574581634396954,-0.22538542796525854,-0.2654231622417982,-0.2794255787482665,-0.35016535624066775,-0.25157681573581725,-0.3141488798017497,-0.26350979837408117,0.03974653317768869,39,-0.2437913408575212,-0.24376448822384583,-0.24168990042641567,-0.23866828750030464,-0.24621930766036995,-0.2378819193391817,-0.23752419991386306,-0.2331579700308376,-0.24035622057618358,-0.23337686235104282,-0.2396430496879566,0.0041473194054374544
0.09500763416290284,0.010770291135333036,0.009556317329406738,0.000912413837784481,0.1,5000,2,0.1,auto,sigmoid,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'sigmoid', 'max_iter': -1}",-0.40177985993719434,-0.333426367442383,-0.35428549855603325,-0.4386744797981429,-0.35555121058972367,-0.4873791033434136,-0.4948586120792347,-0.458602883037031,-0.44157759224324583,-0.4164839372943588,-0.4182619544320761,0.0535998421815834,175,-0.43918597095734124,-0.4611692788388757,-0.47775989514064954,-0.43262756043268424,-0.44235390337635805,-0.41104951742935575,-0.4170053249369533,-0.4342490626918639,-0.41312969808767575,-0.43644739188395415,-0.43649776037757115,0.01986565011510849
0.9924415111541748,0.3738780238856197,0.006271004676818848,0.00045709445895074184,0.1,5000,2,0.2,scale,linear,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1}",-0.20801671181411782,-0.23256951773911405,-0.25218389716631867,-0.2796363141573069,-0.2246467227983309,-0.2711829519280554,-0.3011551600044338,-0.36332211135191217,-0.2599236892183837,-0.37019199899112915,-0.2762829075169103,0.0520926483390478,77,-0.26332961287353013,-0.2590690830967777,-0.2581997149632889,-0.25456339262249794,-0.26406338082527614,-0.25583447695000505,-0.2523094463954148,-0.2471298838495147,-0.2550534967208678,-0.2461290821583877,-0.2555681570455561,0.005690832464347572
0.07108674049377442,0.0032758780219773504,0.017820191383361817,0.0009379166786319312,0.1,5000,2,0.2,scale,rbf,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1}",-0.2170362603735887,-0.2323560640024681,-0.2335816808490126,-0.2703929702878852,-0.21942672421326367,-0.27248766794344564,-0.29974756031317307,-0.3403784023463249,-0.25563682180927444,-0.3328265055763499,-0.26738706577147864,0.04246851780187763,53,-0.25284779189797363,-0.25001532275030985,-0.2486071465580926,-0.2443911527442015,-0.25216539824810236,-0.24362431129077777,-0.24417152169669923,-0.2386950383987929,-0.2461082245065746,-0.23602821171958233,-0.24566541198111067,0.005206642730839237
